#      x          Cp  
     1.00000    0.42113
     0.99653    0.29025
     0.99220    0.24990
     0.98753    0.21492
     0.98249    0.19022
     0.97709    0.16679
     0.97136    0.14813
     0.96533    0.13059
     0.95903    0.11652
     0.95251    0.10049
     0.94580    0.08708
     0.93895    0.07518
     0.93199    0.06353
     0.92494    0.05095
     0.91783    0.04279
     0.91067    0.03163
     0.90347    0.02292
     0.89624    0.01369
     0.88900    0.00428
     0.88174   -0.00123
     0.87447   -0.01149
     0.86719   -0.01827
     0.85990   -0.02529
     0.85261   -0.03307
     0.84531   -0.03925
     0.83801   -0.04626
     0.83071   -0.05367
     0.82341   -0.05894
     0.81610   -0.06606
     0.80879   -0.07118
     0.80148   -0.07806
     0.79417   -0.08406
     0.78686   -0.08957
     0.77955   -0.09535
     0.77224   -0.10092
     0.76492   -0.10706
     0.75761   -0.11236
     0.75030   -0.11737
     0.74298   -0.12396
     0.73567   -0.12817
     0.72835   -0.13444
     0.72104   -0.13930
     0.71372   -0.14472
     0.70641   -0.14990
     0.69909   -0.15571
     0.69178   -0.16036
     0.68447   -0.16600
     0.67716   -0.17075
     0.66984   -0.17625
     0.66253   -0.18164
     0.65522   -0.18636
     0.64792   -0.19226
     0.64061   -0.19661
     0.63330   -0.20268
     0.62600   -0.20754
     0.61870   -0.21295
     0.61139   -0.21785
     0.60410   -0.22330
     0.59680   -0.22866
     0.58950   -0.23379
     0.58221   -0.23877
     0.57492   -0.24461
     0.56763   -0.24978
     0.56035   -0.25484
     0.55306   -0.26092
     0.54578   -0.26582
     0.53851   -0.27192
     0.53123   -0.27649
     0.52396   -0.28220
     0.51669   -0.28798
     0.50943   -0.29358
     0.50217   -0.29925
     0.49491   -0.30459
     0.48766   -0.31071
     0.48041   -0.31579
     0.47317   -0.32204
     0.46593   -0.32721
     0.45870   -0.33400
     0.45147   -0.33917
     0.44424   -0.34522
     0.43703   -0.35064
     0.42981   -0.35717
     0.42261   -0.36373
     0.41541   -0.36876
     0.40821   -0.37566
     0.40102   -0.38120
     0.39384   -0.38722
     0.38667   -0.39407
     0.37950   -0.40012
     0.37234   -0.40597
     0.36519   -0.41290
     0.35805   -0.41911
     0.35091   -0.42568
     0.34379   -0.43207
     0.33668   -0.43869
     0.32957   -0.44522
     0.32248   -0.45172
     0.31539   -0.45896
     0.30832   -0.46486
     0.30126   -0.47199
     0.29421   -0.47895
     0.28718   -0.48573
     0.28015   -0.49234
     0.27315   -0.49941
     0.26616   -0.50697
     0.25918   -0.51410
     0.25222   -0.52013
     0.24528   -0.52847
     0.23836   -0.53486
     0.23146   -0.54284
     0.22458   -0.54964
     0.21773   -0.55723
     0.21090   -0.56500
     0.20409   -0.57150
     0.19732   -0.58033
     0.19057   -0.58708
     0.18386   -0.59471
     0.17718   -0.60356
     0.17055   -0.60986
     0.16396   -0.61874
     0.15741   -0.62584
     0.15092   -0.63470
     0.14449   -0.64187
     0.13813   -0.65049
     0.13184   -0.65851
     0.12563   -0.66644
     0.11951   -0.67485
     0.11350   -0.68275
     0.10761   -0.69101
     0.10185   -0.69932
     0.09623   -0.70760
     0.09078   -0.71460
     0.08550   -0.72388
     0.08040   -0.73055
     0.07552   -0.73828
     0.07084   -0.74554
     0.06638   -0.75267
     0.06215   -0.75842
     0.05814   -0.76465
     0.05436   -0.77186
     0.05079   -0.77504
     0.04744   -0.78077
     0.04429   -0.78454
     0.04133   -0.78740
     0.03855   -0.79073
     0.03594   -0.79298
     0.03348   -0.79180
     0.03118   -0.79421
     0.02901   -0.79256
     0.02698   -0.78991
     0.02506   -0.78685
     0.02325   -0.78554
     0.02154   -0.77588
     0.01993   -0.77114
     0.01840   -0.76032
     0.01696   -0.75012
     0.01560   -0.73919
     0.01432   -0.72138
     0.01310   -0.70608
     0.01195   -0.68584
     0.01086   -0.66030
     0.00983   -0.63422
     0.00886   -0.60445
     0.00794   -0.57019
     0.00708   -0.52963
     0.00627   -0.48520
     0.00551   -0.43616
     0.00480   -0.38452
