#  AH 79-100 C AIRFOIL                             
#  alpha =  -2.5000
#  Mach  =   0.0000
#  Reyn  =  1000000
#  Ncrit =   9.0000
#
#    x           cf
   0.155661E-02  0.116826E-02
   0.218676E-02  0.307769E-02
   0.292856E-02  0.281691E-02
   0.377458E-02  0.582226E-02
   0.470924E-02  0.348239E-02
   0.572383E-02  0.622246E-02
   0.682801E-02  0.578633E-02
   0.803471E-02  0.663893E-02
   0.936206E-02  0.617173E-02
   0.108353E-01  0.757794E-02
   0.124792E-01  0.608846E-02
   0.143165E-01  0.679144E-02
   0.163648E-01  0.610069E-02
   0.186244E-01  0.694382E-02
   0.210864E-01  0.699742E-02
   0.237439E-01  0.762044E-02
   0.266015E-01  0.695445E-02
   0.296937E-01  0.709155E-02
   0.330625E-01  0.620268E-02
   0.367334E-01  0.573832E-02
   0.406870E-01  0.632235E-02
   0.448589E-01  0.596334E-02
   0.491911E-01  0.622253E-02
   0.536629E-01  0.612270E-02
   0.582936E-01  0.548028E-02
   0.630968E-01  0.543734E-02
   0.680587E-01  0.523091E-02
   0.731341E-01  0.528979E-02
   0.782821E-01  0.534132E-02
   0.834888E-01  0.511986E-02
   0.887708E-01  0.477358E-02
   0.941536E-01  0.469282E-02
   0.996431E-01  0.452547E-02
   0.105217      0.435939E-02
   0.110829      0.453452E-02
   0.116448      0.448094E-02
   0.122070      0.448398E-02
   0.127717      0.420554E-02
   0.133426      0.400067E-02
   0.139216      0.380616E-02
   0.145090      0.359286E-02
   0.151022      0.360494E-02
   0.156980      0.366499E-02
   0.162943      0.358614E-02
   0.168906      0.360525E-02
   0.174880      0.351527E-02
   0.180884      0.340809E-02
   0.186928      0.327755E-02
   0.193012      0.322524E-02
   0.199126      0.315965E-02
   0.205255      0.315298E-02
   0.211388      0.309107E-02
   0.217522      0.309924E-02
   0.223664      0.303658E-02
   0.229826      0.290113E-02
   0.236020      0.286267E-02
   0.242248      0.274811E-02
   0.248505      0.271696E-02
   0.254778      0.269263E-02
   0.261051      0.271830E-02
   0.267315      0.266263E-02
   0.273569      0.270946E-02
   0.279819      0.261885E-02
   0.286079      0.261387E-02
   0.292361      0.246325E-02
   0.298671      0.245629E-02
   0.305007      0.234992E-02
   0.311363      0.235053E-02
   0.317724      0.231677E-02
   0.324082      0.231717E-02
   0.330430      0.231904E-02
   0.336770      0.230881E-02
   0.343107      0.227720E-02
   0.349450      0.220563E-02
   0.355805      0.218597E-02
   0.362175      0.213069E-02
   0.368560      0.209240E-02
   0.374955      0.205800E-02
   0.381356      0.203512E-02
   0.387756      0.202763E-02
   0.394154      0.200923E-02
   0.400548      0.197910E-02
   0.406941      0.198396E-02
   0.413334      0.194006E-02
   0.419728      0.192016E-02
   0.426126      0.189659E-02
   0.432527      0.187993E-02
   0.438930      0.183365E-02
   0.445334      0.183263E-02
   0.451738      0.181021E-02
   0.458141      0.177549E-02
