#  AH 79-100 C AIRFOIL                             
#  alpha =   3.0000
#  Mach  =   0.0000
#  Reyn  =  1000000
#  Ncrit =   9.0000
#
#    x           cf
   0.204375E-02  0.296603E-03
   0.135655E-02  0.490247E-02
   0.825391E-03  0.847132E-02
   0.443205E-03  0.156554E-01
   0.186770E-03  0.134309E-01
   0.374342E-04  0.197432E-01
  -0.185939E-04  0.178843E-01
   0.119824E-04  0.257946E-01
   0.128880E-03  0.221012E-01
   0.335010E-03  0.213458E-01
   0.636134E-03  0.252035E-01
   0.104048E-02  0.201902E-01
   0.155661E-02  0.180896E-01
   0.218676E-02  0.144993E-01
   0.292856E-02  0.102759E-01
   0.377458E-02  0.898939E-02
   0.470924E-02  0.848677E-02
   0.572383E-02  0.102675E-01
   0.682801E-02  0.116609E-01
   0.803471E-02  0.118028E-01
   0.936206E-02  0.115436E-01
   0.108353E-01  0.113220E-01
   0.124792E-01  0.907889E-02
   0.143165E-01  0.824477E-02
   0.163648E-01  0.752206E-02
   0.186244E-01  0.818192E-02
   0.210864E-01  0.898102E-02
   0.237439E-01  0.971271E-02
   0.266015E-01  0.930509E-02
   0.296937E-01  0.819360E-02
   0.330625E-01  0.702979E-02
   0.367334E-01  0.598143E-02
   0.406870E-01  0.602139E-02
   0.448589E-01  0.619055E-02
   0.491911E-01  0.646689E-02
   0.536629E-01  0.611590E-02
   0.582936E-01  0.571815E-02
   0.630968E-01  0.519141E-02
   0.680587E-01  0.502345E-02
   0.731341E-01  0.501859E-02
   0.782821E-01  0.493506E-02
   0.834888E-01  0.505478E-02
   0.887708E-01  0.443077E-02
   0.941536E-01  0.430136E-02
   0.996431E-01  0.399653E-02
   0.105217      0.387850E-02
   0.110829      0.399235E-02
   0.116448      0.408517E-02
   0.122070      0.393959E-02
   0.127717      0.376522E-02
   0.133426      0.344540E-02
   0.139216      0.328586E-02
   0.145090      0.296163E-02
   0.151022      0.298031E-02
   0.156980      0.295278E-02
   0.162943      0.291643E-02
   0.168906      0.291946E-02
   0.174880      0.287466E-02
   0.180884      0.273975E-02
   0.186928      0.264411E-02
   0.193012      0.255070E-02
   0.199126      0.250444E-02
   0.205255      0.246493E-02
   0.211388      0.242969E-02
   0.217522      0.240766E-02
   0.223664      0.234012E-02
   0.229826      0.223314E-02
   0.236020      0.217228E-02
   0.242248      0.205616E-02
   0.248505      0.201491E-02
   0.254778      0.200819E-02
   0.261051      0.200195E-02
   0.267315      0.195868E-02
   0.273569      0.198628E-02
   0.279819      0.192650E-02
   0.286079      0.188853E-02
   0.292361      0.180356E-02
   0.298671      0.175475E-02
   0.305007      0.167689E-02
   0.311363      0.163481E-02
   0.317724      0.162915E-02
   0.324082      0.159897E-02
   0.330430      0.159700E-02
   0.336770      0.159098E-02
   0.343107      0.154830E-02
   0.349450      0.150511E-02
   0.355805      0.147127E-02
   0.362175      0.142482E-02
   0.368560      0.137756E-02
   0.374955      0.135917E-02
   0.381356      0.132173E-02
   0.387756      0.130986E-02
   0.394154      0.128352E-02
   0.400548      0.126900E-02
   0.406941      0.123929E-02
   0.413334      0.122024E-02
   0.419728      0.119958E-02
   0.426126      0.116858E-02
   0.432527      0.114512E-02
   0.438930      0.112235E-02
   0.445334      0.109475E-02
   0.451738      0.107593E-02
   0.458141      0.105196E-02
   0.464541      0.102347E-02
   0.470939      0.101197E-02
   0.477333      0.969592E-03
   0.483723      0.964931E-03
   0.490109      0.927870E-03
   0.496490      0.903165E-03
   0.502868      0.870341E-03
   0.509242      0.840882E-03
   0.515614      0.803667E-03
   0.521981      0.766636E-03
   0.528346      0.727952E-03
   0.534706      0.682183E-03
   0.541061      0.638680E-03
   0.547411      0.587301E-03
   0.553756      0.544430E-03
   0.560098      0.485466E-03
   0.566440      0.435782E-03
   0.572784      0.375998E-03
   0.579134      0.326705E-03
   0.585490      0.270687E-03
   0.591851      0.222536E-03
   0.598214      0.184469E-03
   0.604576      0.148028E-03
   0.610931      0.118257E-03
   0.617279      0.963876E-04
   0.623618      0.750518E-04
   0.629952      0.626314E-04
   0.636284      0.564359E-04
   0.642619      0.607983E-04
   0.648960      0.767713E-04
   0.655308      0.119623E-03
