#  AH 79-100 C AIRFOIL                             
#  alpha =  -6.0000
#  Mach  =   0.0000
#  Reyn  = 10000000
#  Ncrit =   9.0000
#
#    x           cf
   0.936206E-02  0.198114E-03
   0.108353E-01  0.502066E-03
   0.124792E-01  0.655272E-03
   0.143165E-01  0.820017E-03
   0.163648E-01  0.101180E-02
   0.186244E-01  0.110543E-02
   0.210864E-01  0.132796E-02
   0.237439E-01  0.135701E-02
   0.266015E-01  0.151699E-02
   0.296937E-01  0.148906E-02
   0.330625E-01  0.147990E-02
   0.367334E-01  0.143014E-02
   0.406870E-01  0.159506E-02
   0.448589E-01  0.148217E-02
   0.491911E-01  0.165848E-02
   0.536629E-01  0.155031E-02
   0.582936E-01  0.154288E-02
   0.630968E-01  0.145025E-02
   0.680587E-01  0.148524E-02
   0.731341E-01  0.153357E-02
   0.782821E-01  0.147025E-02
   0.834888E-01  0.152201E-02
   0.887708E-01  0.137031E-02
   0.941536E-01  0.139487E-02
   0.996431E-01  0.135832E-02
   0.105217      0.130085E-02
   0.110829      0.137885E-02
   0.116448      0.138049E-02
   0.122070      0.134867E-02
   0.127717      0.130223E-02
   0.133426      0.120631E-02
   0.139216      0.118923E-02
   0.145090      0.112463E-02
   0.151022      0.116398E-02
   0.156980      0.116786E-02
   0.162943      0.115505E-02
   0.168906      0.117345E-02
   0.174880      0.110927E-02
   0.180884      0.109493E-02
   0.186928      0.106075E-02
   0.193012      0.104178E-02
   0.199126      0.103149E-02
   0.205255      0.104163E-02
   0.211388      0.101975E-02
   0.217522      0.101387E-02
   0.223664      0.100740E-02
   0.229826      0.960968E-03
   0.236020      0.947991E-03
   0.242248      0.916107E-03
   0.248505      0.905897E-03
   0.254778      0.897991E-03
   0.261051      0.941394E-03
   0.267315      0.874874E-03
   0.273569      0.943888E-03
   0.279819      0.890747E-03
   0.286079      0.890686E-03
   0.292361      0.829162E-03
   0.298671      0.843002E-03
   0.305007      0.785053E-03
   0.311363      0.817936E-03
   0.317724      0.799368E-03
   0.324082      0.797622E-03
   0.330430      0.810958E-03
   0.336770      0.813574E-03
   0.343107      0.788932E-03
   0.349450      0.776184E-03
   0.355805      0.768271E-03
   0.362175      0.745575E-03
   0.368560      0.723945E-03
   0.374955      0.729428E-03
   0.381356      0.722083E-03
   0.387756      0.721886E-03
   0.394154      0.709795E-03
   0.400548      0.718884E-03
   0.406941      0.697204E-03
   0.413334      0.698348E-03
   0.419728      0.692452E-03
   0.426126      0.682816E-03
   0.432527      0.682854E-03
   0.438930      0.657614E-03
   0.445334      0.668294E-03
   0.451738      0.663810E-03
   0.458141      0.645215E-03
   0.464541      0.653568E-03
   0.470939      0.638710E-03
   0.477333      0.631150E-03
   0.483723      0.634327E-03
   0.490109      0.624700E-03
   0.496490      0.620649E-03
   0.502868      0.610715E-03
   0.509242      0.603012E-03
   0.515614      0.593699E-03
   0.521981      0.587835E-03
   0.528346      0.575287E-03
   0.534706      0.564963E-03
   0.541061      0.547752E-03
   0.547411      0.542612E-03
   0.553756      0.532371E-03
   0.560098      0.510122E-03
   0.566440      0.497207E-03
   0.572784      0.481777E-03
   0.579134      0.460638E-03
   0.585490      0.442415E-03
   0.591851      0.425662E-03
   0.598214      0.411867E-03
   0.604576      0.399945E-03
   0.610931      0.388155E-03
   0.617279      0.378391E-03
   0.623618      0.365024E-03
   0.629952      0.349707E-03
   0.636284      0.336110E-03
   0.642619      0.313501E-03
   0.648960      0.300222E-03
   0.655308      0.275460E-03
   0.661661      0.264351E-03
   0.668018      0.243646E-03
   0.674376      0.231021E-03
   0.680733      0.221563E-03
   0.687087      0.205063E-03
   0.693438      0.195852E-03
   0.699786      0.185480E-03
   0.706133      0.173212E-03
   0.712479      0.170975E-03
   0.718823      0.160076E-03
   0.725167      0.156550E-03
   0.731511      0.158045E-03
   0.737853      0.163463E-03
   0.744192      0.197411E-03
   0.750527      0.746745E-03
   0.756854      0.200293E-02
   0.763171      0.325375E-02
   0.769478      0.410307E-02
   0.775777      0.450399E-02
   0.782069      0.470259E-02
   0.788361      0.473879E-02
   0.794652      0.473052E-02
   0.800942      0.467070E-02
   0.807226      0.459396E-02
   0.813497      0.455374E-02
   0.819750      0.447296E-02
   0.825985      0.438489E-02
   0.832203      0.432626E-02
   0.838409      0.425838E-02
   0.844607      0.418184E-02
   0.850796      0.410961E-02
   0.856970      0.405807E-02
   0.863123      0.398342E-02
   0.869251      0.394484E-02
   0.875355      0.388028E-02
   0.881440      0.382792E-02
   0.887509      0.376979E-02
   0.893554      0.370032E-02
   0.899557      0.367955E-02
   0.905492      0.362556E-02
   0.911345      0.360833E-02
   0.917116      0.355218E-02
   0.922818      0.347506E-02
   0.928456      0.338705E-02
   0.934017      0.328694E-02
   0.939480      0.317976E-02
   0.944833      0.302164E-02
   0.950095      0.283765E-02
   0.955303      0.259531E-02
   0.960476      0.230480E-02
   0.965586      0.204204E-02
   0.970574      0.174740E-02
   0.975386      0.142371E-02
   0.980008      0.112470E-02
   0.984482      0.903106E-03
   0.988834      0.751920E-03
   0.992988      0.613000E-03
   0.996824      0.424052E-03
    1.00000      0.305982E-03
    1.00010       0.00000    
    1.00336       0.00000    
    1.00692       0.00000    
    1.01080       0.00000    
    1.01504       0.00000    
    1.01965       0.00000    
    1.02468       0.00000    
    1.03017       0.00000    
    1.03614       0.00000    
    1.04265       0.00000    
    1.04974       0.00000    
    1.05746       0.00000    
    1.06588       0.00000    
    1.07504       0.00000    
    1.08502       0.00000    
    1.09589       0.00000    
    1.10773       0.00000    
    1.12062       0.00000    
    1.13466       0.00000    
    1.14994       0.00000    
    1.16658       0.00000    
    1.18470       0.00000    
    1.20443       0.00000    
    1.22590       0.00000    
    1.24928       0.00000    
    1.27473       0.00000    
    1.30243       0.00000    
    1.33259       0.00000    
    1.36542       0.00000    
    1.40115       0.00000    
    1.44004       0.00000    
    1.48237       0.00000    
    1.52844       0.00000    
    1.57858       0.00000    
    1.63314       0.00000    
    1.69253       0.00000    
    1.75716       0.00000    
    1.82750       0.00000    
    1.90404       0.00000    
    1.98734       0.00000    

   0.803471E-02  0.102697E-03
   0.682801E-02  0.487987E-03
   0.572383E-02  0.814263E-03
   0.470924E-02  0.157715E-02
   0.377458E-02  0.171617E-02
   0.292856E-02  0.362046E-02
   0.218676E-02  0.393371E-02
   0.155661E-02  0.625961E-02
   0.104048E-02  0.695064E-02
   0.636134E-03  0.894025E-02
   0.335010E-03  0.103556E-01
   0.128880E-03  0.117265E-01
   0.119824E-04  0.139117E-01
  -0.185939E-04  0.157600E-01
   0.374342E-04  0.164135E-01
   0.186770E-03  0.226987E-01
   0.443205E-03  0.197277E-01
   0.825391E-03  0.264302E-01
   0.135655E-02  0.152872E-01
   0.204375E-02  0.868983E-02
   0.287174E-02  0.931403E-03
   0.381793E-02 -0.114521E-02
   0.484979E-02 -0.975406E-03
   0.594955E-02  0.523047E-02
   0.712232E-02  0.168077E-01
   0.837649E-02  0.222684E-01
   0.972574E-02  0.211033E-01
   0.111899E-01  0.179342E-01
   0.127879E-01  0.149935E-01
   0.145397E-01  0.123162E-01
   0.164634E-01  0.104476E-01
   0.185669E-01  0.966755E-02
   0.208533E-01  0.958088E-02
   0.233275E-01  0.940106E-02
   0.259980E-01  0.903513E-02
   0.288936E-01  0.846677E-02
   0.320658E-01  0.755546E-02
   0.355735E-01  0.678592E-02
   0.394642E-01  0.613075E-02
   0.437389E-01  0.570954E-02
   0.483584E-01  0.549163E-02
   0.532788E-01  0.517376E-02
   0.584909E-01  0.492063E-02
   0.639870E-01  0.468519E-02
   0.697242E-01  0.448495E-02
   0.756236E-01  0.434058E-02
   0.816180E-01  0.422038E-02
   0.876862E-01  0.405403E-02
   0.938457E-01  0.385103E-02
   0.100100      0.370362E-02
   0.106417      0.361072E-02
   0.112734      0.358367E-02
   0.119019      0.357538E-02
   0.125280      0.351584E-02
   0.131564      0.340592E-02
   0.137920      0.326433E-02
   0.144369      0.314192E-02
   0.150900      0.304549E-02
   0.157477      0.297122E-02
   0.164069      0.290794E-02
   0.170658      0.285094E-02
   0.177239      0.279527E-02
   0.183815      0.273682E-02
   0.190389      0.267780E-02
   0.196966      0.264482E-02
   0.203548      0.260581E-02
   0.210137      0.257877E-02
   0.216732      0.255298E-02
   0.223327      0.251489E-02
   0.229919      0.247717E-02
   0.236502      0.243472E-02
   0.243078      0.240026E-02
   0.249650      0.236497E-02
   0.256226      0.233620E-02
   0.262815      0.231057E-02
   0.269419      0.229008E-02
   0.276035      0.226248E-02
   0.282657      0.224978E-02
   0.289273      0.220923E-02
