#  AH 79-100 C AIRFOIL                             
#  alpha =   0.5000
#  Mach  =   0.0000
#  Reyn  = 10000000
#  Ncrit =   9.0000
#
#    x           cf
   0.374342E-04  0.540676E-03
  -0.185939E-04  0.114660E-02
   0.119824E-04  0.311531E-02
   0.128880E-03  0.221161E-02
   0.335010E-03  0.441050E-02
   0.636134E-03  0.379553E-02
   0.104048E-02  0.428396E-02
   0.155661E-02  0.412072E-02
   0.218676E-02  0.352179E-02
   0.292856E-02  0.330795E-02
   0.377458E-02  0.287169E-02
   0.470924E-02  0.257513E-02
   0.572383E-02  0.350341E-02
   0.682801E-02  0.303995E-02
   0.803471E-02  0.356071E-02
   0.936206E-02  0.324370E-02
   0.108353E-01  0.314263E-02
   0.124792E-01  0.268252E-02
   0.143165E-01  0.253249E-02
   0.163648E-01  0.250748E-02
   0.186244E-01  0.261803E-02
   0.210864E-01  0.282497E-02
   0.237439E-01  0.292143E-02
   0.266015E-01  0.281073E-02
   0.296937E-01  0.248674E-02
   0.330625E-01  0.223072E-02
   0.367334E-01  0.183702E-02
   0.406870E-01  0.209312E-02
   0.448589E-01  0.204093E-02
   0.491911E-01  0.216163E-02
   0.536629E-01  0.203221E-02
   0.582936E-01  0.185710E-02
   0.630968E-01  0.168459E-02
   0.680587E-01  0.168017E-02
   0.731341E-01  0.172665E-02
   0.782821E-01  0.166891E-02
   0.834888E-01  0.169171E-02
   0.887708E-01  0.149628E-02
   0.941536E-01  0.144958E-02
   0.996431E-01  0.136977E-02
   0.105217      0.132957E-02
   0.110829      0.141911E-02
   0.116448      0.137066E-02
   0.122070      0.141467E-02
   0.127717      0.132072E-02
   0.133426      0.117397E-02
   0.139216      0.111003E-02
   0.145090      0.107305E-02
   0.151022      0.104454E-02
   0.156980      0.105039E-02
   0.162943      0.106460E-02
   0.168906      0.110925E-02
   0.174880      0.101576E-02
   0.180884      0.986898E-03
   0.186928      0.960923E-03
   0.193012      0.916011E-03
   0.199126      0.908169E-03
   0.205255      0.904015E-03
   0.211388      0.894273E-03
   0.217522      0.906252E-03
   0.223664      0.856275E-03
   0.229826      0.827684E-03
   0.236020      0.816721E-03
   0.242248      0.768075E-03
   0.248505      0.742998E-03
   0.254778      0.755129E-03
   0.261051      0.752299E-03
   0.267315      0.755543E-03
   0.273569      0.776820E-03
   0.279819      0.744570E-03
   0.286079      0.729579E-03
   0.292361      0.678303E-03
   0.298671      0.675069E-03
   0.305007      0.630532E-03
   0.311363      0.634691E-03
   0.317724      0.626105E-03
   0.324082      0.634842E-03
   0.330430      0.632302E-03
   0.336770      0.632056E-03
   0.343107      0.619829E-03
   0.349450      0.604572E-03
   0.355805      0.588733E-03
   0.362175      0.575816E-03
   0.368560      0.547036E-03
   0.374955      0.542353E-03
   0.381356      0.545873E-03
   0.387756      0.531280E-03
   0.394154      0.529362E-03
   0.400548      0.528885E-03
   0.406941      0.521303E-03
   0.413334      0.514632E-03
   0.419728      0.502366E-03
   0.426126      0.493169E-03
   0.432527      0.491978E-03
   0.438930      0.477121E-03
   0.445334      0.475038E-03
   0.451738      0.472289E-03
   0.458141      0.459582E-03
   0.464541      0.457147E-03
   0.470939      0.450969E-03
   0.477333      0.444492E-03
   0.483723      0.443342E-03
   0.490109      0.436516E-03
   0.496490      0.435671E-03
   0.502868      0.424404E-03
   0.509242      0.427911E-03
   0.515614      0.435022E-03
   0.521981      0.464243E-03
   0.528346      0.183553E-02
   0.534706      0.359244E-02
   0.541061      0.502949E-02
   0.547411      0.582354E-02
   0.553756      0.617310E-02
   0.560098      0.624991E-02
   0.566440      0.622787E-02
   0.572784      0.613045E-02
   0.579134      0.604225E-02
   0.585490      0.590724E-02
   0.591851      0.579856E-02
   0.598214      0.570134E-02
   0.604576      0.560518E-02
   0.610931      0.551132E-02
   0.617279      0.543985E-02
   0.623618      0.534676E-02
   0.629952      0.527580E-02
   0.636284      0.518967E-02
   0.642619      0.511941E-02
   0.648960      0.503385E-02
   0.655308      0.496035E-02
   0.661661      0.489795E-02
   0.668018      0.482377E-02
   0.674376      0.476237E-02
   0.680733      0.470433E-02
   0.687087      0.464558E-02
   0.693438      0.459017E-02
   0.699786      0.453362E-02
   0.706133      0.447537E-02
   0.712479      0.443134E-02
   0.718823      0.437824E-02
   0.725167      0.431627E-02
   0.731511      0.427450E-02
   0.737853      0.422365E-02
   0.744192      0.417858E-02
   0.750527      0.412956E-02
   0.756854      0.408317E-02
   0.763171      0.404205E-02
   0.769478      0.399926E-02
   0.775777      0.395488E-02
   0.782069      0.390680E-02
   0.788361      0.385835E-02
   0.794652      0.381041E-02
   0.800942      0.376409E-02
   0.807226      0.371493E-02
   0.813497      0.367903E-02
   0.819750      0.363588E-02
   0.825985      0.359865E-02
   0.832203      0.355211E-02
   0.838409      0.350567E-02
   0.844607      0.345424E-02
   0.850796      0.340117E-02
   0.856970      0.335640E-02
   0.863123      0.330978E-02
   0.869251      0.325909E-02
   0.875355      0.320210E-02
   0.881440      0.314463E-02
   0.887509      0.308966E-02
   0.893554      0.302859E-02
   0.899557      0.297411E-02
   0.905492      0.292632E-02
   0.911345      0.286727E-02
   0.917116      0.280026E-02
   0.922818      0.270733E-02
   0.928456      0.259934E-02
   0.934017      0.248051E-02
   0.939480      0.234200E-02
   0.944833      0.217494E-02
   0.950095      0.196753E-02
   0.955303      0.173096E-02
   0.960476      0.147912E-02
   0.965586      0.123713E-02
   0.970574      0.100094E-02
   0.975386      0.777150E-03
   0.980008      0.585301E-03
   0.984482      0.447998E-03
   0.988834      0.347470E-03
   0.992988      0.265369E-03
   0.996824      0.178114E-03
    1.00000      0.122790E-03
    1.00010       0.00000    
    1.00336       0.00000    
    1.00693       0.00000    
    1.01082       0.00000    
    1.01507       0.00000    
    1.01970       0.00000    
    1.02475       0.00000    
    1.03025       0.00000    
    1.03625       0.00000    
    1.04279       0.00000    
    1.04991       0.00000    
    1.05767       0.00000    
    1.06613       0.00000    
    1.07535       0.00000    
    1.08538       0.00000    
    1.09631       0.00000    
    1.10822       0.00000    
    1.12119       0.00000    
    1.13531       0.00000    
    1.15069       0.00000    
    1.16744       0.00000    
    1.18567       0.00000    
    1.20553       0.00000    
    1.22715       0.00000    
    1.25068       0.00000    
    1.27631       0.00000    
    1.30420       0.00000    
    1.33457       0.00000    
    1.36762       0.00000    
    1.40360       0.00000    
    1.44277       0.00000    
    1.48539       0.00000    
    1.53179       0.00000    
    1.58228       0.00000    
    1.63723       0.00000    
    1.69704       0.00000    
    1.76213       0.00000    
    1.83295       0.00000    
    1.91003       0.00000    
    1.99390       0.00000    

   0.186770E-03  0.856115E-03
   0.443205E-03  0.187459E-02
   0.825391E-03  0.422266E-02
   0.135655E-02  0.382438E-02
   0.204375E-02  0.516048E-02
   0.287174E-02  0.395264E-02
   0.381793E-02  0.378597E-02
   0.484979E-02  0.371778E-02
   0.594955E-02  0.465607E-02
   0.712232E-02  0.475162E-02
   0.837649E-02  0.432189E-02
