#  AH 79-100 C AIRFOIL                             
#  alpha =  -6.5000
#  Mach  =   0.0000
#  Reyn  =100000000
#  Ncrit =   9.0000
#
#    x           cf
   0.108353E-01  0.575455E-04
   0.124792E-01  0.117008E-03
   0.143165E-01  0.194582E-03
   0.163648E-01  0.240057E-03
   0.186244E-01  0.309559E-03
   0.210864E-01  0.345981E-03
   0.237439E-01  0.382018E-03
   0.266015E-01  0.431138E-03
   0.296937E-01  0.429526E-03
   0.330625E-01  0.430660E-03
   0.367334E-01  0.432919E-03
   0.406870E-01  0.474683E-03
   0.448589E-01  0.446238E-03
   0.491911E-01  0.494874E-03
   0.536629E-01  0.478969E-03
   0.582936E-01  0.458322E-03
   0.630968E-01  0.456944E-03
   0.680587E-01  0.449367E-03
   0.731341E-01  0.476860E-03
   0.782821E-01  0.446296E-03
   0.834888E-01  0.476974E-03
   0.887708E-01  0.426588E-03
   0.941536E-01  0.419465E-03
   0.996431E-01  0.428232E-03
   0.105217      0.403587E-03
   0.110829      0.435783E-03
   0.116448      0.427517E-03
   0.122070      0.425500E-03
   0.127717      0.402300E-03
   0.133426      0.372853E-03
   0.139216      0.376723E-03
   0.145090      0.361220E-03
   0.151022      0.355613E-03
   0.156980      0.366350E-03
   0.162943      0.370554E-03
   0.168906      0.362757E-03
   0.174880      0.354971E-03
   0.180884      0.342139E-03
   0.186928      0.339859E-03
   0.193012      0.323187E-03
   0.199126      0.326148E-03
   0.205255      0.324235E-03
   0.211388      0.329647E-03
   0.217522      0.316543E-03
   0.223664      0.318390E-03
   0.229826      0.304601E-03
   0.236020      0.300439E-03
   0.242248      0.291144E-03
   0.248505      0.281335E-03
   0.254778      0.293148E-03
   0.261051      0.291529E-03
   0.267315      0.280775E-03
   0.273569      0.302008E-03
   0.279819      0.278514E-03
   0.286079      0.284025E-03
   0.292361      0.260857E-03
   0.298671      0.269749E-03
   0.305007      0.250801E-03
   0.311363      0.257126E-03
   0.317724      0.251848E-03
   0.324082      0.254991E-03
   0.330430      0.260808E-03
   0.336770      0.256137E-03
   0.343107      0.253294E-03
   0.349450      0.243921E-03
   0.355805      0.246194E-03
   0.362175      0.236011E-03
   0.368560      0.231020E-03
   0.374955      0.232067E-03
   0.381356      0.226552E-03
   0.387756      0.232245E-03
   0.394154      0.224666E-03
   0.400548      0.230409E-03
   0.406941      0.226368E-03
   0.413334      0.107488E-02
   0.419728      0.339502E-02
   0.426126      0.431411E-02
   0.432527      0.431272E-02
   0.438930      0.411702E-02
   0.445334      0.402037E-02
   0.451738      0.393484E-02
   0.458141      0.385973E-02
   0.464541      0.382144E-02
   0.470939      0.377902E-02
   0.477333      0.373549E-02
   0.483723      0.371289E-02
   0.490109      0.368413E-02
   0.496490      0.365122E-02
   0.502868      0.363362E-02
   0.509242      0.360427E-02
   0.515614      0.358130E-02
   0.521981      0.355869E-02
   0.528346      0.353654E-02
   0.534706      0.351432E-02
   0.541061      0.348696E-02
   0.547411      0.347404E-02
   0.553756      0.345332E-02
   0.560098      0.342322E-02
   0.566440      0.340440E-02
   0.572784      0.337914E-02
   0.579134      0.335119E-02
   0.585490      0.332448E-02
   0.591851      0.330346E-02
   0.598214      0.327738E-02
   0.604576      0.326125E-02
   0.610931      0.324246E-02
   0.617279      0.321972E-02
   0.623618      0.320520E-02
   0.629952      0.317734E-02
   0.636284      0.316067E-02
   0.642619      0.312817E-02
   0.648960      0.310734E-02
   0.655308      0.307357E-02
   0.661661      0.306005E-02
   0.668018      0.302735E-02
   0.674376      0.300587E-02
   0.680733      0.298967E-02
   0.687087      0.296125E-02
   0.693438      0.294175E-02
   0.699786      0.292611E-02
   0.706133      0.289633E-02
   0.712479      0.288725E-02
   0.718823      0.285754E-02
   0.725167      0.283814E-02
   0.731511      0.282147E-02
   0.737853      0.279624E-02
   0.744192      0.278846E-02
   0.750527      0.276005E-02
   0.756854      0.275139E-02
   0.763171      0.272673E-02
   0.769478      0.271762E-02
   0.775777      0.269128E-02
   0.782069      0.267781E-02
   0.788361      0.265314E-02
   0.794652      0.263684E-02
   0.800942      0.261430E-02
   0.807226      0.259407E-02
   0.813497      0.258640E-02
   0.819750      0.256936E-02
   0.825985      0.254492E-02
   0.832203      0.253412E-02
   0.838409      0.251460E-02
   0.844607      0.249259E-02
   0.850796      0.247014E-02
   0.856970      0.245223E-02
   0.863123      0.242602E-02
   0.869251      0.241282E-02
   0.875355      0.238734E-02
   0.881440      0.236805E-02
   0.887509      0.234021E-02
   0.893554      0.230990E-02
   0.899557      0.229844E-02
   0.905492      0.227757E-02
   0.911345      0.226329E-02
   0.917116      0.223924E-02
   0.922818      0.219837E-02
   0.928456      0.214965E-02
   0.934017      0.209234E-02
   0.939480      0.203315E-02
   0.944833      0.193814E-02
   0.950095      0.183680E-02
   0.955303      0.169316E-02
   0.960476      0.152857E-02
   0.965586      0.137069E-02
   0.970574      0.119951E-02
   0.975386      0.101051E-02
   0.980008      0.833698E-03
   0.984482      0.697264E-03
   0.988834      0.601278E-03
   0.992988      0.513143E-03
   0.996824      0.390589E-03
    1.00000      0.312510E-03
    1.00010       0.00000    
    1.00336       0.00000    
    1.00692       0.00000    
    1.01080       0.00000    
    1.01504       0.00000    
    1.01965       0.00000    
    1.02468       0.00000    
    1.03016       0.00000    
    1.03613       0.00000    
    1.04264       0.00000    
    1.04972       0.00000    
    1.05745       0.00000    
    1.06586       0.00000    
    1.07502       0.00000    
    1.08499       0.00000    
    1.09586       0.00000    
    1.10769       0.00000    
    1.12057       0.00000    
    1.13460       0.00000    
    1.14988       0.00000    
    1.16651       0.00000    
    1.18462       0.00000    
    1.20433       0.00000    
    1.22580       0.00000    
    1.24916       0.00000    
    1.27460       0.00000    
    1.30228       0.00000    
    1.33242       0.00000    
    1.36522       0.00000    
    1.40093       0.00000    
    1.43979       0.00000    
    1.48209       0.00000    
    1.52813       0.00000    
    1.57824       0.00000    
    1.63277       0.00000    
    1.69211       0.00000    
    1.75669       0.00000    
    1.82698       0.00000    
    1.90346       0.00000    
    1.98669       0.00000    

   0.936206E-02  0.510696E-04
   0.803471E-02  0.155128E-03
   0.682801E-02  0.281174E-03
   0.572383E-02  0.408837E-03
   0.470924E-02  0.678807E-03
   0.377458E-02  0.759958E-03
   0.292856E-02  0.142437E-02
   0.218676E-02  0.151819E-02
   0.155661E-02  0.244836E-02
   0.104048E-02  0.252235E-02
   0.636134E-03  0.332338E-02
   0.335010E-03  0.363755E-02
   0.128880E-03  0.431329E-02
   0.119824E-04  0.462194E-02
  -0.185939E-04  0.579173E-02
   0.374342E-04  0.572348E-02
   0.186770E-03  0.752680E-02
   0.443205E-03  0.734321E-02
   0.825391E-03  0.845140E-02
   0.135655E-02  0.576490E-02
   0.204375E-02  0.220853E-02
   0.287174E-02  0.232585E-03
   0.381793E-02  0.102539E-01
   0.484979E-02  0.178430E-01
   0.594955E-02  0.174306E-01
   0.712232E-02  0.167504E-01
   0.837649E-02  0.156414E-01
   0.972574E-02  0.145554E-01
   0.111899E-01  0.127157E-01
   0.127879E-01  0.111651E-01
   0.145397E-01  0.940643E-02
   0.164634E-01  0.815673E-02
   0.185669E-01  0.759406E-02
   0.208533E-01  0.737191E-02
   0.233275E-01  0.721053E-02
   0.259980E-01  0.699739E-02
   0.288936E-01  0.646609E-02
   0.320658E-01  0.587309E-02
   0.355735E-01  0.525600E-02
   0.394642E-01  0.477685E-02
   0.437389E-01  0.448875E-02
   0.483584E-01  0.425891E-02
   0.532788E-01  0.404260E-02
   0.584909E-01  0.382671E-02
   0.639870E-01  0.364975E-02
   0.697242E-01  0.348998E-02
   0.756236E-01  0.337049E-02
   0.816180E-01  0.327569E-02
   0.876862E-01  0.313028E-02
   0.938457E-01  0.298627E-02
   0.100100      0.287405E-02
   0.106417      0.279280E-02
   0.112734      0.276970E-02
   0.119019      0.274999E-02
   0.125280      0.270888E-02
   0.131564      0.262946E-02
   0.137920      0.250925E-02
   0.144369      0.243083E-02
   0.150900      0.235491E-02
   0.157477      0.228745E-02
   0.164069      0.225139E-02
   0.170658      0.220736E-02
   0.177239      0.215976E-02
   0.183815      0.211648E-02
   0.190389      0.207288E-02
   0.196966      0.203959E-02
   0.203548      0.201398E-02
   0.210137      0.199425E-02
   0.216732      0.196988E-02
   0.223327      0.193913E-02
