#  AH 79-100 C AIRFOIL                             
#  alpha =   6.5000
#  Mach  =   0.0000
#  Reyn  =100000000
#  Ncrit =   9.0000
#
#    x           cf
   0.972574E-02  0.972791E-04
   0.837649E-02  0.300802E-03
   0.712232E-02  0.517662E-03
   0.594955E-02  0.656017E-03
   0.484979E-02  0.118131E-02
   0.381793E-02  0.136322E-02
   0.287174E-02  0.253745E-02
   0.204375E-02  0.310055E-02
   0.135655E-02  0.427251E-02
   0.825391E-03  0.425778E-02
   0.443205E-03  0.437762E-02
   0.186770E-03  0.349648E-02
   0.374342E-04  0.470738E-02
  -0.185939E-04  0.358276E-02
   0.119824E-04  0.425627E-02
   0.128880E-03  0.427617E-02
   0.335010E-03  0.328508E-02
   0.636134E-03  0.354928E-02
   0.104048E-02  0.282155E-02
   0.155661E-02  0.171844E-02
   0.218676E-02  0.780633E-03
   0.292856E-02 -0.229523E-03
   0.377458E-02  0.966069E-02
   0.470924E-02  0.117242E-01
   0.572383E-02  0.110575E-01
   0.682801E-02  0.100961E-01
   0.803471E-02  0.997703E-02
   0.936206E-02  0.953018E-02
   0.108353E-01  0.927188E-02
   0.124792E-01  0.882402E-02
   0.143165E-01  0.820760E-02
   0.163648E-01  0.796476E-02
   0.186244E-01  0.789449E-02
   0.210864E-01  0.807029E-02
   0.237439E-01  0.822650E-02
   0.266015E-01  0.813508E-02
   0.296937E-01  0.788906E-02
   0.330625E-01  0.749553E-02
   0.367334E-01  0.713698E-02
   0.406870E-01  0.702065E-02
   0.448589E-01  0.697402E-02
   0.491911E-01  0.698088E-02
   0.536629E-01  0.689876E-02
   0.582936E-01  0.679701E-02
   0.630968E-01  0.658158E-02
   0.680587E-01  0.649632E-02
   0.731341E-01  0.644865E-02
   0.782821E-01  0.640312E-02
   0.834888E-01  0.636001E-02
   0.887708E-01  0.622965E-02
   0.941536E-01  0.609882E-02
   0.996431E-01  0.599981E-02
   0.105217      0.591631E-02
   0.110829      0.591709E-02
   0.116448      0.590571E-02
   0.122070      0.584305E-02
   0.127717      0.581573E-02
   0.133426      0.565372E-02
   0.139216      0.560156E-02
   0.145090      0.546389E-02
   0.151022      0.541500E-02
   0.156980      0.539260E-02
   0.162943      0.534801E-02
   0.168906      0.533760E-02
   0.174880      0.526462E-02
   0.180884      0.521410E-02
   0.186928      0.516648E-02
   0.193012      0.509714E-02
   0.199126      0.505802E-02
   0.205255      0.501654E-02
   0.211388      0.499241E-02
   0.217522      0.497226E-02
   0.223664      0.492113E-02
   0.229826      0.486401E-02
   0.236020      0.481610E-02
   0.242248      0.475998E-02
   0.248505      0.472887E-02
   0.254778      0.470872E-02
   0.261051      0.465594E-02
   0.267315      0.465139E-02
   0.273569      0.463983E-02
   0.279819      0.459597E-02
   0.286079      0.456707E-02
   0.292361      0.451510E-02
   0.298671      0.447157E-02
   0.305007      0.443969E-02
   0.311363      0.439689E-02
   0.317724      0.437801E-02
   0.324082      0.435368E-02
   0.330430      0.433070E-02
   0.336770      0.431855E-02
   0.343107      0.429269E-02
   0.349450      0.424672E-02
   0.355805      0.422589E-02
   0.362175      0.419158E-02
   0.368560      0.415205E-02
   0.374955      0.413381E-02
   0.381356      0.410561E-02
   0.387756      0.408426E-02
   0.394154      0.406175E-02
   0.400548      0.403656E-02
   0.406941      0.401375E-02
   0.413334      0.399658E-02
   0.419728      0.396290E-02
   0.426126      0.393844E-02
   0.432527      0.391825E-02
   0.438930      0.389637E-02
   0.445334      0.387783E-02
   0.451738      0.384825E-02
   0.458141      0.383244E-02
   0.464541      0.380547E-02
   0.470939      0.378677E-02
   0.477333      0.376434E-02
   0.483723      0.374340E-02
   0.490109      0.371976E-02
   0.496490      0.370468E-02
   0.502868      0.367381E-02
   0.509242      0.365215E-02
   0.515614      0.362799E-02
   0.521981      0.360130E-02
   0.528346      0.357817E-02
   0.534706      0.354913E-02
   0.541061      0.352336E-02
   0.547411      0.349211E-02
   0.553756      0.346306E-02
   0.560098      0.343214E-02
   0.566440      0.339846E-02
   0.572784      0.336059E-02
   0.579134      0.333190E-02
   0.585490      0.328462E-02
   0.591851      0.324696E-02
   0.598214      0.321815E-02
   0.604576      0.318019E-02
   0.610931      0.314578E-02
   0.617279      0.311462E-02
   0.623618      0.307810E-02
   0.629952      0.304251E-02
   0.636284      0.300168E-02
   0.642619      0.296631E-02
   0.648960      0.292160E-02
   0.655308      0.288340E-02
   0.661661      0.284268E-02
   0.668018      0.280491E-02
   0.674376      0.276511E-02
   0.680733      0.272659E-02
   0.687087      0.269153E-02
   0.693438      0.265502E-02
   0.699786      0.261443E-02
   0.706133      0.257868E-02
   0.712479      0.254296E-02
   0.718823      0.250974E-02
   0.725167      0.246801E-02
   0.731511      0.243599E-02
   0.737853      0.240207E-02
   0.744192      0.236485E-02
   0.750527      0.233165E-02
   0.756854      0.229475E-02
   0.763171      0.226551E-02
   0.769478      0.222916E-02
   0.775777      0.219848E-02
   0.782069      0.216168E-02
   0.788361      0.212627E-02
   0.794652      0.208923E-02
   0.800942      0.205520E-02
   0.807226      0.201687E-02
   0.813497      0.198276E-02
   0.819750      0.194780E-02
   0.825985      0.191865E-02
   0.832203      0.187777E-02
   0.838409      0.183954E-02
   0.844607      0.179915E-02
   0.850796      0.175698E-02
   0.856970      0.171700E-02
   0.863123      0.167878E-02
   0.869251      0.163214E-02
   0.875355      0.158520E-02
   0.881440      0.153498E-02
   0.887509      0.148692E-02
   0.893554      0.143618E-02
   0.899557      0.138067E-02
   0.905492      0.132988E-02
   0.911345      0.126967E-02
   0.917116      0.120556E-02
   0.922818      0.113096E-02
   0.928456      0.104936E-02
   0.934017      0.963529E-03
   0.939480      0.869742E-03
   0.944833      0.772173E-03
   0.950095      0.665248E-03
   0.955303      0.559134E-03
   0.960476      0.457831E-03
   0.965586      0.366346E-03
   0.970574      0.285255E-03
   0.975386      0.215113E-03
   0.980008      0.156881E-03
   0.984482      0.114155E-03
   0.988834      0.806036E-04
   0.992988      0.522658E-04
   0.996824      0.221669E-04
    1.00000      0.359020E-06
    1.00010       0.00000    
    1.00337       0.00000    
    1.00694       0.00000    
    1.01084       0.00000    
    1.01510       0.00000    
    1.01974       0.00000    
    1.02481       0.00000    
    1.03033       0.00000    
    1.03635       0.00000    
    1.04291       0.00000    
    1.05007       0.00000    
    1.05786       0.00000    
    1.06636       0.00000    
    1.07561       0.00000    
    1.08569       0.00000    
    1.09667       0.00000    
    1.10864       0.00000    
    1.12166       0.00000    
    1.13585       0.00000    
    1.15130       0.00000    
    1.16813       0.00000    
    1.18645       0.00000    
    1.20639       0.00000    
    1.22811       0.00000    
    1.25175       0.00000    
    1.27748       0.00000    
    1.30549       0.00000    
    1.33598       0.00000    
    1.36916       0.00000    
    1.40528       0.00000    
    1.44458       0.00000    
    1.48734       0.00000    
    1.53388       0.00000    
    1.58452       0.00000    
    1.63962       0.00000    
    1.69956       0.00000    
    1.76478       0.00000    
    1.83574       0.00000    
    1.91293       0.00000    
    1.99691       0.00000    

   0.111899E-01  0.424536E-04
   0.127879E-01  0.125330E-03
   0.145397E-01  0.259839E-03
   0.164634E-01  0.176859E-03
   0.185669E-01  0.364986E-03
   0.208533E-01  0.271339E-03
   0.233275E-01  0.373861E-03
   0.259980E-01  0.354546E-03
   0.288936E-01  0.359213E-03
   0.320658E-01  0.319371E-03
   0.355735E-01  0.331920E-03
   0.394642E-01  0.316877E-03
   0.437389E-01  0.289613E-03
   0.483584E-01  0.334122E-03
   0.532788E-01  0.272341E-03
   0.584909E-01  0.279875E-03
   0.639870E-01  0.272837E-03
   0.697242E-01  0.258790E-03
   0.756236E-01  0.242630E-03
   0.816180E-01  0.260426E-03
   0.876862E-01  0.223169E-03
   0.938457E-01  0.216979E-03
   0.100100      0.195538E-03
   0.106417      0.207505E-03
   0.112734      0.220956E-03
   0.119019      0.213172E-03
   0.125280      0.210222E-03
   0.131564      0.181594E-03
   0.137920      0.170326E-03
   0.144369      0.147997E-03
   0.150900      0.159641E-03
   0.157477      0.148860E-03
   0.164069      0.148087E-03
   0.170658      0.156422E-03
   0.177239      0.138785E-03
   0.183815      0.148330E-03
   0.190389      0.128941E-03
   0.196966      0.135953E-03
   0.203548      0.136414E-03
   0.210137      0.137170E-03
   0.216732      0.132449E-03
   0.223327      0.131173E-03
   0.229919      0.123127E-03
   0.236502      0.120737E-03
   0.243078      0.120697E-03
   0.249650      0.109038E-03
   0.256226      0.110719E-03
   0.262815      0.116108E-03
   0.269419      0.109014E-03
   0.276035      0.109223E-03
   0.282657      0.110411E-03
   0.289273      0.106794E-03
   0.295877      0.103716E-03
   0.302466      0.993976E-04
   0.309044      0.987658E-04
   0.315616      0.955309E-04
   0.322191      0.100009E-03
   0.328772      0.308957E-03
   0.335360      0.115719E-02
   0.341953      0.157452E-02
   0.348547      0.162634E-02
   0.355137      0.156829E-02
   0.361721      0.152001E-02
   0.368297      0.147739E-02
   0.374867      0.145658E-02
   0.381432      0.143566E-02
   0.387992      0.141738E-02
   0.394552      0.140266E-02
   0.401111      0.138038E-02
   0.407673      0.137651E-02
   0.414239      0.136904E-02
   0.420809      0.135635E-02
   0.427384      0.134770E-02
   0.433961      0.135104E-02
   0.440537      0.132776E-02
   0.447108      0.132503E-02
   0.453675      0.131943E-02
   0.460237      0.131188E-02
   0.466799      0.131468E-02
   0.473365      0.130211E-02
   0.479939      0.129995E-02
   0.486525      0.130390E-02
   0.493123      0.129510E-02
   0.499728      0.129624E-02
   0.506336      0.129172E-02
   0.512941      0.128584E-02
   0.519539      0.128046E-02
   0.526131      0.127226E-02
   0.532719      0.127528E-02
   0.539308      0.126610E-02
   0.545902      0.126516E-02
   0.552503      0.126664E-02
   0.559111      0.126286E-02
   0.565721      0.125502E-02
   0.572326      0.125907E-02
   0.578921      0.124609E-02
   0.585503      0.124763E-02
   0.592074      0.124140E-02
   0.598639      0.123510E-02
   0.605207      0.123795E-02
   0.611784      0.123791E-02
   0.618374      0.123440E-02
   0.624976      0.124083E-02
   0.631584      0.123008E-02
   0.638188      0.123414E-02
   0.644780      0.122347E-02
   0.651358      0.122367E-02
   0.657921      0.121476E-02
   0.664473      0.121545E-02
   0.671023      0.121128E-02
   0.677574      0.121274E-02
   0.684130      0.121286E-02
   0.690692      0.121088E-02
   0.697259      0.121221E-02
   0.703827      0.120770E-02
   0.710393      0.120886E-02
   0.716957      0.120835E-02
   0.723514      0.120288E-02
   0.730063      0.120102E-02
   0.736604      0.119833E-02
   0.743135      0.119934E-02
   0.749660      0.119630E-02
   0.756179      0.119540E-02
   0.762696      0.119337E-02
   0.769213      0.119219E-02
   0.775729      0.119131E-02
   0.782243      0.119703E-02
   0.788755      0.119674E-02
   0.795263      0.119214E-02
   0.801765      0.119818E-02
   0.808261      0.118940E-02
   0.814748      0.119256E-02
   0.821225      0.119361E-02
   0.827689      0.119001E-02
   0.834139      0.118730E-02
   0.840572      0.119679E-02
   0.846991      0.118488E-02
   0.853401      0.119716E-02
   0.859812      0.119787E-02
   0.866230      0.120621E-02
   0.872652      0.121005E-02
   0.879060      0.120413E-02
   0.885433      0.121135E-02
   0.891763      0.120486E-02
   0.898059      0.121153E-02
   0.904342      0.122043E-02
   0.910624      0.123100E-02
   0.916889      0.123873E-02
   0.923100      0.123634E-02
   0.929230      0.124183E-02
   0.935290      0.125458E-02
   0.941305      0.127147E-02
   0.947269      0.129095E-02
   0.953121      0.130210E-02
   0.958804      0.132027E-02
   0.964324      0.135096E-02
   0.969710      0.139153E-02
   0.974894      0.143157E-02
   0.979753      0.146125E-02
   0.984281      0.153955E-02
   0.988587      0.184058E-02
   0.992739      0.197360E-02
   0.996687      0.245495E-02
    1.00000      0.193808E-02
    1.00010       0.00000    
    1.00337       0.00000    
    1.00694       0.00000    
    1.01084       0.00000    
    1.01510       0.00000    
    1.01974       0.00000    
    1.02481       0.00000    
    1.03033       0.00000    
    1.03635       0.00000    
    1.04291       0.00000    
    1.05007       0.00000    
    1.05786       0.00000    
    1.06636       0.00000    
    1.07561       0.00000    
    1.08569       0.00000    
    1.09667       0.00000    
    1.10864       0.00000    
    1.12166       0.00000    
    1.13585       0.00000    
    1.15130       0.00000    
    1.16813       0.00000    
    1.18645       0.00000    
    1.20639       0.00000    
    1.22811       0.00000    
    1.25175       0.00000    
    1.27748       0.00000    
    1.30549       0.00000    
    1.33598       0.00000    
    1.36916       0.00000    
    1.40528       0.00000    
    1.44458       0.00000    
    1.48734       0.00000    
    1.53388       0.00000    
    1.58452       0.00000    
    1.63962       0.00000    
    1.69956       0.00000    
    1.76478       0.00000    
    1.83574       0.00000    
    1.91293       0.00000    
    1.99691       0.00000    

