  
       XFOIL         Version 6.99
  
 Calculated polar for: AH 79-100 C AIRFOIL                             
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000  9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr  Top_Itr  Bot_Itr
  ------ -------- --------- --------- -------- -------- -------- -------- --------
  -8.000  -0.0174   0.01250   0.00542  -0.2049   0.9295   0.0101  15.8075 200.2057
  -7.500   0.0491   0.01127   0.00431  -0.2080   0.9235   0.0112  16.8698 201.0018
  -7.000   0.1156   0.01058   0.00381  -0.2108   0.9160   0.0132  18.1920 202.1957
  -6.500   0.1818   0.01011   0.00341  -0.2133   0.9067   0.0166  19.7924 204.0389
  -6.000   0.2453   0.00964   0.00307  -0.2154   0.8953   0.0196  21.6996 205.4214
  -5.500   0.3058   0.00917   0.00263  -0.2168   0.8826   0.0220  23.8112 206.4505
  -5.000   0.3638   0.00874   0.00219  -0.2176   0.8690   0.0243  26.0304 207.3446
  -4.500   0.4195   0.00838   0.00176  -0.2178   0.8548   0.0262  28.3462 208.0669
  -4.000   0.4748   0.00808   0.00146  -0.2179   0.8411   0.0286  30.5642 208.9028
  -3.500   0.5299   0.00772   0.00111  -0.2180   0.8279   0.0306  32.6916 209.5199
  -3.000   0.5848   0.00746   0.00083  -0.2179   0.8150   0.0333  34.7527 210.3524
  -2.500   0.6393   0.00727   0.00062  -0.2177   0.8023   0.0401  36.7851 212.1528
  -2.000   0.6935   0.00711   0.00047  -0.2175   0.7896   0.0588  38.7901 216.0583
  -1.500   0.7472   0.00698   0.00037  -0.2172   0.7770   0.0900  40.8038 221.3709
  -1.000   0.8009   0.00682   0.00034  -0.2171   0.7647   0.1682  42.7438 233.6230
  -0.500   0.8545   0.00671   0.00035  -0.2169   0.7529   0.2543  44.6142 246.7062
   0.000   0.9077   0.00659   0.00039  -0.2166   0.7408   0.3711  46.5257 264.4258
   0.500   0.9609   0.00643   0.00046  -0.2164   0.7294   0.5314  48.3216 288.8020
   1.000   1.0064   0.00597   0.00066  -0.2143   0.7166   0.8772  50.3347 341.7065
   1.500   1.0568   0.00597   0.00062  -0.2131   0.7044   1.0000  52.2630 364.0000
   2.000   1.1081   0.00616   0.00060  -0.2123   0.6907   1.0000  54.4296 364.0000
   2.500   1.1580   0.00637   0.00057  -0.2111   0.6753   1.0000  56.8439 364.0000
   3.000   1.2065   0.00660   0.00056  -0.2097   0.6575   1.0000  59.6433 364.0000
   3.500   1.2535   0.00684   0.00054  -0.2080   0.6396   1.0000  62.4718 364.0000
   4.000   1.2982   0.00713   0.00053  -0.2058   0.6185   1.0000  65.8010 364.0000
   4.500   1.3396   0.00753   0.00054  -0.2030   0.5884   1.0000  70.5312 364.0000
   5.000   1.3734   0.00822   0.00061  -0.1986   0.5354   1.0000  78.8871 364.0000
   5.500   1.4041   0.00916   0.00082  -0.1938   0.4725   1.0000  88.7410 364.0000
   6.000   1.4329   0.01029   0.00113  -0.1888   0.4049   1.0000  99.3094 364.0000
   6.500   1.4612   0.01151   0.00151  -0.1839   0.3403   1.0000 109.4311 364.0000
   7.000   1.4852   0.01299   0.00204  -0.1784   0.2700   1.0000 120.5656 364.0000
   7.500   1.5065   0.01466   0.00270  -0.1727   0.2028   1.0000 131.3898 364.0000
   8.000   1.5219   0.01676   0.00362  -0.1662   0.1310   1.0000 143.4102 364.0000
