  
       XFOIL         Version 6.99
  
 Calculated polar for: AH 79-100 C AIRFOIL                             
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =    10.000 e 6     Ncrit =   9.000  9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr  Top_Itr  Bot_Itr
  ------ -------- --------- --------- -------- -------- -------- -------- --------
  -8.000   0.0475   0.00636   0.00176  -0.2209   0.8039   0.0040  36.5227 195.1461
  -7.500   0.1021   0.00602   0.00144  -0.2209   0.7896   0.0043  38.8003 195.4236
  -7.000   0.1570   0.00577   0.00118  -0.2209   0.7753   0.0046  41.0701 195.7686
  -6.500   0.2122   0.00557   0.00098  -0.2210   0.7607   0.0048  43.3836 195.9741
  -6.000   0.2675   0.00537   0.00076  -0.2210   0.7463   0.0055  45.6526 196.6131
  -5.500   0.3227   0.00510   0.00051  -0.2211   0.7322   0.0113  47.8796 201.0491
  -5.000   0.3781   0.00501   0.00042  -0.2211   0.7185   0.0140  50.0350 202.6942
  -4.500   0.4338   0.00495   0.00035  -0.2212   0.7060   0.0148  52.0168 203.1300
  -4.000   0.4892   0.00489   0.00027  -0.2212   0.6931   0.0159  54.0392 203.6977
  -3.500   0.5449   0.00485   0.00019  -0.2213   0.6820   0.0164  55.7899 203.9782
  -3.000   0.6003   0.00480   0.00013  -0.2213   0.6692   0.0176  57.8011 204.5309
  -2.500   0.6556   0.00478   0.00007  -0.2213   0.6568   0.0185  59.7529 204.9525
  -2.000   0.7107   0.00477   0.00001  -0.2213   0.6436   0.0208  61.8347 205.9771
  -1.500   0.7656   0.00474  -0.00003  -0.2212   0.6287   0.0357  64.1815 211.0209
  -1.000   0.8192   0.00482  -0.00005  -0.2209   0.6067   0.0440  67.6504 213.0482
  -0.500   0.8725   0.00489  -0.00005  -0.2205   0.5846   0.0636  71.1262 216.9303
   0.000   0.9248   0.00499  -0.00003  -0.2200   0.5556   0.1001  75.6992 222.9958
   0.500   0.9759   0.00515   0.00002  -0.2192   0.5219   0.1512  80.9988 231.0360
   1.000   1.0262   0.00538   0.00008  -0.2183   0.4853   0.1856  86.7424 236.2623
   1.500   1.0769   0.00558   0.00016  -0.2174   0.4537   0.2388  91.6765 244.3538
   2.000   1.1275   0.00575   0.00023  -0.2166   0.4251   0.3172  96.1550 256.2468
   2.500   1.1747   0.00608   0.00037  -0.2152   0.3784   0.4114 103.4512 270.5721
   3.000   1.2182   0.00659   0.00056  -0.2129   0.3157   0.4920 113.3011 282.8273
   3.500   1.2617   0.00706   0.00075  -0.2107   0.2623   0.5931 121.7881 298.1634
   4.000   1.3025   0.00749   0.00093  -0.2079   0.2172   0.6943 129.0390 313.5574
   4.500   1.3389   0.00812   0.00115  -0.2042   0.1614   0.7735 138.2495 325.6666
   5.000   1.3715   0.00852   0.00143  -0.1996   0.1145   1.0000 146.3375 364.0000
   5.500   1.4073   0.00931   0.00168  -0.1959   0.0704   1.0000 154.5407 364.0000
   6.000   1.4381   0.01036   0.00202  -0.1911   0.0185   1.0000 168.0678 364.0000
   6.500   1.4769   0.01100   0.00221  -0.1880   0.0057   1.0000 176.0164 364.0000
   7.000   1.5183   0.01151   0.00237  -0.1856   0.0049   1.0000 176.7883 364.0000
   7.500   1.5591   0.01203   0.00253  -0.1830   0.0045   1.0000 177.1913 364.0000
   8.000   1.5989   0.01261   0.00272  -0.1804   0.0043   1.0000 177.4418 364.0000
