  
       XFOIL         Version 6.99
  
 Calculated polar for: AH 79-100 C AIRFOIL                             
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =   100.000 e 6     Ncrit =   9.000  9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr  Top_Itr  Bot_Itr
  ------ -------- --------- --------- -------- -------- -------- -------- --------
  -8.000   0.0362   0.00535   0.00120  -0.2199   0.4630   0.0029  90.2297 193.9831
  -7.500   0.0925   0.00525   0.00108  -0.2201   0.4442   0.0029  93.1664 193.9874
  -7.000   0.1489   0.00516   0.00096  -0.2204   0.4286   0.0029  95.6059 193.9978
  -6.500   0.2053   0.00508   0.00086  -0.2206   0.4114   0.0033  98.2935 194.4318
  -6.000   0.2614   0.00502   0.00077  -0.2208   0.3927   0.0035 101.2239 194.6828
  -5.500   0.3174   0.00499   0.00070  -0.2209   0.3720   0.0038 104.4535 194.9601
  -5.000   0.3732   0.00499   0.00064  -0.2210   0.3485   0.0038 108.1416 194.9938
  -4.500   0.4288   0.00500   0.00060  -0.2210   0.3256   0.0044 111.7521 195.5095
  -4.000   0.4847   0.00500   0.00055  -0.2211   0.3084   0.0048 114.4522 195.9192
  -3.500   0.5407   0.00493   0.00046  -0.2213   0.2944   0.0125 116.6602 201.8165
  -3.000   0.5965   0.00497   0.00045  -0.2214   0.2801   0.0132 118.9500 202.2238
  -2.500   0.6527   0.00498   0.00043  -0.2216   0.2720   0.0144 120.2462 202.9070
  -2.000   0.7080   0.00505   0.00043  -0.2216   0.2568   0.0154 122.6646 203.4236
  -1.500   0.7629   0.00513   0.00044  -0.2215   0.2382   0.0163 125.6371 203.9120
  -1.000   0.8184   0.00518   0.00044  -0.2216   0.2294   0.0170 127.0537 204.2330
  -0.500   0.8724   0.00531   0.00046  -0.2213   0.2075   0.0208 130.6277 205.9772
   0.000   0.9270   0.00538   0.00047  -0.2212   0.1946   0.0351 132.7286 210.8477
   0.500   0.9796   0.00558   0.00051  -0.2207   0.1650   0.0394 137.6423 211.9778
   1.000   1.0333   0.00569   0.00054  -0.2204   0.1508   0.0536 140.0322 215.0517
   1.500   1.0862   0.00584   0.00059  -0.2200   0.1324   0.0755 143.1649 218.9753
   2.000   1.1364   0.00614   0.00067  -0.2190   0.0943   0.0998 149.9649 222.9559
   2.500   1.1876   0.00637   0.00073  -0.2183   0.0721   0.1191 154.1905 226.0125
   3.000   1.2391   0.00656   0.00079  -0.2176   0.0580   0.1522 157.0646 231.1885
   3.500   1.2891   0.00684   0.00086  -0.2167   0.0378   0.1668 161.7191 233.4182
   4.000   1.3377   0.00715   0.00095  -0.2154   0.0143   0.2170 170.0128 241.0378
   4.500   1.3871   0.00742   0.00101  -0.2143   0.0047   0.2424 176.9758 244.9001
   5.000   1.4371   0.00764   0.00107  -0.2134   0.0037   0.2579 178.0487 247.2542
   5.500   1.4865   0.00786   0.00114  -0.2125   0.0037   0.2784 178.0638 250.3564
   6.000   1.5352   0.00808   0.00120  -0.2113   0.0036   0.3134 178.2593 255.6651
   6.500   1.5828   0.00835   0.00126  -0.2100   0.0029   0.3276 179.0045 257.8206
   7.000   1.6246   0.00858   0.00128  -0.2074   0.0029   0.3442 179.0207 260.3407
   7.500   1.6661   0.00885   0.00132  -0.2048   0.0029   0.3685 179.0383 264.0285
   8.000   1.7083   0.00916   0.00138  -0.2024   0.0029   0.3939 179.0904 267.8970
