#  AH 79-100 C AIRFOIL                             
#  alpha =  -8.0000
#  Mach  =   0.0000
#  Reyn  =  1000000
#  Ncrit =  10.0000
#
#    x           cf
   0.173740E-01  0.584502E-03
   0.198747E-01  0.120758E-02
   0.225833E-01  0.213923E-02
   0.254950E-01  0.232736E-02
   0.286323E-01  0.310717E-02
   0.320377E-01  0.291615E-02
   0.357389E-01  0.362260E-02
   0.397242E-01  0.317408E-02
   0.439327E-01  0.425268E-02
   0.483036E-01  0.362045E-02
   0.528078E-01  0.436082E-02
   0.574579E-01  0.376924E-02
   0.622680E-01  0.417999E-02
   0.672283E-01  0.400627E-02
   0.723005E-01  0.421508E-02
   0.774449E-01  0.413235E-02
   0.826450E-01  0.420990E-02
   0.879114E-01  0.406262E-02
   0.932669E-01  0.400006E-02
   0.987192E-01  0.381570E-02
   0.104252      0.404170E-02
   0.109827      0.391081E-02
   0.115414      0.399674E-02
   0.121005      0.401595E-02
   0.126615      0.390637E-02
   0.132275      0.373027E-02
   0.138006      0.355693E-02
   0.143811      0.355383E-02
   0.149674      0.357425E-02
   0.155566      0.342812E-02
   0.161466      0.354888E-02
   0.167368      0.362832E-02
   0.173277      0.340478E-02
   0.179209      0.345757E-02
   0.185175      0.322563E-02
   0.191177      0.334325E-02
   0.197209      0.321780E-02
   0.203259      0.314771E-02
   0.209314      0.323137E-02
   0.215372      0.318450E-02
   0.221435      0.313736E-02
   0.227512      0.307387E-02
   0.233613      0.303904E-02
   0.239744      0.296544E-02
   0.245903      0.281531E-02
   0.252081      0.294115E-02
   0.258265      0.286831E-02
   0.264444      0.289387E-02
   0.270615      0.289428E-02
   0.276780      0.291435E-02
   0.282948      0.278162E-02
   0.289131      0.277493E-02
   0.295335      0.265405E-02
   0.301564      0.266003E-02
   0.307813      0.259212E-02
   0.314073      0.258873E-02
   0.320335      0.263090E-02
   0.326592      0.253658E-02
   0.332841      0.262584E-02
   0.339084      0.255883E-02
   0.345328      0.253150E-02
   0.351579      0.248585E-02
   0.357842      0.245187E-02
   0.364118      0.241898E-02
   0.370406      0.240204E-02
   0.376701      0.234794E-02
   0.382999      0.234445E-02
   0.389297      0.234486E-02
   0.395592      0.233225E-02
   0.401885      0.229946E-02
   0.408176      0.230396E-02
   0.414468      0.226007E-02
   0.420762      0.226565E-02
   0.427059      0.224503E-02
   0.433358      0.219992E-02
   0.439659      0.219051E-02
   0.445960      0.217834E-02
   0.452262      0.215706E-02
   0.458562      0.214763E-02
   0.464860      0.212993E-02
   0.471156      0.210702E-02
   0.477449      0.208163E-02
   0.483738      0.210294E-02
   0.490024      0.204382E-02
   0.496305      0.203531E-02
   0.502584      0.203562E-02
   0.508859      0.199001E-02
   0.515132      0.195340E-02
   0.521401      0.194729E-02
   0.527668      0.191213E-02
   0.533931      0.188438E-02
   0.540189      0.184266E-02
   0.546442      0.181466E-02
   0.552692      0.176796E-02
   0.558938      0.174113E-02
   0.565183      0.169405E-02
   0.571429      0.163672E-02
   0.577679      0.158864E-02
   0.583933      0.155435E-02
   0.590192      0.149185E-02
   0.596454      0.144309E-02
   0.602714      0.142435E-02
   0.608970      0.137573E-02
   0.615219      0.133976E-02
   0.621460      0.130724E-02
   0.627696      0.127134E-02
   0.633928      0.122818E-02
   0.640161      0.115959E-02
   0.646397      0.113559E-02
   0.652639      0.105757E-02
   0.658885      0.102362E-02
   0.665135      0.976020E-03
   0.671386      0.944917E-03
   0.677636      0.898468E-03
   0.683883      0.853427E-03
   0.690128      0.820890E-03
   0.696370      0.789362E-03
   0.702610      0.747187E-03
   0.708848      0.714517E-03
   0.715084      0.673724E-03
   0.721319      0.644576E-03
   0.727554      0.605215E-03
   0.733787      0.573081E-03
   0.740018      0.544705E-03
   0.746245      0.512641E-03
   0.752468      0.481072E-03
   0.758683      0.448398E-03
   0.764888      0.423200E-03
   0.771085      0.389672E-03
   0.777275      0.358830E-03
   0.783460      0.317328E-03
   0.789643      0.284065E-03
   0.795826      0.251550E-03
   0.802007      0.214392E-03
   0.808181      0.177491E-03
   0.814343      0.145778E-03
   0.820489      0.120159E-03
   0.826619      0.824944E-04
   0.832734      0.548048E-04
   0.838839      0.231201E-04
   0.844937     -0.488395E-05
   0.851025     -0.342896E-04
   0.857100     -0.547772E-04
   0.863157     -0.752348E-04
   0.869192     -0.915002E-04
   0.875205     -0.103964E-03
   0.881201     -0.114482E-03
   0.887183     -0.121115E-03
   0.893144     -0.125905E-03
   0.899070     -0.128067E-03
   0.904939     -0.129476E-03
   0.910737     -0.130074E-03
   0.916463     -0.130048E-03
   0.922126     -0.129736E-03
   0.927732     -0.129209E-03
   0.933273     -0.128421E-03
   0.938727     -0.921799E-04
   0.944083      0.178202E-04
   0.949351      0.148351E-03
   0.954563      0.310092E-03
   0.959741      0.398480E-03
   0.964867      0.434615E-03
   0.969889      0.413593E-03
   0.974757      0.346106E-03
   0.979450      0.265875E-03
   0.984006      0.201147E-03
   0.988454      0.159400E-03
   0.992727      0.117281E-03
   0.996702      0.500124E-04
    1.00000      0.228625E-04
    1.00010       0.00000    
    1.00349       0.00000    
    1.00718       0.00000    
    1.01121       0.00000    
    1.01559       0.00000    
    1.02035       0.00000    
    1.02554       0.00000    
    1.03119       0.00000    
    1.03733       0.00000    
    1.04402       0.00000    
    1.05129       0.00000    
    1.05920       0.00000    
    1.06780       0.00000    
    1.07716       0.00000    
    1.08734       0.00000    
    1.09840       0.00000    
    1.11044       0.00000    
