#  AH 79-100 C AIRFOIL                             
#  alpha =   6.0000
#  Mach  =   0.0000
#  Reyn  =  1000000
#  Ncrit =  10.0000
#
#    x           cf
   0.748107E-02  0.573895E-03
   0.616582E-02  0.367157E-02
   0.493931E-02  0.412168E-02
   0.379466E-02  0.117508E-01
   0.275478E-02  0.137206E-01
   0.186333E-02  0.286293E-01
   0.114995E-02  0.290833E-01
   0.629761E-03  0.378218E-01
   0.280294E-03  0.337263E-01
   0.725706E-04  0.339085E-01
  -0.146601E-04  0.359205E-01
   0.658553E-05  0.352214E-01
   0.134781E-03  0.368491E-01
   0.373660E-03  0.335102E-01
   0.731002E-03  0.288024E-01
   0.121802E-02  0.247418E-01
   0.184337E-02  0.150480E-01
   0.260614E-02  0.889135E-02
   0.349886E-02  0.409653E-02
   0.450349E-02  0.356355E-02
   0.560215E-02  0.382701E-02
   0.680345E-02  0.718375E-02
   0.812311E-02  0.960938E-02
   0.958315E-02  0.105553E-01
   0.112141E-01  0.898688E-02
   0.130431E-01  0.759785E-02
   0.150929E-01  0.625236E-02
   0.173740E-01  0.583502E-02
   0.198747E-01  0.668055E-02
   0.225833E-01  0.869057E-02
   0.254950E-01  0.888134E-02
   0.286323E-01  0.825730E-02
   0.320377E-01  0.609967E-02
   0.357389E-01  0.548033E-02
   0.397242E-01  0.476913E-02
   0.439327E-01  0.504530E-02
   0.483036E-01  0.521224E-02
   0.528078E-01  0.500966E-02
   0.574579E-01  0.498419E-02
   0.622680E-01  0.419162E-02
   0.672283E-01  0.430954E-02
   0.723005E-01  0.400133E-02
   0.774449E-01  0.410609E-02
   0.826450E-01  0.405176E-02
   0.879114E-01  0.374763E-02
   0.932669E-01  0.345521E-02
   0.987192E-01  0.319433E-02
   0.104252      0.307200E-02
   0.109827      0.308833E-02
   0.115414      0.322863E-02
   0.121005      0.311683E-02
   0.126615      0.298979E-02
   0.132275      0.284720E-02
   0.138006      0.245950E-02
   0.143811      0.229031E-02
   0.149674      0.219168E-02
   0.155566      0.212979E-02
   0.161466      0.213861E-02
   0.167368      0.210272E-02
   0.173277      0.206989E-02
   0.179209      0.202358E-02
   0.185175      0.187873E-02
   0.191177      0.181729E-02
   0.197209      0.171925E-02
   0.203259      0.170048E-02
   0.209314      0.168593E-02
   0.215372      0.164810E-02
   0.221435      0.162603E-02
   0.227512      0.154466E-02
   0.233613      0.149899E-02
   0.239744      0.138852E-02
   0.245903      0.131791E-02
   0.252081      0.127529E-02
   0.258265      0.127129E-02
   0.264444      0.127147E-02
   0.270615      0.123682E-02
   0.276780      0.124974E-02
   0.282948      0.118530E-02
   0.289131      0.114465E-02
   0.295335      0.107835E-02
   0.301564      0.105052E-02
   0.307813      0.974054E-03
   0.314073      0.949639E-03
   0.320335      0.943362E-03
   0.326592      0.922668E-03
   0.332841      0.914028E-03
   0.339084      0.902777E-03
   0.345328      0.862485E-03
   0.351579      0.832244E-03
   0.357842      0.804142E-03
   0.364118      0.780987E-03
   0.370406      0.750892E-03
   0.376701      0.733679E-03
   0.382999      0.726248E-03
   0.389297      0.719349E-03
   0.395592      0.719458E-03
   0.401885      0.719205E-03
   0.408176      0.731407E-03
   0.414468      0.744716E-03
   0.420762      0.776465E-03
   0.427059      0.824933E-03
   0.433358      0.906443E-03
   0.439659      0.119819E-02
   0.445960      0.175894E-02
   0.452262      0.257352E-02
   0.458562      0.362362E-02
   0.464860      0.467006E-02
   0.471156      0.562028E-02
   0.477449      0.642617E-02
   0.483738      0.705083E-02
   0.490024      0.750214E-02
   0.496305      0.783532E-02
   0.502584      0.807597E-02
   0.508859      0.823008E-02
   0.515132      0.829927E-02
   0.521401      0.835281E-02
   0.527668      0.833591E-02
   0.533931      0.831784E-02
   0.540189      0.826330E-02
   0.546442      0.819406E-02
   0.552692      0.812137E-02
   0.558938      0.801394E-02
   0.565183      0.793912E-02
   0.571429      0.780463E-02
   0.577679      0.769051E-02
   0.583933      0.758340E-02
   0.590192      0.746127E-02
   0.596454      0.733320E-02
   0.602714      0.723908E-02
   0.608970      0.712491E-02
   0.615219      0.700871E-02
   0.621460      0.691861E-02
   0.627696      0.680766E-02
   0.633928      0.668866E-02
   0.640161      0.658468E-02
   0.646397      0.644518E-02
   0.652639      0.634360E-02
   0.658885      0.621904E-02
   0.665135      0.611692E-02
   0.671386      0.600981E-02
   0.677636      0.590441E-02
   0.683883      0.580744E-02
   0.690128      0.570019E-02
   0.696370      0.559863E-02
   0.702610      0.551380E-02
   0.708848      0.540532E-02
   0.715084      0.532146E-02
   0.721319      0.522129E-02
   0.727554      0.513247E-02
   0.733787      0.503080E-02
   0.740018      0.495430E-02
   0.746245      0.485945E-02
   0.752468      0.476633E-02
   0.758683      0.469726E-02
   0.764888      0.460735E-02
   0.771085      0.451443E-02
   0.777275      0.443365E-02
   0.783460      0.434015E-02
   0.789643      0.425450E-02
   0.795826      0.415318E-02
   0.802007      0.406249E-02
   0.808181      0.397441E-02
   0.814343      0.388522E-02
   0.820489      0.379379E-02
   0.826619      0.370461E-02
   0.832734      0.360225E-02
   0.838839      0.349771E-02
   0.844937      0.338929E-02
   0.851025      0.328441E-02
   0.857100      0.316613E-02
   0.863157      0.305545E-02
   0.869192      0.293197E-02
   0.875205      0.280543E-02
   0.881201      0.267533E-02
   0.887183      0.252661E-02
   0.893144      0.238645E-02
   0.899070      0.224058E-02
   0.904939      0.208778E-02
   0.910737      0.193222E-02
   0.916463      0.175567E-02
   0.922126      0.157812E-02
   0.927732      0.139081E-02
   0.933273      0.120208E-02
   0.938727      0.101587E-02
   0.944083      0.834248E-03
   0.949351      0.662453E-03
   0.954563      0.504429E-03
   0.959741      0.364026E-03
   0.964867      0.245281E-03
   0.969889      0.145858E-03
   0.974757      0.596426E-04
   0.979450      0.140625E-04
   0.984006      0.358008E-05
   0.988454     -0.284854E-05
   0.992727     -0.703740E-05
   0.996702     -0.996790E-05
    1.00000     -0.117522E-04
    1.00010       0.00000    
    1.00349       0.00000    
    1.00720       0.00000    
    1.01125       0.00000    
    1.01565       0.00000    
    1.02046       0.00000    
    1.02569       0.00000    
    1.03138       0.00000    
    1.03758       0.00000    
    1.04433       0.00000    
    1.05168       0.00000    
    1.05967       0.00000    
    1.06837       0.00000    
    1.07783       0.00000    
    1.08812       0.00000    
    1.09932       0.00000    
    1.11150       0.00000    
    1.12475       0.00000    
    1.13916       0.00000    
    1.15482       0.00000    
    1.17186       0.00000    
    1.19038       0.00000    
    1.21052       0.00000    
    1.23242       0.00000    
    1.25622       0.00000    
    1.28209       0.00000    
    1.31022       0.00000    
    1.34079       0.00000    
    1.37402       0.00000    
    1.41013       0.00000    
    1.44938       0.00000    
    1.49202       0.00000    
    1.53837       0.00000    
    1.58873       0.00000    
    1.64345       0.00000    
    1.70290       0.00000    
    1.76750       0.00000    
    1.83768       0.00000    
    1.91393       0.00000    
    1.99677       0.00000    

   0.889719E-02  0.970872E-03
   0.104348E-01  0.237727E-02
   0.121186E-01  0.330426E-02
   0.139715E-01  0.346076E-02
   0.160155E-01  0.361319E-02
   0.182614E-01  0.404921E-02
   0.207095E-01  0.396220E-02
   0.233628E-01  0.458920E-02
   0.262286E-01  0.412757E-02
   0.293363E-01  0.395286E-02
   0.327394E-01  0.374677E-02
   0.364997E-01  0.335238E-02
   0.406484E-01  0.347229E-02
   0.451591E-01  0.330672E-02
   0.499797E-01  0.313554E-02
   0.550714E-01  0.313594E-02
   0.604272E-01  0.262561E-02
   0.660255E-01  0.284111E-02
   0.718113E-01  0.259508E-02
   0.777129E-01  0.267387E-02
   0.836839E-01  0.234471E-02
   0.897210E-01  0.234730E-02
   0.958393E-01  0.202888E-02
   0.102033      0.213954E-02
   0.108263      0.203192E-02
   0.114482      0.219363E-02
   0.120672      0.209232E-02
   0.126849      0.201817E-02
   0.133057      0.191650E-02
   0.139331      0.162701E-02
   0.145682      0.158821E-02
   0.152097      0.147004E-02
   0.158545      0.152781E-02
   0.165001      0.142303E-02
   0.171453      0.148674E-02
   0.177900      0.144808E-02
   0.184342      0.134259E-02
   0.190783      0.133640E-02
   0.197227      0.135267E-02
   0.203675      0.131424E-02
   0.210129      0.130462E-02
   0.216587      0.129070E-02
   0.223046      0.128818E-02
   0.229503      0.125661E-02
   0.235952      0.116681E-02
   0.242395      0.115693E-02
   0.248834      0.115250E-02
   0.255277      0.112564E-02
   0.261729      0.108123E-02
   0.268193      0.107361E-02
   0.274669      0.108905E-02
   0.281150      0.109056E-02
   0.287629      0.102152E-02
   0.294099      0.103412E-02
   0.300557      0.995638E-03
   0.307004      0.981915E-03
   0.313445      0.963326E-03
   0.319887      0.961907E-03
   0.326333      0.954431E-03
   0.332785      0.941313E-03
   0.339242      0.944545E-03
   0.345701      0.914071E-03
   0.352159      0.916603E-03
   0.358612      0.901313E-03
   0.365060      0.893070E-03
   0.371502      0.876870E-03
   0.377939      0.866737E-03
   0.384373      0.858505E-03
   0.390804      0.859908E-03
   0.397234      0.846049E-03
   0.403666      0.839382E-03
   0.410100      0.837973E-03
   0.416538      0.844845E-03
   0.422980      0.843038E-03
   0.429425      0.836856E-03
   0.435871      0.838368E-03
   0.442316      0.833225E-03
   0.448757      0.827857E-03
   0.455194      0.824924E-03
   0.461628      0.818095E-03
   0.468062      0.824341E-03
   0.474500      0.826057E-03
   0.480946      0.825515E-03
   0.487402      0.835199E-03
   0.493867      0.838639E-03
   0.500338      0.832042E-03
   0.506812      0.831637E-03
   0.513282      0.818087E-03
   0.519747      0.815178E-03
   0.526206      0.810457E-03
   0.532663      0.803425E-03
   0.539120      0.796207E-03
   0.545581      0.797816E-03
   0.552048      0.787083E-03
   0.558521      0.785358E-03
   0.564997      0.784063E-03
   0.571469      0.773383E-03
   0.577933      0.766377E-03
   0.584386      0.752158E-03
   0.590830      0.746170E-03
   0.597268      0.739176E-03
   0.603706      0.734109E-03
   0.610152      0.741626E-03
   0.616608      0.736747E-03
   0.623074      0.739881E-03
   0.629547      0.737280E-03
   0.636019      0.731827E-03
   0.642484      0.717778E-03
   0.648936      0.714159E-03
   0.655377      0.700086E-03
   0.661807      0.700723E-03
   0.668232      0.689433E-03
   0.674657      0.696583E-03
   0.681085      0.690303E-03
   0.687518      0.696730E-03
   0.693955      0.688637E-03
   0.700395      0.695821E-03
   0.706835      0.692543E-03
   0.713273      0.687698E-03
   0.719707      0.690996E-03
   0.726135      0.678076E-03
   0.732557      0.681752E-03
   0.738971      0.673602E-03
   0.745378      0.673973E-03
   0.751779      0.676562E-03
   0.758178      0.673872E-03
   0.764574      0.680047E-03
   0.770971      0.677074E-03
   0.777366      0.683434E-03
   0.783761      0.681427E-03
   0.790152      0.684873E-03
   0.796540      0.692790E-03
   0.802923      0.690596E-03
   0.809300      0.689865E-03
   0.815670      0.702200E-03
   0.822031      0.692853E-03
   0.828381      0.701285E-03
   0.834719      0.705477E-03
   0.841042      0.704585E-03
   0.847354      0.716519E-03
   0.853658      0.722295E-03
   0.859964      0.746289E-03
   0.866275      0.755040E-03
   0.872589      0.774647E-03
   0.878891      0.781158E-03
   0.885165      0.789153E-03
   0.891402      0.806215E-03
   0.897609      0.822989E-03
   0.903803      0.838402E-03
   0.909997      0.874457E-03
   0.916178      0.898405E-03
   0.922316      0.916730E-03
   0.928388      0.942299E-03
   0.934396      0.983120E-03
   0.940363      0.103566E-02
   0.946288      0.111070E-02
   0.952128      0.115588E-02
   0.957826      0.124543E-02
   0.963376      0.132598E-02
   0.968804      0.149184E-02
   0.974070      0.163008E-02
   0.979055      0.174168E-02
   0.983722      0.207909E-02
   0.988163      0.291726E-02
   0.992455      0.365909E-02
   0.996556      0.584151E-02
    1.00000      0.329730E-02
    1.00010       0.00000    
    1.00349       0.00000    
    1.00720       0.00000    
    1.01125       0.00000    
    1.01565       0.00000    
    1.02046       0.00000    
    1.02569       0.00000    
    1.03138       0.00000    
    1.03758       0.00000    
    1.04433       0.00000    
    1.05168       0.00000    
    1.05967       0.00000    
    1.06837       0.00000    
    1.07783       0.00000    
    1.08812       0.00000    
    1.09932       0.00000    
    1.11150       0.00000    
    1.12475       0.00000    
    1.13916       0.00000    
