#  AH 79-100 C AIRFOIL                             
#  alpha =  -2.0000
#  Mach  =   0.0000
#  Reyn  = 10000000
#  Ncrit =  10.0000
#
#    x           cf
   0.731002E-03  0.149306E-03
   0.121802E-02  0.730968E-03
   0.184337E-02  0.163721E-02
   0.260614E-02  0.138277E-02
   0.349886E-02  0.198057E-02
   0.450349E-02  0.173664E-02
   0.560215E-02  0.208050E-02
   0.680345E-02  0.209190E-02
   0.812311E-02  0.269387E-02
   0.958315E-02  0.217227E-02
   0.112141E-01  0.230534E-02
   0.130431E-01  0.244675E-02
   0.150929E-01  0.192048E-02
   0.173740E-01  0.228440E-02
   0.198747E-01  0.231527E-02
   0.225833E-01  0.249924E-02
   0.254950E-01  0.245085E-02
   0.286323E-01  0.227079E-02
   0.320377E-01  0.209979E-02
   0.357389E-01  0.192487E-02
   0.397242E-01  0.190692E-02
   0.439327E-01  0.207113E-02
   0.483036E-01  0.194747E-02
   0.528078E-01  0.198274E-02
   0.574579E-01  0.181289E-02
   0.622680E-01  0.171588E-02
   0.672283E-01  0.168300E-02
   0.723005E-01  0.169612E-02
   0.774449E-01  0.169896E-02
   0.826450E-01  0.163878E-02
   0.879114E-01  0.158762E-02
   0.932669E-01  0.145724E-02
   0.987192E-01  0.142002E-02
   0.104252      0.139280E-02
   0.109827      0.142569E-02
   0.115414      0.143300E-02
   0.121005      0.143673E-02
   0.126615      0.134298E-02
   0.132275      0.130946E-02
   0.138006      0.116743E-02
   0.143811      0.112833E-02
   0.149674      0.114705E-02
   0.155566      0.109859E-02
   0.161466      0.116864E-02
   0.167368      0.113957E-02
   0.173277      0.110303E-02
   0.179209      0.109661E-02
   0.185175      0.102889E-02
   0.191177      0.102846E-02
   0.197209      0.962357E-03
   0.203259      0.993266E-03
   0.209314      0.970522E-03
   0.215372      0.984031E-03
   0.221435      0.967271E-03
   0.227512      0.918269E-03
   0.233613      0.893454E-03
   0.239744      0.876692E-03
   0.245903      0.818155E-03
   0.252081      0.849254E-03
   0.258265      0.843171E-03
   0.264444      0.836604E-03
   0.270615      0.854874E-03
   0.276780      0.831478E-03
   0.282948      0.825797E-03
   0.289131      0.784542E-03
   0.295335      0.766667E-03
   0.301564      0.733854E-03
   0.307813      0.725622E-03
   0.314073      0.724030E-03
   0.320335      0.721828E-03
   0.326592      0.711113E-03
   0.332841      0.732873E-03
   0.339084      0.713964E-03
   0.345328      0.705341E-03
   0.351579      0.680657E-03
   0.357842      0.671269E-03
   0.364118      0.647298E-03
   0.370406      0.644962E-03
   0.376701      0.633066E-03
   0.382999      0.628544E-03
   0.389297      0.629277E-03
   0.395592      0.622408E-03
   0.401885      0.607085E-03
   0.408176      0.610032E-03
   0.414468      0.602071E-03
   0.420762      0.593379E-03
   0.427059      0.593122E-03
   0.433358      0.568086E-03
   0.439659      0.573502E-03
   0.445960      0.568082E-03
   0.452262      0.553720E-03
   0.458562      0.555329E-03
   0.464860      0.543288E-03
   0.471156      0.541447E-03
   0.477449      0.534274E-03
   0.483738      0.533121E-03
   0.490024      0.519360E-03
   0.496305      0.515155E-03
   0.502584      0.509755E-03
   0.508859      0.498729E-03
   0.515132      0.483687E-03
   0.521401      0.481491E-03
