#  AH 79-100 C AIRFOIL                             
#  alpha =   2.0000
#  Mach  =   0.0000
#  Reyn  = 10000000
#  Ncrit =  10.0000
#
#    x           cf
   0.629761E-03  0.129918E-02
   0.280294E-03  0.263539E-02
   0.725706E-04  0.362620E-02
  -0.146601E-04  0.453198E-02
   0.658553E-05  0.503184E-02
   0.134781E-03  0.632160E-02
   0.373660E-03  0.626769E-02
   0.731002E-03  0.593964E-02
   0.121802E-02  0.584155E-02
   0.184337E-02  0.483403E-02
   0.260614E-02  0.315659E-02
   0.349886E-02  0.359676E-02
   0.450349E-02  0.240706E-02
   0.560215E-02  0.349421E-02
   0.680345E-02  0.361812E-02
   0.812311E-02  0.401045E-02
   0.958315E-02  0.338777E-02
   0.112141E-01  0.346746E-02
   0.130431E-01  0.255444E-02
   0.150929E-01  0.253458E-02
   0.173740E-01  0.241803E-02
   0.198747E-01  0.277180E-02
   0.225833E-01  0.313251E-02
   0.254950E-01  0.308307E-02
   0.286323E-01  0.271788E-02
   0.320377E-01  0.220870E-02
   0.357389E-01  0.196996E-02
   0.397242E-01  0.189431E-02
   0.439327E-01  0.210993E-02
   0.483036E-01  0.203530E-02
   0.528078E-01  0.207745E-02
   0.574579E-01  0.183019E-02
   0.622680E-01  0.171277E-02
   0.672283E-01  0.161766E-02
   0.723005E-01  0.162078E-02
   0.774449E-01  0.168356E-02
   0.826450E-01  0.161360E-02
   0.879114E-01  0.151749E-02
   0.932669E-01  0.138777E-02
   0.987192E-01  0.131802E-02
   0.104252      0.126779E-02
   0.109827      0.131655E-02
   0.115414      0.133663E-02
   0.121005      0.136179E-02
   0.126615      0.125424E-02
   0.132275      0.118209E-02
   0.138006      0.104620E-02
   0.143811      0.101311E-02
   0.149674      0.962922E-03
   0.155566      0.967195E-03
   0.161466      0.988998E-03
   0.167368      0.103308E-02
   0.173277      0.959928E-03
   0.179209      0.942383E-03
   0.185175      0.896552E-03
   0.191177      0.858693E-03
   0.197209      0.829151E-03
   0.203259      0.833376E-03
   0.209314      0.824339E-03
   0.215372      0.832609E-03
   0.221435      0.809331E-03
   0.227512      0.765504E-03
   0.233613      0.763285E-03
   0.239744      0.711880E-03
   0.245903      0.680554E-03
   0.252081      0.671661E-03
   0.258265      0.684214E-03
   0.264444      0.685137E-03
   0.270615      0.695705E-03
   0.276780      0.681557E-03
   0.282948      0.656359E-03
   0.289131      0.644143E-03
   0.295335      0.608239E-03
   0.301564      0.593396E-03
   0.307813      0.560790E-03
   0.314073      0.558870E-03
   0.320335      0.563151E-03
   0.326592      0.560009E-03
   0.332841      0.555574E-03
   0.339084      0.564527E-03
   0.345328      0.549797E-03
   0.351579      0.521307E-03
   0.357842      0.517767E-03
   0.364118      0.487205E-03
   0.370406      0.485448E-03
   0.376701      0.477278E-03
   0.382999      0.466416E-03
   0.389297      0.464046E-03
   0.395592      0.462198E-03
   0.401885      0.457710E-03
   0.408176      0.453690E-03
   0.414468      0.443904E-03
   0.420762      0.441212E-03
   0.427059      0.433098E-03
   0.433358      0.428685E-03
   0.439659      0.435716E-03
   0.445960      0.452162E-03
   0.452262      0.478953E-03
   0.458562      0.197253E-02
   0.464860      0.392568E-02
   0.471156      0.547001E-02
   0.477449      0.629278E-02
   0.483738      0.662732E-02
   0.490024      0.669383E-02
   0.496305      0.666413E-02
   0.502584      0.658430E-02
   0.508859      0.647687E-02
   0.515132      0.636092E-02
   0.521401      0.626313E-02
   0.527668      0.615785E-02
   0.533931      0.606388E-02
   0.540189      0.597390E-02
   0.546442      0.589053E-02
   0.552692      0.580602E-02
   0.558938      0.572916E-02
