  
       XFOIL         Version 6.99
  
 Calculated polar for: AH 79-100 C AIRFOIL                             
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =  10.000 10.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr  Top_Itr  Bot_Itr
  ------ -------- --------- --------- -------- -------- -------- -------- --------
  -8.000  -0.0187   0.01357   0.00635  -0.2042   0.9344   0.0105  14.7950 199.0237
  -7.500   0.0458   0.01234   0.00538  -0.2070   0.9290   0.0115  15.7721 199.5939
  -7.000   0.1129   0.01121   0.00442  -0.2102   0.9228   0.0131  16.8787 200.5005
  -6.500   0.1779   0.01041   0.00371  -0.2126   0.9140   0.0162  18.4230 202.0626
  -6.000   0.2452   0.01005   0.00348  -0.2154   0.9049   0.0203  19.9967 203.8288
  -5.500   0.3069   0.00958   0.00300  -0.2171   0.8926   0.0232  22.0875 204.9316
  -5.000   0.3649   0.00907   0.00256  -0.2179   0.8788   0.0257  24.4024 205.7979
  -4.500   0.4219   0.00860   0.00212  -0.2185   0.8650   0.0279  26.6931 206.5356
  -4.000   0.4782   0.00818   0.00168  -0.2188   0.8515   0.0303  28.9090 207.2716
  -3.500   0.5336   0.00783   0.00128  -0.2189   0.8381   0.0322  31.1090 207.8329
  -3.000   0.5885   0.00751   0.00096  -0.2188   0.8250   0.0352  33.2657 208.6409
  -2.500   0.6433   0.00727   0.00070  -0.2187   0.8120   0.0418  35.3672 210.2455
  -2.000   0.6976   0.00708   0.00053  -0.2186   0.7992   0.0626  37.4464 214.3846
  -1.500   0.7516   0.00693   0.00043  -0.2184   0.7865   0.1001  39.4951 220.6785
  -1.000   0.8056   0.00674   0.00041  -0.2183   0.7744   0.1904  41.4636 234.9424
  -0.500   0.8594   0.00661   0.00043  -0.2181   0.7626   0.2892  43.3570 250.2402
   0.000   0.9127   0.00647   0.00047  -0.2179   0.7505   0.4223  45.3062 270.8917
   0.500   0.9658   0.00620   0.00058  -0.2177   0.7393   0.6537  47.1095 306.7490
   1.000   1.0095   0.00578   0.00068  -0.2149   0.7267   1.0000  49.1208 364.0000
   1.500   1.0619   0.00595   0.00066  -0.2143   0.7145   1.0000  51.0830 364.0000
   2.000   1.1132   0.00613   0.00064  -0.2135   0.7009   1.0000  53.2607 364.0000
   2.500   1.1633   0.00632   0.00062  -0.2124   0.6859   1.0000  55.6613 364.0000
   3.000   1.2122   0.00654   0.00060  -0.2110   0.6695   1.0000  58.2873 364.0000
   3.500   1.2604   0.00678   0.00058  -0.2096   0.6529   1.0000  60.9413 364.0000
   4.000   1.3063   0.00703   0.00058  -0.2076   0.6347   1.0000  63.8736 364.0000
   4.500   1.3470   0.00739   0.00055  -0.2046   0.6057   1.0000  68.5153 364.0000
   5.000   1.3829   0.00794   0.00057  -0.2006   0.5621   1.0000  75.4812 364.0000
   5.500   1.4142   0.00877   0.00072  -0.1958   0.5039   1.0000  84.7873 364.0000
   6.000   1.4416   0.00991   0.00100  -0.1905   0.4338   1.0000  95.9160 364.0000
   6.500   1.4680   0.01118   0.00139  -0.1852   0.3632   1.0000 107.1370 364.0000
   7.000   1.4931   0.01259   0.00187  -0.1798   0.2952   1.0000 118.0071 364.0000
   7.500   1.5151   0.01420   0.00248  -0.1741   0.2280   1.0000 128.9100 364.0000
   8.000   1.5303   0.01627   0.00335  -0.1675   0.1535   1.0000 141.3522 364.0000
