  
       XFOIL         Version 6.99
  
 Calculated polar for: AH 79-100 C AIRFOIL                             
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =    10.000 e 6     Ncrit =  10.000 10.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr  Top_Itr  Bot_Itr
  ------ -------- --------- --------- -------- -------- -------- -------- --------
  -8.000   0.0499   0.00635   0.00176  -0.2214   0.8174   0.0039  34.4948 194.0842
  -7.500   0.1041   0.00601   0.00143  -0.2214   0.8024   0.0041  36.9255 194.2637
  -7.000   0.1589   0.00571   0.00114  -0.2214   0.7874   0.0046  39.3499 194.6634
  -6.500   0.2138   0.00551   0.00093  -0.2213   0.7722   0.0049  41.8100 194.9115
  -6.000   0.2690   0.00530   0.00073  -0.2213   0.7579   0.0058  44.1160 195.6828
  -5.500   0.3241   0.00503   0.00047  -0.2214   0.7430   0.0123  46.5133 200.1103
  -5.000   0.3796   0.00496   0.00041  -0.2214   0.7292   0.0142  48.7250 201.1115
  -4.500   0.4352   0.00489   0.00033  -0.2215   0.7166   0.0154  50.7475 201.7011
  -4.000   0.4908   0.00485   0.00027  -0.2216   0.7045   0.0160  52.6936 201.9767
  -3.500   0.5465   0.00477   0.00017  -0.2216   0.6929   0.0170  54.5520 202.4148
  -3.000   0.6020   0.00473   0.00011  -0.2217   0.6816   0.0180  56.3570 202.8677
  -2.500   0.6574   0.00471   0.00005  -0.2217   0.6695   0.0190  58.2972 203.3087
  -2.000   0.7125   0.00469  -0.00001  -0.2217   0.6559   0.0217  60.4683 204.3818
  -1.500   0.7676   0.00465  -0.00006  -0.2217   0.6426   0.0378  62.6002 209.3152
  -1.000   0.8218   0.00469  -0.00008  -0.2214   0.6238   0.0481  65.6147 211.6046
  -0.500   0.8752   0.00475  -0.00008  -0.2211   0.6022   0.0713  69.0692 215.9049
   0.000   0.9288   0.00479  -0.00007  -0.2208   0.5827   0.1115  72.1906 222.5245
   0.500   0.9812   0.00489  -0.00005  -0.2203   0.5558   0.1618  76.4884 230.5016
   1.000   1.0326   0.00504   0.00000  -0.2196   0.5263   0.2116  81.2135 238.2222
   1.500   1.0825   0.00528   0.00008  -0.2186   0.4887   0.2660  87.2055 246.6578
   2.000   1.1320   0.00550   0.00018  -0.2176   0.4524   0.3489  92.9718 259.5015
   2.500   1.1796   0.00579   0.00031  -0.2162   0.4078   0.4550 100.0441 275.9716
   3.000   1.2233   0.00627   0.00050  -0.2140   0.3447   0.5611 110.0836 292.4031
   3.500   1.2661   0.00674   0.00071  -0.2117   0.2868   0.6790 119.3664 310.6826
   4.000   1.3045   0.00729   0.00093  -0.2084   0.2271   0.7852 129.0528 327.2212
   4.500   1.3406   0.00753   0.00112  -0.2045   0.1891   1.0000 135.3455 364.0000
   5.000   1.3788   0.00818   0.00129  -0.2011   0.1456   1.0000 142.6883 364.0000
