#  AH 79-100 C AIRFOIL                             
#  alpha =  -7.0000
#  Mach  =   0.0000
#  Reyn  =  1000000
#  Ncrit =   8.0000
#
#    x           cf
   0.130431E-01  0.548208E-03
   0.150929E-01  0.137458E-02
   0.173740E-01  0.191987E-02
   0.198747E-01  0.257966E-02
   0.225833E-01  0.314793E-02
   0.254950E-01  0.358729E-02
   0.286323E-01  0.374649E-02
   0.320377E-01  0.400052E-02
   0.357389E-01  0.407154E-02
   0.397242E-01  0.404553E-02
   0.439327E-01  0.447170E-02
   0.483036E-01  0.451284E-02
   0.528078E-01  0.456042E-02
   0.574579E-01  0.437461E-02
   0.622680E-01  0.435941E-02
   0.672283E-01  0.452763E-02
   0.723005E-01  0.432089E-02
   0.774449E-01  0.454806E-02
   0.826450E-01  0.442252E-02
   0.879114E-01  0.430519E-02
   0.932669E-01  0.423160E-02
   0.987192E-01  0.397195E-02
   0.104252      0.419715E-02
   0.109827      0.414482E-02
   0.115414      0.409954E-02
   0.121005      0.414592E-02
   0.126615      0.407288E-02
   0.132275      0.395401E-02
   0.138006      0.354325E-02
   0.143811      0.358010E-02
   0.149674      0.363146E-02
   0.155566      0.358292E-02
   0.161466      0.364881E-02
   0.167368      0.358028E-02
   0.173277      0.353344E-02
   0.179209      0.343661E-02
   0.185175      0.339292E-02
   0.191177      0.329500E-02
   0.197209      0.325249E-02
   0.203259      0.323110E-02
   0.209314      0.323598E-02
   0.215372      0.321174E-02
   0.221435      0.317368E-02
   0.227512      0.306929E-02
   0.233613      0.304109E-02
   0.239744      0.298819E-02
   0.245903      0.288111E-02
   0.252081      0.288624E-02
   0.258265      0.289048E-02
   0.264444      0.286810E-02
   0.270615      0.291207E-02
   0.276780      0.288567E-02
   0.282948      0.277928E-02
   0.289131      0.275643E-02
   0.295335      0.268354E-02
   0.301564      0.263514E-02
   0.307813      0.257927E-02
   0.314073      0.258911E-02
   0.320335      0.258060E-02
   0.326592      0.254755E-02
   0.332841      0.258647E-02
   0.339084      0.255074E-02
   0.345328      0.250399E-02
   0.351579      0.245417E-02
   0.357842      0.245158E-02
   0.364118      0.235575E-02
   0.370406      0.237629E-02
   0.376701      0.233573E-02
   0.382999      0.232907E-02
   0.389297      0.231163E-02
   0.395592      0.229614E-02
   0.401885      0.227068E-02
   0.408176      0.227358E-02
   0.414468      0.221409E-02
   0.420762      0.223205E-02
   0.427059      0.222340E-02
   0.433358      0.214714E-02
   0.439659      0.216321E-02
   0.445960      0.214620E-02
   0.452262      0.212503E-02
   0.458562      0.210231E-02
   0.464860      0.207902E-02
   0.471156      0.207816E-02
   0.477449      0.205052E-02
   0.483738      0.204902E-02
   0.490024      0.200516E-02
   0.496305      0.198318E-02
   0.502584      0.200386E-02
   0.508859      0.193631E-02
   0.515132      0.191498E-02
   0.521401      0.190909E-02
   0.527668      0.186324E-02
   0.533931      0.183868E-02
   0.540189      0.179620E-02
   0.546442      0.175765E-02
   0.552692      0.172001E-02
