#  AH 79-100 C AIRFOIL                             
#  alpha =   6.5000
#  Mach  =   0.0000
#  Reyn  =  1000000
#  Ncrit =   8.0000
#
#    x           cf
   0.748107E-02  0.195349E-02
   0.616582E-02  0.403806E-02
   0.493931E-02  0.752790E-02
   0.379466E-02  0.106320E-01
   0.275478E-02  0.200047E-01
   0.186333E-02  0.278755E-01
   0.114995E-02  0.353613E-01
   0.629761E-03  0.394980E-01
   0.280294E-03  0.347896E-01
   0.725706E-04  0.376198E-01
  -0.146601E-04  0.364475E-01
   0.658553E-05  0.365606E-01
   0.134781E-03  0.360842E-01
   0.373660E-03  0.375830E-01
   0.731002E-03  0.282731E-01
   0.121802E-02  0.254727E-01
   0.184337E-02  0.144343E-01
   0.260614E-02  0.780736E-02
   0.349886E-02  0.314122E-02
   0.450349E-02  0.132547E-02
   0.560215E-02  0.299003E-02
   0.680345E-02  0.570050E-02
   0.812311E-02  0.868561E-02
   0.958315E-02  0.979815E-02
   0.112141E-01  0.887982E-02
   0.130431E-01  0.681620E-02
   0.150929E-01  0.658658E-02
   0.173740E-01  0.492030E-02
   0.198747E-01  0.674960E-02
   0.225833E-01  0.799385E-02
   0.254950E-01  0.870676E-02
   0.286323E-01  0.782629E-02
   0.320377E-01  0.650501E-02
   0.357389E-01  0.511223E-02
   0.397242E-01  0.453210E-02
   0.439327E-01  0.480190E-02
   0.483036E-01  0.498614E-02
   0.528078E-01  0.493013E-02
   0.574579E-01  0.469948E-02
   0.622680E-01  0.409895E-02
   0.672283E-01  0.396719E-02
   0.723005E-01  0.384787E-02
   0.774449E-01  0.397447E-02
   0.826450E-01  0.388328E-02
   0.879114E-01  0.353662E-02
   0.932669E-01  0.333509E-02
   0.987192E-01  0.301779E-02
   0.104252      0.297815E-02
   0.109827      0.297154E-02
   0.115414      0.293238E-02
   0.121005      0.296726E-02
   0.126615      0.294112E-02
   0.132275      0.258860E-02
   0.138006      0.236686E-02
   0.143811      0.217422E-02
   0.149674      0.200876E-02
   0.155566      0.199206E-02
   0.161466      0.204690E-02
   0.167368      0.198011E-02
   0.173277      0.195181E-02
   0.179209      0.184233E-02
   0.185175      0.177759E-02
   0.191177      0.166142E-02
   0.197209      0.162294E-02
   0.203259      0.159999E-02
   0.209314      0.156661E-02
   0.215372      0.153466E-02
   0.221435      0.151975E-02
   0.227512      0.143298E-02
   0.233613      0.138972E-02
   0.239744      0.128099E-02
   0.245903      0.125102E-02
   0.252081      0.122489E-02
   0.258265      0.122478E-02
   0.264444      0.120583E-02
   0.270615      0.126267E-02
   0.276780      0.125174E-02
   0.282948      0.123002E-02
   0.289131      0.125861E-02
   0.295335      0.125463E-02
   0.301564      0.133579E-02
   0.307813      0.163231E-02
   0.314073      0.225377E-02
   0.320335      0.332879E-02
   0.326592      0.467714E-02
   0.332841      0.606702E-02
   0.339084      0.720184E-02
   0.345328      0.804677E-02
   0.351579      0.859621E-02
   0.357842      0.897111E-02
   0.364118      0.923320E-02
   0.370406      0.935725E-02
   0.376701      0.939162E-02
   0.382999      0.943175E-02
   0.389297      0.940604E-02
   0.395592      0.936629E-02
   0.401885      0.927765E-02
   0.408176      0.921657E-02
   0.414468      0.909770E-02
   0.420762      0.902503E-02
   0.427059      0.893078E-02
   0.433358      0.879509E-02
   0.439659      0.870701E-02
   0.445960      0.863081E-02
   0.452262      0.851129E-02
   0.458562      0.842781E-02
   0.464860      0.832342E-02
   0.471156      0.825352E-02
   0.477449      0.815776E-02
   0.483738      0.808013E-02
   0.490024      0.797798E-02
   0.496305      0.790252E-02
   0.502584      0.781638E-02
   0.508859      0.773437E-02
   0.515132      0.764522E-02
   0.521401      0.757120E-02
   0.527668      0.746648E-02
   0.533931      0.739517E-02
   0.540189      0.730255E-02
   0.546442      0.721060E-02
   0.552692      0.712128E-02
   0.558938      0.703851E-02
   0.565183      0.693712E-02
   0.571429      0.683307E-02
   0.577679      0.672922E-02
   0.583933      0.664386E-02
   0.590192      0.653364E-02
   0.596454      0.643701E-02
   0.602714      0.635042E-02
   0.608970      0.625779E-02
   0.615219      0.616567E-02
   0.621460      0.608664E-02
   0.627696      0.598758E-02
   0.633928      0.589571E-02
   0.640161      0.579810E-02
   0.646397      0.568757E-02
   0.652639      0.559604E-02
   0.658885      0.549104E-02
   0.665135      0.539828E-02
   0.671386      0.530848E-02
   0.677636      0.521283E-02
   0.683883      0.512160E-02
   0.690128      0.503066E-02
   0.696370      0.493818E-02
   0.702610      0.485334E-02
   0.708848      0.476190E-02
   0.715084      0.467977E-02
   0.721319      0.458801E-02
   0.727554      0.450510E-02
   0.733787      0.440986E-02
   0.740018      0.433504E-02
   0.746245      0.424464E-02
   0.752468      0.415556E-02
   0.758683      0.408455E-02
   0.764888      0.399773E-02
   0.771085      0.390746E-02
   0.777275      0.382623E-02
   0.783460      0.373327E-02
   0.789643      0.364555E-02
   0.795826      0.354723E-02
   0.802007      0.345447E-02
   0.808181      0.336281E-02
   0.814343      0.327072E-02
   0.820489      0.317421E-02
   0.826619      0.307996E-02
   0.832734      0.297440E-02
   0.838839      0.286562E-02
   0.844937      0.275345E-02
   0.851025      0.264129E-02
   0.857100      0.252006E-02
   0.863157      0.240270E-02
   0.869192      0.227488E-02
   0.875205      0.214569E-02
   0.881201      0.201187E-02
   0.887183      0.186735E-02
   0.893144      0.172878E-02
   0.899070      0.158688E-02
   0.904939      0.144301E-02
   0.910737      0.130053E-02
   0.916463      0.114849E-02
   0.922126      0.100095E-02
   0.927732      0.853750E-03
   0.933273      0.711698E-03
   0.938727      0.577630E-03
   0.944083      0.452639E-03
   0.949351      0.338450E-03
