#  AH 79-100 C AIRFOIL                             
#  alpha =  -8.0000
#  Mach  =   0.0000
#  Reyn  = 10000000
#  Ncrit =   8.0000
#
#    x           cf
   0.150929E-01  0.206900E-04
   0.173740E-01  0.259243E-03
   0.198747E-01  0.472121E-03
   0.225833E-01  0.738194E-03
   0.254950E-01  0.804723E-03
   0.286323E-01  0.104462E-02
   0.320377E-01  0.969009E-03
   0.357389E-01  0.119466E-02
   0.397242E-01  0.104728E-02
   0.439327E-01  0.138376E-02
   0.483036E-01  0.118492E-02
   0.528078E-01  0.141488E-02
   0.574579E-01  0.121765E-02
   0.622680E-01  0.135312E-02
   0.672283E-01  0.129149E-02
   0.723005E-01  0.135564E-02
   0.774449E-01  0.133511E-02
   0.826450E-01  0.135074E-02
   0.879114E-01  0.130702E-02
   0.932669E-01  0.127930E-02
   0.987192E-01  0.121954E-02
   0.104252      0.129089E-02
   0.109827      0.126191E-02
   0.115414      0.128445E-02
   0.121005      0.128731E-02
   0.126615      0.125096E-02
   0.132275      0.118623E-02
   0.138006      0.112474E-02
   0.143811      0.112967E-02
   0.149674      0.114392E-02
   0.155566      0.109223E-02
   0.161466      0.114490E-02
   0.167368      0.115836E-02
   0.173277      0.108411E-02
   0.179209      0.110576E-02
   0.185175      0.101677E-02
   0.191177      0.106862E-02
   0.197209      0.102215E-02
   0.203259      0.100369E-02
   0.209314      0.103435E-02
   0.215372      0.102305E-02
   0.221435      0.996349E-03
   0.227512      0.980636E-03
   0.233613      0.962020E-03
   0.239744      0.943878E-03
   0.245903      0.886292E-03
   0.252081      0.935622E-03
   0.258265      0.918078E-03
   0.264444      0.924034E-03
   0.270615      0.927322E-03
   0.276780      0.932262E-03
   0.282948      0.885900E-03
   0.289131      0.882826E-03
   0.295335      0.842349E-03
   0.301564      0.843916E-03
   0.307813      0.816479E-03
   0.314073      0.824218E-03
   0.320335      0.837137E-03
   0.326592      0.810312E-03
   0.332841      0.843148E-03
   0.339084      0.818514E-03
   0.345328      0.810123E-03
   0.351579      0.786374E-03
   0.357842      0.785807E-03
   0.364118      0.764253E-03
   0.370406      0.765362E-03
   0.376701      0.743236E-03
   0.382999      0.746467E-03
   0.389297      0.753179E-03
   0.395592      0.743719E-03
   0.401885      0.731517E-03
   0.408176      0.739899E-03
   0.414468      0.719249E-03
   0.420762      0.724595E-03
   0.427059      0.719599E-03
   0.433358      0.699361E-03
   0.439659      0.699311E-03
   0.445960      0.696686E-03
   0.452262      0.689007E-03
   0.458562      0.687627E-03
   0.464860      0.679613E-03
   0.471156      0.678522E-03
   0.477449      0.664285E-03
   0.483738      0.679028E-03
   0.490024      0.653800E-03
   0.496305      0.648975E-03
   0.502584      0.659313E-03
   0.508859      0.638208E-03
   0.515132      0.624671E-03
   0.521401      0.631630E-03
   0.527668      0.614779E-03
   0.533931      0.605664E-03
   0.540189      0.594371E-03
   0.546442      0.581086E-03
   0.552692      0.572976E-03
   0.558938      0.557415E-03
   0.565183      0.550851E-03
   0.571429      0.527549E-03
   0.577679      0.510720E-03
   0.583933      0.500539E-03
   0.590192      0.478864E-03
   0.596454      0.458211E-03
   0.602714      0.456771E-03
   0.608970      0.445644E-03
   0.615219      0.434908E-03
   0.621460      0.426970E-03
   0.627696      0.415160E-03
   0.633928      0.404588E-03
   0.640161      0.374684E-03
   0.646397      0.369871E-03
   0.652639      0.344236E-03
   0.658885      0.334862E-03
   0.665135      0.317293E-03
   0.671386      0.311631E-03
   0.677636      0.291686E-03
   0.683883      0.281702E-03
   0.690128      0.271234E-03
   0.696370      0.268478E-03
   0.702610      0.247984E-03
   0.708848      0.249643E-03
   0.715084      0.227237E-03
   0.721319      0.225893E-03
   0.727554      0.216395E-03
   0.733787      0.206015E-03
   0.740018      0.202758E-03
   0.746245      0.196971E-03
   0.752468      0.191841E-03
   0.758683      0.190019E-03
   0.764888      0.188994E-03
   0.771085      0.187738E-03
   0.777275      0.195632E-03
   0.783460      0.207072E-03
   0.789643      0.459174E-03
   0.795826      0.128534E-02
   0.802007      0.248130E-02
   0.808181      0.349779E-02
   0.814343      0.407385E-02
   0.820489      0.440298E-02
   0.826619      0.448636E-02
   0.832734      0.456501E-02
   0.838839      0.449103E-02
   0.844937      0.447112E-02
   0.851025      0.437203E-02
   0.857100      0.433158E-02
   0.863157      0.423890E-02
   0.869192      0.419155E-02
   0.875205      0.411188E-02
   0.881201      0.403514E-02
   0.887183      0.398855E-02
   0.893144      0.390387E-02
   0.899070      0.387787E-02
   0.904939      0.383100E-02
   0.910737      0.379147E-02
   0.916463      0.374165E-02
   0.922126      0.368025E-02
   0.927732      0.357699E-02
   0.933273      0.349429E-02
   0.938727      0.337528E-02
   0.944083      0.326545E-02
   0.949351      0.306290E-02
   0.954563      0.283237E-02
   0.959741      0.254300E-02
   0.964867      0.228287E-02
   0.969889      0.200420E-02
   0.974757      0.167600E-02
   0.979450      0.134249E-02
   0.984006      0.109208E-02
   0.988454      0.935704E-03
   0.992727      0.783160E-03
   0.996702      0.540889E-03
    1.00000      0.385053E-03
    1.00010       0.00000    
    1.00349       0.00000    
    1.00718       0.00000    
    1.01121       0.00000    
    1.01559       0.00000    
    1.02035       0.00000    
    1.02554       0.00000    
    1.03119       0.00000    
    1.03733       0.00000    
    1.04402       0.00000    
    1.05129       0.00000    
    1.05920       0.00000    
    1.06780       0.00000    
    1.07716       0.00000    
    1.08734       0.00000    
    1.09840       0.00000    
    1.11044       0.00000    
    1.12352       0.00000    
    1.13775       0.00000    
    1.15322       0.00000    
    1.17003       0.00000    
    1.18832       0.00000    
    1.20819       0.00000    
    1.22980       0.00000    
    1.25329       0.00000    
    1.27882       0.00000    
    1.30657       0.00000    
    1.33674       0.00000    
    1.36953       0.00000    
    1.40517       0.00000    
    1.44390       0.00000    
    1.48600       0.00000    
    1.53175       0.00000    
    1.58147       0.00000    
    1.63550       0.00000    
    1.69423       0.00000    
    1.75804       0.00000    
    1.82739       0.00000    
    1.90274       0.00000    
    1.98463       0.00000    

   0.130431E-01  0.273045E-03
   0.112141E-01  0.664475E-03
   0.958315E-02  0.111009E-02
   0.812311E-02  0.145122E-02
   0.680345E-02  0.235485E-02
   0.560215E-02  0.256569E-02
   0.450349E-02  0.382374E-02
   0.349886E-02  0.508916E-02
   0.260614E-02  0.735356E-02
   0.184337E-02  0.911083E-02
   0.121802E-02  0.114335E-01
   0.731002E-03  0.139186E-01
   0.373660E-03  0.141871E-01
   0.134781E-03  0.187771E-01
   0.658553E-05  0.188574E-01
  -0.146601E-04  0.218869E-01
   0.725706E-04  0.253127E-01
   0.280294E-03  0.279538E-01
   0.629761E-03  0.306091E-01
   0.114995E-02  0.256790E-01
   0.186333E-02  0.813011E-02
   0.275478E-02 -0.182554E-02
   0.379466E-02 -0.135552E-02
   0.493931E-02  0.115947E-01
   0.616582E-02  0.262298E-01
   0.748107E-02  0.301964E-01
   0.889719E-02  0.284881E-01
   0.104348E-01  0.240151E-01
   0.121186E-01  0.193699E-01
   0.139715E-01  0.152264E-01
   0.160155E-01  0.122426E-01
   0.182614E-01  0.102818E-01
   0.207095E-01  0.991850E-02
   0.233628E-01  0.969701E-02
   0.262286E-01  0.936068E-02
   0.293363E-01  0.852991E-02
   0.327394E-01  0.761681E-02
   0.364997E-01  0.660488E-02
   0.406484E-01  0.604534E-02
   0.451591E-01  0.565585E-02
   0.499797E-01  0.529783E-02
   0.550714E-01  0.501180E-02
