#  AH 79-100 C AIRFOIL                             
#  alpha =   3.5000
#  Mach  =   0.0000
#  Reyn  = 10000000
#  Ncrit =   8.0000
#
#    x           cf
   0.275478E-02  0.166265E-03
   0.186333E-02  0.166039E-02
   0.114995E-02  0.357856E-02
   0.629761E-03  0.518401E-02
   0.280294E-03  0.541203E-02
   0.725706E-04  0.748953E-02
  -0.146601E-04  0.645794E-02
   0.658553E-05  0.875766E-02
   0.134781E-03  0.734430E-02
   0.373660E-03  0.895471E-02
   0.731002E-03  0.672095E-02
   0.121802E-02  0.810905E-02
   0.184337E-02  0.400658E-02
   0.260614E-02  0.420824E-02
   0.349886E-02  0.242877E-02
   0.450349E-02  0.204689E-02
   0.560215E-02  0.289978E-02
   0.680345E-02  0.395161E-02
   0.812311E-02  0.410109E-02
   0.958315E-02  0.369674E-02
   0.112141E-01  0.321248E-02
   0.130431E-01  0.263803E-02
   0.150929E-01  0.226375E-02
   0.173740E-01  0.235071E-02
   0.198747E-01  0.269331E-02
   0.225833E-01  0.312814E-02
   0.254950E-01  0.316611E-02
   0.286323E-01  0.269397E-02
   0.320377E-01  0.218739E-02
   0.357389E-01  0.191582E-02
   0.397242E-01  0.165900E-02
   0.439327E-01  0.201195E-02
   0.483036E-01  0.199427E-02
   0.528078E-01  0.196300E-02
   0.574579E-01  0.180363E-02
   0.622680E-01  0.156543E-02
   0.672283E-01  0.157676E-02
   0.723005E-01  0.156046E-02
   0.774449E-01  0.151934E-02
   0.826450E-01  0.155503E-02
   0.879114E-01  0.141875E-02
   0.932669E-01  0.131753E-02
   0.987192E-01  0.123837E-02
   0.104252      0.115189E-02
   0.109827      0.121204E-02
   0.115414      0.124556E-02
   0.121005      0.124698E-02
   0.126615      0.121246E-02
   0.132275      0.110750E-02
   0.138006      0.946689E-03
   0.143811      0.917113E-03
   0.149674      0.850572E-03
   0.155566      0.877039E-03
   0.161466      0.914165E-03
   0.167368      0.903381E-03
   0.173277      0.883384E-03
   0.179209      0.836555E-03
   0.185175      0.816499E-03
   0.191177      0.771890E-03
   0.197209      0.739675E-03
   0.203259      0.754579E-03
   0.209314      0.741390E-03
   0.215372      0.734617E-03
   0.221435      0.749903E-03
   0.227512      0.694096E-03
   0.233613      0.725351E-03
   0.239744      0.139106E-02
   0.245903      0.396808E-02
   0.252081      0.637560E-02
   0.258265      0.757785E-02
   0.264444      0.786701E-02
   0.270615      0.781629E-02
   0.276780      0.769221E-02
   0.282948      0.750059E-02
   0.289131      0.733632E-02
   0.295335      0.714532E-02
   0.301564      0.702688E-02
   0.307813      0.688220E-02
   0.314073      0.679345E-02
   0.320335      0.672592E-02
   0.326592      0.667736E-02
   0.332841      0.658260E-02
   0.339084      0.653418E-02
   0.345328      0.646784E-02
   0.351579      0.637897E-02
   0.357842      0.631991E-02
   0.364118      0.624685E-02
   0.370406      0.618977E-02
   0.376701      0.613392E-02
   0.382999      0.611562E-02
   0.389297      0.603078E-02
   0.395592      0.601098E-02
   0.401885      0.595840E-02
   0.408176      0.592228E-02
   0.414468      0.586685E-02
   0.420762      0.584415E-02
   0.427059      0.578700E-02
   0.433358      0.574796E-02
   0.439659      0.571265E-02
   0.445960      0.567930E-02
   0.452262      0.562274E-02
   0.458562      0.560051E-02
   0.464860      0.556809E-02
   0.471156      0.552079E-02
   0.477449      0.549463E-02
   0.483738      0.546911E-02
   0.490024      0.541761E-02
   0.496305      0.539674E-02
   0.502584      0.535216E-02
   0.508859      0.532057E-02
   0.515132      0.527533E-02
   0.521401      0.524212E-02
   0.527668      0.520351E-02
   0.533931      0.516210E-02
   0.540189      0.511903E-02
   0.546442      0.507970E-02
   0.552692      0.503226E-02
   0.558938      0.499066E-02
   0.565183      0.494316E-02
   0.571429      0.488567E-02
   0.577679      0.483619E-02
   0.583933      0.478749E-02
   0.590192      0.472454E-02
   0.596454      0.468001E-02
   0.602714      0.463164E-02
   0.608970      0.458364E-02
   0.615219      0.453377E-02
   0.621460      0.449858E-02
   0.627696      0.444519E-02
   0.633928      0.439193E-02
   0.640161      0.434198E-02
   0.646397      0.427718E-02
   0.652639      0.422707E-02
   0.658885      0.416679E-02
   0.665135      0.411891E-02
   0.671386      0.406944E-02
   0.677636      0.401691E-02
   0.683883      0.396674E-02
   0.690128      0.391708E-02
   0.696370      0.386826E-02
   0.702610      0.382036E-02
   0.708848      0.377333E-02
   0.715084      0.372702E-02
   0.721319      0.367858E-02
   0.727554      0.363260E-02
   0.733787      0.358040E-02
   0.740018      0.354553E-02
   0.746245      0.349608E-02
   0.752468      0.344778E-02
   0.758683      0.341489E-02
   0.764888      0.337006E-02
   0.771085      0.332262E-02
   0.777275      0.328499E-02
   0.783460      0.323552E-02
   0.789643      0.319250E-02
   0.795826      0.314174E-02
   0.802007      0.309396E-02
   0.808181      0.305251E-02
   0.814343      0.300946E-02
   0.820489      0.296499E-02
   0.826619      0.292315E-02
   0.832734      0.287481E-02
   0.838839      0.282255E-02
   0.844937      0.277048E-02
   0.851025      0.271992E-02
   0.857100      0.266263E-02
   0.863157      0.261190E-02
   0.869192      0.255383E-02
   0.875205      0.249434E-02
   0.881201      0.243292E-02
   0.887183      0.235982E-02
   0.893144      0.229413E-02
   0.899070      0.222811E-02
   0.904939      0.215617E-02
   0.910737      0.208455E-02
   0.916463      0.198959E-02
   0.922126      0.189042E-02
   0.927732      0.177299E-02
   0.933273      0.164452E-02
   0.938727      0.150271E-02
   0.944083      0.134743E-02
   0.949351      0.117841E-02
   0.954563      0.100263E-02
   0.959741      0.827387E-03
   0.964867      0.666074E-03
   0.969889      0.522195E-03
   0.974757      0.395724E-03
   0.979450      0.289873E-03
   0.984006      0.212678E-03
   0.988454      0.155501E-03
   0.992727      0.108076E-03
   0.996702      0.618197E-04
    1.00000      0.234383E-04
    1.00010       0.00000    
    1.00349       0.00000    
    1.00720       0.00000    
    1.01124       0.00000    
    1.01564       0.00000    
    1.02044       0.00000    
    1.02566       0.00000    
    1.03135       0.00000    
    1.03754       0.00000    
    1.04428       0.00000    
    1.05161       0.00000    
    1.05959       0.00000    
    1.06827       0.00000    
    1.07772       0.00000    
    1.08799       0.00000    
    1.09917       0.00000    
    1.11133       0.00000    
    1.12455       0.00000    
    1.13893       0.00000    
    1.15457       0.00000    
    1.17157       0.00000    
    1.19006       0.00000    
    1.21017       0.00000    
    1.23202       0.00000    
    1.25579       0.00000    
    1.28162       0.00000    
    1.30970       0.00000    
    1.34023       0.00000    
    1.37341       0.00000    
    1.40948       0.00000    
    1.44868       0.00000    
    1.49128       0.00000    
    1.53758       0.00000    
    1.58789       0.00000    
    1.64257       0.00000    
    1.70199       0.00000    
    1.76655       0.00000    
    1.83671       0.00000    
    1.91294       0.00000    
    1.99578       0.00000    

   0.379466E-02  0.719601E-03
   0.493931E-02  0.120529E-02
   0.616582E-02  0.177771E-02
   0.748107E-02  0.208489E-02
   0.889719E-02  0.250595E-02
   0.104348E-01  0.223113E-02
   0.121186E-01  0.239579E-02
   0.139715E-01  0.165528E-02
   0.160155E-01  0.213829E-02
   0.182614E-01  0.135838E-02
   0.207095E-01  0.206382E-02
   0.233628E-01  0.164185E-02
   0.262286E-01  0.177084E-02
   0.293363E-01  0.153440E-02
   0.327394E-01  0.132255E-02
   0.364997E-01  0.997091E-03
   0.406484E-01  0.119968E-02
   0.451591E-01  0.104099E-02
   0.499797E-01  0.101363E-02
   0.550714E-01  0.973782E-03
   0.604272E-01  0.865990E-03
   0.660255E-01  0.845947E-03
   0.718113E-01  0.789539E-03
   0.777129E-01  0.818253E-03
   0.836839E-01  0.727080E-03
   0.897210E-01  0.708402E-03
   0.958393E-01  0.570198E-03
   0.102033      0.582674E-03
   0.108263      0.608282E-03
   0.114482      0.676454E-03
   0.120672      0.636279E-03
   0.126849      0.595606E-03
   0.133057      0.551058E-03
   0.139331      0.454471E-03
   0.145682      0.425729E-03
   0.152097      0.390758E-03
   0.158545      0.396694E-03
   0.165001      0.418865E-03
   0.171453      0.382784E-03
   0.177900      0.385372E-03
   0.184342      0.365961E-03
   0.190783      0.357495E-03
   0.197227      0.366358E-03
   0.203675      0.341475E-03
   0.210129      0.366194E-03
   0.216587      0.350446E-03
   0.223046      0.359411E-03
   0.229503      0.332831E-03
   0.235952      0.320628E-03
   0.242395      0.305792E-03
   0.248834      0.294774E-03
   0.255277      0.295396E-03
   0.261729      0.283918E-03
   0.268193      0.292625E-03
   0.274669      0.283062E-03
   0.281150      0.288975E-03
   0.287629      0.282391E-03
   0.294099      0.263646E-03
   0.300557      0.257172E-03
   0.307004      0.252487E-03
   0.313445      0.255633E-03
   0.319887      0.243134E-03
   0.326333      0.243498E-03
   0.332785      0.248477E-03
   0.339242      0.245919E-03
   0.345701      0.236850E-03
   0.352159      0.240704E-03
   0.358612      0.226133E-03
   0.365060      0.228482E-03
   0.371502      0.222497E-03
   0.377939      0.224755E-03
   0.384373      0.216095E-03
   0.390804      0.220592E-03
   0.397234      0.214742E-03
   0.403666      0.211590E-03
   0.410100      0.220847E-03
   0.416538      0.218149E-03
   0.422980      0.215233E-03
   0.429425      0.215916E-03
   0.435871      0.217742E-03
   0.442316      0.217071E-03
   0.448757      0.213678E-03
   0.455194      0.215148E-03
   0.461628      0.212546E-03
   0.468062      0.213195E-03
   0.474500      0.222587E-03
   0.480946      0.216422E-03
   0.487402      0.228753E-03
   0.493867      0.228885E-03
   0.500338      0.238820E-03
   0.506812      0.412201E-03
   0.513282      0.653920E-03
   0.519747      0.113202E-02
   0.526206      0.161025E-02
   0.532663      0.194898E-02
   0.539120      0.212848E-02
   0.545581      0.222042E-02
   0.552048      0.225424E-02
   0.558521      0.225275E-02
   0.564997      0.225090E-02
   0.571469      0.222210E-02
   0.577933      0.219365E-02
   0.584386      0.216175E-02
   0.590830      0.214478E-02
   0.597268      0.211169E-02
   0.603706      0.209100E-02
   0.610152      0.208312E-02
