  
       XFOIL         Version 6.99
  
 Calculated polar for: AH 79-100 C AIRFOIL                             
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   8.000  8.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr  Top_Itr  Bot_Itr
  ------ -------- --------- --------- -------- -------- -------- -------- --------
  -8.000  -0.0159   0.01188   0.00476  -0.2052   0.9230   0.0092  16.8330 198.1931
  -7.500   0.0534   0.01079   0.00380  -0.2090   0.9167   0.0104  17.9484 198.9673
  -7.000   0.1192   0.01008   0.00327  -0.2116   0.9075   0.0126  19.5558 200.2434
  -6.500   0.1848   0.00974   0.00299  -0.2140   0.8972   0.0159  21.3160 201.9538
  -6.000   0.2459   0.00938   0.00270  -0.2154   0.8846   0.0187  23.4267 203.1534
  -5.500   0.3043   0.00907   0.00232  -0.2163   0.8710   0.0207  25.7001 203.9999
  -5.000   0.3611   0.00863   0.00193  -0.2168   0.8572   0.0228  27.9763 204.7895
  -4.500   0.4163   0.00825   0.00158  -0.2170   0.8432   0.0248  30.2852 205.4780
  -4.000   0.4713   0.00794   0.00125  -0.2170   0.8297   0.0269  32.4942 206.2204
  -3.500   0.5262   0.00769   0.00095  -0.2170   0.8167   0.0289  34.6159 206.8456
  -3.000   0.5808   0.00746   0.00071  -0.2169   0.8041   0.0318  36.6491 207.7041
  -2.500   0.6352   0.00728   0.00052  -0.2167   0.7916   0.0384  38.6733 209.4507
  -2.000   0.6891   0.00716   0.00039  -0.2164   0.7790   0.0551  40.7199 212.9939
  -1.500   0.7427   0.00705   0.00030  -0.2161   0.7664   0.0796  42.7459 217.3159
  -1.000   0.7965   0.00691   0.00027  -0.2159   0.7542   0.1481  44.7121 228.3677
  -0.500   0.8500   0.00681   0.00028  -0.2157   0.7425   0.2246  46.5913 240.2376
   0.000   0.9031   0.00672   0.00030  -0.2154   0.7301   0.3253  48.5765 255.8334
   0.500   0.9562   0.00663   0.00034  -0.2151   0.7187   0.4419  50.4113 273.9387
   1.000   1.0073   0.00626   0.00052  -0.2145   0.7056   0.7457  52.5106 321.0477
   1.500   1.0520   0.00602   0.00055  -0.2120   0.6929   1.0000  54.5481 364.0000
   2.000   1.1030   0.00622   0.00054  -0.2111   0.6787   1.0000  56.8279 364.0000
   2.500   1.1527   0.00643   0.00052  -0.2099   0.6621   1.0000  59.4806 364.0000
   3.000   1.2002   0.00668   0.00051  -0.2083   0.6428   1.0000  62.5728 364.0000
   3.500   1.2463   0.00695   0.00049  -0.2064   0.6227   1.0000  65.7905 364.0000
   4.000   1.2915   0.00726   0.00051  -0.2043   0.6012   1.0000  69.2251 364.0000
   4.500   1.3312   0.00775   0.00053  -0.2012   0.5641   1.0000  75.1694 364.0000
   5.000   1.3644   0.00854   0.00066  -0.1968   0.5062   1.0000  84.4127 364.0000
   5.500   1.3958   0.00952   0.00092  -0.1922   0.4441   1.0000  94.2853 364.0000
   6.000   1.4243   0.01071   0.00127  -0.1872   0.3745   1.0000 105.3322 364.0000
   6.500   1.4502   0.01208   0.00172  -0.1820   0.3029   1.0000 116.7800 364.0000
   7.000   1.4750   0.01355   0.00227  -0.1767   0.2377   1.0000 127.3275 364.0000
   7.500   1.4966   0.01523   0.00296  -0.1710   0.1738   1.0000 137.9087 364.0000
   8.000   1.5113   0.01740   0.00395  -0.1645   0.1039   1.0000 150.0536 364.0000
