  
       XFOIL         Version 6.99
  
 Calculated polar for: AH 79-100 C AIRFOIL                             
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =    10.000 e 6     Ncrit =   8.000  8.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr  Top_Itr  Bot_Itr
  ------ -------- --------- --------- -------- -------- -------- -------- --------
  -8.000   0.0446   0.00641   0.00172  -0.2203   0.7887   0.0038  39.1404 193.9601
  -7.500   0.0996   0.00615   0.00146  -0.2203   0.7752   0.0038  41.3298 193.9854
  -7.000   0.1547   0.00587   0.00118  -0.2204   0.7612   0.0042  43.5846 194.2944
  -6.500   0.2100   0.00564   0.00096  -0.2205   0.7476   0.0046  45.7747 194.6752
  -6.000   0.2655   0.00546   0.00078  -0.2206   0.7346   0.0050  47.8609 195.0409
  -5.500   0.3208   0.00524   0.00055  -0.2206   0.7203   0.0074  50.1489 196.9354
  -5.000   0.3764   0.00507   0.00040  -0.2207   0.7066   0.0136  52.3519 200.7831
  -4.500   0.4320   0.00501   0.00033  -0.2208   0.6940   0.0145  54.3712 201.2439
  -4.000   0.4876   0.00495   0.00025  -0.2209   0.6816   0.0156  56.3519 201.7643
  -3.500   0.5432   0.00491   0.00019  -0.2209   0.6696   0.0160  58.2720 201.9730
  -3.000   0.5987   0.00487   0.00012  -0.2210   0.6575   0.0173  60.2184 202.5461
  -2.500   0.6538   0.00486   0.00007  -0.2209   0.6433   0.0181  62.4810 202.9382
  -2.000   0.7084   0.00488   0.00002  -0.2208   0.6262   0.0202  65.2256 203.7848
  -1.500   0.7631   0.00487  -0.00002  -0.2207   0.6101   0.0324  67.8121 207.9040
  -1.000   0.8165   0.00495  -0.00003  -0.2203   0.5868   0.0413  71.5327 210.1422
  -0.500   0.8684   0.00511  -0.00001  -0.2196   0.5540   0.0546  76.7745 212.9091
   0.000   0.9203   0.00524   0.00002  -0.2190   0.5235   0.0870  81.6605 218.5407
   0.500   0.9711   0.00544   0.00007  -0.2182   0.4864   0.1299  87.5660 225.4945
   1.000   1.0223   0.00562   0.00013  -0.2174   0.4565   0.1728  92.3160 232.2056
   1.500   1.0725   0.00586   0.00020  -0.2165   0.4225   0.2110  97.7196 238.1247
   2.000   1.1226   0.00606   0.00029  -0.2156   0.3914   0.2784 102.6567 248.5722
   2.500   1.1710   0.00633   0.00040  -0.2144   0.3538   0.3624 108.6427 261.5860
   3.000   1.2148   0.00686   0.00059  -0.2122   0.2939   0.4213 118.2216 270.7406
   3.500   1.2574   0.00738   0.00078  -0.2098   0.2376   0.5049 127.3454 283.7051
   4.000   1.2954   0.00794   0.00100  -0.2064   0.1809   0.5985 136.7053 298.1945
   4.500   1.3358   0.00839   0.00116  -0.2035   0.1451   0.6865 142.7679 311.8470
   5.000   1.3731   0.00897   0.00141  -0.2000   0.1020   0.7892 150.4052 327.8481
   5.500   1.4012   0.00961   0.00179  -0.1946   0.0465   1.0000 161.3979 364.0000
   6.000   1.4369   0.01041   0.00203  -0.1909   0.0149   1.0000 171.1130 364.0000
   6.500   1.4765   0.01101   0.00221  -0.1879   0.0053   1.0000 177.2556 364.0000
   7.000   1.5179   0.01152   0.00236  -0.1855   0.0045   1.0000 178.0028 364.0000
   7.500   1.5588   0.01203   0.00252  -0.1830   0.0044   1.0000 178.1515 364.0000
   8.000   1.5990   0.01259   0.00270  -0.1804   0.0041   1.0000 178.3722 364.0000
