#  NACA 0012                                       
#  alpha =  -8.0000
#  Mach  =   0.0000
#  Reyn  =  1000000
#  Ncrit =   9.0000
#
#    x           cf
   0.162040E-01  0.117864E-03
   0.174077E-01  0.581927E-03
   0.186740E-01  0.995297E-03
   0.200068E-01  0.131300E-02
   0.214108E-01  0.170488E-02
   0.228909E-01  0.199419E-02
   0.244527E-01  0.219652E-02
   0.261023E-01  0.239772E-02
   0.278464E-01  0.271267E-02
   0.296925E-01  0.278793E-02
   0.316487E-01  0.298557E-02
   0.337238E-01  0.303746E-02
   0.359276E-01  0.328981E-02
   0.382704E-01  0.324669E-02
   0.407632E-01  0.334804E-02
   0.434178E-01  0.343163E-02
   0.462462E-01  0.338260E-02
   0.492607E-01  0.352223E-02
   0.524734E-01  0.349807E-02
   0.558956E-01  0.348007E-02
   0.595379E-01  0.351447E-02
   0.634087E-01  0.344105E-02
   0.675143E-01  0.345242E-02
   0.718581E-01  0.340676E-02
   0.764403E-01  0.338502E-02
   0.812572E-01  0.333067E-02
   0.863022E-01  0.329541E-02
   0.915653E-01  0.321279E-02
   0.970339E-01  0.318017E-02
   0.102694      0.311590E-02
   0.108530      0.307319E-02
   0.114526      0.299433E-02
   0.120668      0.294334E-02
   0.126940      0.289649E-02
   0.133330      0.283014E-02
   0.139824      0.277053E-02
   0.146413      0.272105E-02
   0.153086      0.266969E-02
   0.159835      0.261642E-02
   0.166653      0.253948E-02
   0.173533      0.251750E-02
   0.180470      0.245975E-02
   0.187459      0.240118E-02
   0.194495      0.236156E-02
   0.201575      0.231364E-02
   0.208695      0.228170E-02
   0.215854      0.222890E-02
   0.223047      0.218344E-02
   0.230273      0.214370E-02
   0.237529      0.210231E-02
   0.244815      0.206378E-02
   0.252127      0.203218E-02
   0.259465      0.198790E-02
   0.266828      0.196190E-02
   0.274213      0.192017E-02
   0.281619      0.188081E-02
   0.289047      0.185690E-02
   0.296494      0.181960E-02
   0.303959      0.179127E-02
   0.311443      0.176191E-02
   0.318943      0.172687E-02
   0.326460      0.170253E-02
   0.333992      0.167479E-02
   0.341538      0.164906E-02
   0.349099      0.161501E-02
   0.356674      0.158926E-02
   0.364261      0.157249E-02
   0.371861      0.153865E-02
   0.379473      0.151698E-02
   0.387097      0.149773E-02
   0.394731      0.146719E-02
   0.402376      0.145467E-02
   0.410032      0.142489E-02
   0.417697      0.140289E-02
   0.425371      0.138525E-02
   0.433054      0.136251E-02
   0.440746      0.134334E-02
   0.448447      0.132417E-02
   0.456155      0.130555E-02
   0.463871      0.128410E-02
   0.471595      0.126858E-02
   0.479326      0.124383E-02
   0.487063      0.123625E-02
   0.494807      0.121568E-02
   0.502558      0.119781E-02
   0.510314      0.117878E-02
   0.518076      0.116917E-02
   0.525844      0.114879E-02
   0.533617      0.112912E-02
   0.541395      0.112347E-02
   0.549178      0.110620E-02
   0.556966      0.108851E-02
   0.564757      0.107609E-02
   0.572553      0.105948E-02
   0.580353      0.104920E-02
   0.588157      0.103391E-02
   0.595965      0.101496E-02
   0.603775      0.101135E-02
   0.611589      0.990615E-03
   0.619406      0.972776E-03
   0.627225      0.973752E-03
   0.635047      0.952889E-03
   0.642872      0.944726E-03
   0.650699      0.930361E-03
   0.658527      0.906656E-03
   0.666358      0.905699E-03
   0.674190      0.892056E-03
   0.682024      0.877408E-03
   0.689859      0.865380E-03
   0.697696      0.850608E-03
   0.705533      0.839651E-03
   0.713371      0.822913E-03
   0.721210      0.820554E-03
   0.729050      0.795541E-03
   0.736889      0.790690E-03
   0.744729      0.769657E-03
   0.752569      0.758419E-03
   0.760408      0.746219E-03
   0.768247      0.732248E-03
   0.776086      0.707915E-03
   0.783924      0.695233E-03
   0.791761      0.682535E-03
   0.799596      0.663058E-03
   0.807431      0.646201E-03
   0.815263      0.619307E-03
   0.823094      0.603310E-03
   0.830921      0.585154E-03
   0.838746      0.556232E-03
   0.846567      0.530177E-03
   0.854383      0.502287E-03
   0.862193      0.477804E-03
   0.869995      0.442234E-03
   0.877787      0.407792E-03
   0.885564      0.371095E-03
   0.893322      0.323760E-03
   0.901053      0.283868E-03
   0.908749      0.235739E-03
   0.916396      0.188353E-03
   0.923976      0.135230E-03
   0.931465      0.848234E-04
   0.938833      0.408841E-04
   0.946040     -0.381459E-05
   0.953041     -0.358118E-04
   0.959787     -0.612572E-04
   0.966225     -0.772240E-04
   0.972311     -0.867513E-04
   0.978008     -0.910321E-04
   0.983296     -0.922140E-04
   0.988171     -0.920781E-04
   0.992643     -0.911276E-04
