#  NACA 0012                                       
#  alpha =   1.5000
#  Mach  =   0.0000
#  Reyn  =  1000000
#  Ncrit =   9.0000
#
#    x           cf
   0.456005E-03  0.443894E-03
   0.301674E-03  0.182419E-02
   0.180160E-03  0.281490E-02
   0.906754E-04  0.438104E-02
   0.322114E-04  0.542429E-02
   0.354899E-05  0.687619E-02
   0.354646E-05  0.785391E-02
   0.322038E-04  0.949235E-02
   0.906627E-04  0.101113E-01
   0.180142E-03  0.109911E-01
   0.301651E-03  0.127047E-01
   0.456005E-03  0.129448E-01
   0.643928E-03  0.141101E-01
   0.866032E-03  0.146752E-01
   0.112263E-02  0.147167E-01
   0.141408E-02  0.150278E-01
   0.174067E-02  0.160373E-01
   0.210237E-02  0.151879E-01
   0.249943E-02  0.161530E-01
   0.293181E-02  0.153985E-01
   0.339974E-02  0.153116E-01
   0.390342E-02  0.152502E-01
   0.444290E-02  0.147348E-01
   0.501860E-02  0.144737E-01
   0.563103E-02  0.142715E-01
   0.628063E-02  0.134936E-01
   0.696806E-02  0.136192E-01
   0.769421E-02  0.131464E-01
   0.846001E-02  0.121512E-01
   0.926678E-02  0.119879E-01
   0.101159E-01  0.118039E-01
   0.110088E-01  0.111065E-01
   0.119473E-01  0.107026E-01
   0.129337E-01  0.102156E-01
   0.139701E-01  0.100614E-01
   0.150593E-01  0.972201E-02
   0.162040E-01  0.898658E-02
   0.174077E-01  0.893002E-02
   0.186740E-01  0.858737E-02
   0.200068E-01  0.791353E-02
   0.214108E-01  0.798643E-02
   0.228909E-01  0.735721E-02
   0.244527E-01  0.722524E-02
   0.261023E-01  0.682383E-02
   0.278464E-01  0.668862E-02
   0.296925E-01  0.634408E-02
   0.316487E-01  0.600516E-02
   0.337238E-01  0.583455E-02
   0.359276E-01  0.558574E-02
   0.382704E-01  0.533604E-02
   0.407632E-01  0.514498E-02
   0.434178E-01  0.486516E-02
   0.462462E-01  0.463975E-02
   0.492607E-01  0.445608E-02
   0.524734E-01  0.425820E-02
   0.558956E-01  0.413549E-02
   0.595379E-01  0.389857E-02
   0.634087E-01  0.373843E-02
   0.675143E-01  0.358493E-02
   0.718581E-01  0.339478E-02
   0.764403E-01  0.326722E-02
   0.812572E-01  0.311076E-02
   0.863022E-01  0.298389E-02
   0.915653E-01  0.284202E-02
   0.970339E-01  0.271907E-02
   0.102694      0.259947E-02
   0.108530      0.250238E-02
   0.114526      0.239803E-02
   0.120668      0.228566E-02
   0.126940      0.218864E-02
   0.133330      0.211346E-02
   0.139824      0.201012E-02
   0.146413      0.195209E-02
   0.153086      0.186307E-02
   0.159835      0.179671E-02
   0.166653      0.172322E-02
   0.173533      0.165008E-02
   0.180470      0.160490E-02
   0.187459      0.153113E-02
   0.194495      0.147509E-02
   0.201575      0.141870E-02
   0.208695      0.137039E-02
   0.215854      0.132368E-02
   0.223047      0.126434E-02
   0.230273      0.122030E-02
   0.237529      0.117559E-02
   0.244815      0.112814E-02
   0.252127      0.109057E-02
   0.259465      0.104560E-02
   0.266828      0.100659E-02
   0.274213      0.967800E-03
   0.281619      0.924152E-03
   0.289047      0.890345E-03
   0.296494      0.858377E-03
   0.303959      0.819762E-03
   0.311443      0.789322E-03
   0.318943      0.756520E-03
   0.326460      0.724003E-03
   0.333992      0.697611E-03
   0.341538      0.663417E-03
   0.349099      0.632793E-03
   0.356674      0.607016E-03
   0.364261      0.580296E-03
   0.371861      0.551989E-03
   0.379473      0.528735E-03
   0.387097      0.502863E-03
   0.394731      0.479561E-03
   0.402376      0.456944E-03
   0.410032      0.433438E-03
   0.417697      0.414524E-03
   0.425371      0.395505E-03
   0.433054      0.378125E-03
   0.440746      0.360659E-03
   0.448447      0.345114E-03
   0.456155      0.332803E-03
   0.463871      0.320635E-03
   0.471595      0.312046E-03
   0.479326      0.304498E-03
   0.487063      0.302936E-03
   0.494807      0.304407E-03
   0.502558      0.311581E-03
   0.510314      0.324924E-03
   0.518076      0.352339E-03
   0.525844      0.396723E-03
   0.533617      0.517984E-03
   0.541395      0.784742E-03
   0.549178      0.123439E-02
   0.556966      0.183756E-02
   0.564757      0.247844E-02
   0.572553      0.306982E-02
   0.580353      0.356999E-02
   0.588157      0.395694E-02
   0.595965      0.424371E-02
   0.603775      0.445298E-02
   0.611589      0.460002E-02
   0.619406      0.468225E-02
   0.627225      0.474737E-02
   0.635047      0.476957E-02
   0.642872      0.477768E-02
   0.650699      0.476230E-02
   0.658527      0.473721E-02
   0.666358      0.470814E-02
   0.674190      0.466666E-02
   0.682024      0.462429E-02
   0.689859      0.457419E-02
   0.697696      0.452766E-02
   0.705533      0.447640E-02
   0.713371      0.442260E-02
   0.721210      0.436934E-02
   0.729050      0.431255E-02
   0.736889      0.426562E-02
   0.744729      0.420703E-02
   0.752569      0.415413E-02
   0.760408      0.410281E-02
   0.768247      0.405060E-02
   0.776086      0.399665E-02
   0.783924      0.394193E-02
   0.791761      0.388903E-02
   0.799596      0.384039E-02
   0.807431      0.378344E-02
   0.815263      0.373386E-02
   0.823094      0.367788E-02
   0.830921      0.362894E-02
   0.838746      0.357530E-02
   0.846567      0.351404E-02
   0.854383      0.346379E-02
   0.862193      0.340589E-02
   0.869995      0.334559E-02
   0.877787      0.328608E-02
   0.885564      0.322774E-02
   0.893322      0.316268E-02
   0.901053      0.309630E-02
   0.908749      0.302815E-02
   0.916396      0.295937E-02
   0.923976      0.287726E-02
   0.931465      0.280776E-02
   0.938833      0.271788E-02
   0.946040      0.262915E-02
   0.953041      0.254171E-02
   0.959787      0.244471E-02
   0.966225      0.234328E-02
   0.972311      0.224207E-02
   0.978008      0.213662E-02
   0.983296      0.203212E-02
   0.988171      0.192580E-02
   0.992643      0.182643E-02
   0.996736      0.172185E-02
    1.00000      0.167040E-02
    1.00010       0.00000    
    1.00340       0.00000    
    1.00699       0.00000    
    1.01090       0.00000    
    1.01516       0.00000    
    1.01980       0.00000    
    1.02485       0.00000    
    1.03036       0.00000    
    1.03636       0.00000    
    1.04289       0.00000    
    1.05000       0.00000    
    1.05776       0.00000    
    1.06620       0.00000    
    1.07540       0.00000    
    1.08542       0.00000    
    1.09633       0.00000    
    1.10822       0.00000    
    1.12117       0.00000    
    1.13527       0.00000    
    1.15064       0.00000    
    1.16737       0.00000    
    1.18560       0.00000    
    1.20546       0.00000    
    1.22709       0.00000    
    1.25066       0.00000    
    1.27632       0.00000    
    1.30428       0.00000    
    1.33474       0.00000    
    1.36791       0.00000    
    1.40405       0.00000    
    1.44341       0.00000    
    1.48628       0.00000    
    1.53299       0.00000    
    1.58386       0.00000    
    1.63927       0.00000    
    1.69964       0.00000    
    1.76539       0.00000    
    1.83701       0.00000    
    1.91503       0.00000    
    2.00001       0.00000    

   0.643962E-03  0.949624E-03
   0.866032E-03  0.145575E-02
   0.112267E-02  0.386941E-02
   0.141413E-02  0.328491E-02
   0.174067E-02  0.550608E-02
   0.210243E-02  0.540502E-02
   0.249943E-02  0.690928E-02
   0.293188E-02  0.662802E-02
   0.339980E-02  0.781864E-02
   0.390342E-02  0.792809E-02
   0.444297E-02  0.821652E-02
   0.501868E-02  0.906302E-02
   0.563103E-02  0.820211E-02
   0.628063E-02  0.896324E-02
   0.696806E-02  0.940663E-02
   0.769421E-02  0.882998E-02
   0.846010E-02  0.889249E-02
   0.926685E-02  0.907114E-02
   0.101159E-01  0.887214E-02
   0.110088E-01  0.883845E-02
   0.119474E-01  0.860059E-02
   0.129337E-01  0.875153E-02
   0.139702E-01  0.831156E-02
   0.150593E-01  0.844102E-02
   0.162041E-01  0.783345E-02
   0.174077E-01  0.800672E-02
   0.186740E-01  0.770809E-02
   0.200068E-01  0.745618E-02
   0.214107E-01  0.753566E-02
   0.228909E-01  0.712973E-02
   0.244527E-01  0.706332E-02
   0.261022E-01  0.671645E-02
   0.278463E-01  0.672933E-02
   0.296924E-01  0.638036E-02
   0.316485E-01  0.622750E-02
   0.337237E-01  0.609784E-02
   0.359274E-01  0.587010E-02
   0.382703E-01  0.565050E-02
   0.407631E-01  0.554524E-02
   0.434177E-01  0.531630E-02
   0.462462E-01  0.516149E-02
   0.492607E-01  0.500696E-02
   0.524733E-01  0.479716E-02
   0.558955E-01  0.468584E-02
   0.595378E-01  0.445026E-02
   0.634086E-01  0.433184E-02
   0.675142E-01  0.417197E-02
   0.718581E-01  0.401156E-02
   0.764402E-01  0.385830E-02
   0.812574E-01  0.375268E-02
   0.863022E-01  0.358094E-02
   0.915653E-01  0.346488E-02
   0.970339E-01  0.332619E-02
   0.102694      0.321743E-02
   0.108530      0.309336E-02
   0.114526      0.301272E-02
   0.120668      0.286590E-02
   0.126940      0.278049E-02
   0.133330      0.269926E-02
   0.139824      0.261363E-02
   0.146413      0.250014E-02
   0.153086      0.244099E-02
   0.159835      0.235884E-02
   0.166653      0.228082E-02
   0.173533      0.221968E-02
   0.180470      0.213504E-02
   0.187459      0.208995E-02
   0.194495      0.202339E-02
   0.201575      0.195860E-02
   0.208695      0.190588E-02
   0.215854      0.184279E-02
   0.223047      0.179764E-02
   0.230273      0.175538E-02
   0.237529      0.169412E-02
   0.244815      0.164720E-02
   0.252127      0.160698E-02
   0.259465      0.155296E-02
   0.266827      0.152807E-02
   0.274212      0.147053E-02
   0.281619      0.143928E-02
   0.289046      0.139677E-02
   0.296493      0.136376E-02
   0.303959      0.132489E-02
   0.311442      0.128918E-02
   0.318942      0.125817E-02
   0.326459      0.122522E-02
   0.333991      0.118818E-02
   0.341538      0.116117E-02
   0.349098      0.113239E-02
   0.356673      0.109954E-02
   0.364261      0.107345E-02
   0.371860      0.104731E-02
   0.379473      0.101460E-02
   0.387096      0.992129E-03
   0.394730      0.962292E-03
   0.402376      0.940863E-03
   0.410031      0.914815E-03
   0.417696      0.891015E-03
   0.425370      0.866381E-03
   0.433053      0.844985E-03
   0.440746      0.823580E-03
   0.448446      0.800084E-03
   0.456155      0.778949E-03
   0.463871      0.756098E-03
   0.471594      0.736607E-03
   0.479325      0.716818E-03
   0.487063      0.698006E-03
   0.494807      0.677310E-03
   0.502557      0.659297E-03
   0.510314      0.641289E-03
   0.518076      0.622323E-03
   0.525843      0.604233E-03
   0.533616      0.587147E-03
   0.541395      0.568897E-03
   0.549177      0.549803E-03
   0.556965      0.535504E-03
   0.564757      0.515369E-03
   0.572553      0.501213E-03
   0.580353      0.484929E-03
   0.588157      0.469770E-03
   0.595964      0.454333E-03
   0.603775      0.435490E-03
   0.611588      0.421281E-03
   0.619405      0.405631E-03
   0.627225      0.390107E-03
   0.635047      0.376715E-03
   0.642872      0.361554E-03
   0.650698      0.344733E-03
   0.658527      0.330419E-03
   0.666358      0.315194E-03
   0.674190      0.301222E-03
   0.682024      0.286371E-03
   0.689859      0.274357E-03
   0.697696      0.257089E-03
   0.705533      0.246540E-03
   0.713371      0.231660E-03
   0.721210      0.219731E-03
   0.729049      0.207702E-03
   0.736889      0.197024E-03
   0.744728      0.184161E-03
   0.752568      0.174913E-03
   0.760407      0.166602E-03
   0.768247      0.157831E-03
   0.776085      0.152658E-03
   0.783923      0.148214E-03
   0.791760      0.146830E-03
   0.799596      0.147259E-03
   0.807430      0.153982E-03
   0.815262      0.165712E-03
   0.823093      0.187482E-03
   0.830921      0.237912E-03
   0.838746      0.381014E-03
   0.846567      0.632616E-03
   0.854383      0.970846E-03
   0.862193      0.136318E-02
   0.869995      0.176717E-02
   0.877786      0.214488E-02
   0.885563      0.246073E-02
   0.893321      0.272894E-02
   0.901053      0.292908E-02
   0.908749      0.307043E-02
   0.916396      0.318274E-02
   0.923976      0.324680E-02
   0.931465      0.327750E-02
   0.938833      0.328848E-02
   0.946040      0.326775E-02
   0.953041      0.323505E-02
   0.959787      0.318523E-02
   0.966226      0.311543E-02
   0.972311      0.303503E-02
   0.978008      0.293438E-02
   0.983296      0.283923E-02
