#  NACA 0012                                       
#  alpha =  -4.0000
#  Mach  =   0.0000
#  Reyn  = 10000000
#  Ncrit =   9.0000
#
#    x           cf
   0.444290E-02  0.251435E-03
   0.501860E-02  0.532226E-03
   0.563103E-02  0.674179E-03
   0.628063E-02  0.104796E-02
   0.696806E-02  0.945802E-03
   0.769421E-02  0.139590E-02
   0.846001E-02  0.122489E-02
   0.926678E-02  0.151753E-02
   0.101159E-01  0.160094E-02
   0.110088E-01  0.161415E-02
   0.119473E-01  0.168911E-02
   0.129337E-01  0.168339E-02
   0.139701E-01  0.192145E-02
   0.150593E-01  0.165703E-02
   0.162040E-01  0.194046E-02
   0.174077E-01  0.184079E-02
   0.186740E-01  0.178145E-02
   0.200068E-01  0.187378E-02
   0.214108E-01  0.185788E-02
   0.228909E-01  0.185018E-02
   0.244527E-01  0.179031E-02
   0.261023E-01  0.179933E-02
   0.278464E-01  0.177044E-02
   0.296925E-01  0.176198E-02
   0.316487E-01  0.177075E-02
   0.337238E-01  0.166454E-02
   0.359276E-01  0.171960E-02
   0.382704E-01  0.160221E-02
   0.407632E-01  0.159347E-02
   0.434178E-01  0.162116E-02
   0.462462E-01  0.150558E-02
   0.492607E-01  0.151191E-02
   0.524734E-01  0.148987E-02
   0.558956E-01  0.138879E-02
   0.595379E-01  0.140788E-02
   0.634087E-01  0.135320E-02
   0.675143E-01  0.131262E-02
   0.718581E-01  0.127742E-02
   0.764403E-01  0.124334E-02
   0.812572E-01  0.118169E-02
   0.863022E-01  0.118234E-02
   0.915653E-01  0.113267E-02
   0.970339E-01  0.108731E-02
   0.102694      0.105601E-02
   0.108530      0.103742E-02
   0.114526      0.998498E-03
   0.120668      0.970632E-03
   0.126940      0.940553E-03
   0.133330      0.909491E-03
   0.139824      0.895706E-03
   0.146413      0.859369E-03
   0.153086      0.835424E-03
   0.159835      0.823513E-03
   0.166653      0.789030E-03
   0.173533      0.772076E-03
   0.180470      0.748567E-03
   0.187459      0.728480E-03
   0.194495      0.718165E-03
   0.201575      0.694692E-03
   0.208695      0.676969E-03
   0.215854      0.663032E-03
   0.223047      0.645841E-03
   0.230273      0.628226E-03
   0.237529      0.614372E-03
   0.244815      0.594569E-03
   0.252127      0.589198E-03
   0.259465      0.572426E-03
   0.266828      0.561881E-03
   0.274213      0.540393E-03
   0.281619      0.534844E-03
   0.289047      0.520972E-03
   0.296494      0.509150E-03
   0.303959      0.498800E-03
   0.311443      0.487844E-03
   0.318943      0.478497E-03
   0.326460      0.467858E-03
   0.333992      0.456902E-03
   0.341538      0.448477E-03
   0.349099      0.437194E-03
   0.356674      0.426577E-03
   0.364261      0.423505E-03
   0.371861      0.410004E-03
   0.379473      0.400923E-03
   0.387097      0.395284E-03
   0.394731      0.385592E-03
   0.402376      0.381080E-03
   0.410032      0.369253E-03
   0.417697      0.362692E-03
   0.425371      0.356891E-03
   0.433054      0.348806E-03
   0.440746      0.343227E-03
   0.448447      0.335507E-03
   0.456155      0.328519E-03
   0.463871      0.321891E-03
   0.471595      0.316945E-03
   0.479326      0.307795E-03
   0.487063      0.305027E-03
   0.494807      0.298753E-03
   0.502558      0.291100E-03
   0.510314      0.286553E-03
   0.518076      0.282618E-03
   0.525844      0.275445E-03
   0.533617      0.268337E-03
   0.541395      0.267034E-03
   0.549178      0.260972E-03
   0.556966      0.255076E-03
   0.564757      0.251139E-03
   0.572553      0.244250E-03
   0.580353      0.242521E-03
   0.588157      0.237059E-03
   0.595965      0.230737E-03
   0.603775      0.229842E-03
   0.611589      0.224239E-03
   0.619406      0.217700E-03
   0.627225      0.220386E-03
   0.635047      0.215145E-03
   0.642872      0.216202E-03
   0.650699      0.216881E-03
   0.658527      0.221358E-03
   0.666358      0.474266E-03
   0.674190      0.109809E-02
   0.682024      0.206272E-02
   0.689859      0.280122E-02
   0.697696      0.319776E-02
   0.705533      0.337248E-02
   0.713371      0.341694E-02
   0.721210      0.341812E-02
   0.729050      0.336803E-02
   0.736889      0.333010E-02
   0.744729      0.326793E-02
   0.752569      0.321909E-02
   0.760408      0.317014E-02
   0.768247      0.312575E-02
   0.776086      0.307126E-02
   0.783924      0.303205E-02
   0.791761      0.299418E-02
   0.799596      0.295778E-02
   0.807431      0.292056E-02
   0.815263      0.288187E-02
   0.823094      0.285130E-02
   0.830921      0.282591E-02
   0.838746      0.278925E-02
   0.846567      0.275471E-02
   0.854383      0.272641E-02
   0.862193      0.270030E-02
   0.869995      0.266565E-02
   0.877787      0.263406E-02
   0.885564      0.260642E-02
   0.893322      0.256719E-02
   0.901053      0.253981E-02
   0.908749      0.250363E-02
   0.916396      0.247261E-02
   0.923976      0.242836E-02
   0.931465      0.239192E-02
   0.938833      0.235428E-02
   0.946040      0.230016E-02
   0.953041      0.226302E-02
   0.959787      0.220837E-02
   0.966225      0.215702E-02
   0.972311      0.209652E-02
   0.978008      0.203655E-02
   0.983296      0.196327E-02
   0.988171      0.188695E-02
   0.992643      0.181556E-02
   0.996736      0.171216E-02
    1.00000      0.170609E-02
    1.00010       0.00000    
    1.00340       0.00000    
    1.00699       0.00000    
    1.01090       0.00000    
    1.01516       0.00000    
    1.01980       0.00000    
    1.02485       0.00000    
    1.03036       0.00000    
    1.03635       0.00000    
    1.04289       0.00000    
    1.05000       0.00000    
    1.05775       0.00000    
    1.06620       0.00000    
    1.07539       0.00000    
    1.08541       0.00000    
    1.09632       0.00000    
    1.10821       0.00000    
    1.12116       0.00000    
    1.13526       0.00000    
    1.15062       0.00000    
    1.16735       0.00000    
    1.18558       0.00000    
    1.20543       0.00000    
    1.22706       0.00000    
    1.25061       0.00000    
    1.27627       0.00000    
    1.30422       0.00000    
    1.33466       0.00000    
    1.36782       0.00000    
    1.40394       0.00000    
    1.44328       0.00000    
    1.48613       0.00000    
    1.53280       0.00000    
    1.58364       0.00000    
    1.63902       0.00000    
    1.69934       0.00000    
    1.76504       0.00000    
    1.83660       0.00000    
    1.91455       0.00000    
    1.99945       0.00000    

   0.390342E-02  0.651377E-05
   0.339974E-02  0.349250E-03
   0.293181E-02  0.590263E-03
