#  NACA 0012                                       
#  alpha =   6.5000
#  Mach  =   0.0000
#  Reyn  = 10000000
#  Ncrit =   9.0000
#
#    x           cf
   0.101159E-01  0.559200E-04
   0.926685E-02  0.293775E-03
   0.846010E-02  0.549236E-03
   0.769421E-02  0.665601E-03
   0.696806E-02  0.120735E-02
   0.628063E-02  0.140032E-02
   0.563103E-02  0.161968E-02
   0.501868E-02  0.224878E-02
   0.444297E-02  0.246466E-02
   0.390342E-02  0.304167E-02
   0.339980E-02  0.344944E-02
   0.293188E-02  0.385118E-02
   0.249943E-02  0.467999E-02
   0.210243E-02  0.505966E-02
   0.174067E-02  0.557542E-02
   0.141413E-02  0.641565E-02
   0.112267E-02  0.673915E-02
   0.866032E-03  0.719171E-02
   0.643962E-03  0.831107E-02
   0.456005E-03  0.781160E-02
   0.301674E-03  0.935995E-02
   0.180160E-03  0.914987E-02
   0.906754E-04  0.993667E-02
   0.322114E-04  0.100830E-01
   0.354899E-05  0.102626E-01
   0.354646E-05  0.104678E-01
   0.322038E-04  0.107783E-01
   0.906627E-04  0.109744E-01
   0.180142E-03  0.110518E-01
   0.301651E-03  0.112574E-01
   0.456005E-03  0.101825E-01
   0.643928E-03  0.111608E-01
   0.866032E-03  0.104718E-01
   0.112263E-02  0.971444E-02
   0.141408E-02  0.974165E-02
   0.174067E-02  0.946815E-02
   0.210237E-02  0.857279E-02
   0.249943E-02  0.840276E-02
   0.293181E-02  0.786642E-02
   0.339974E-02  0.738024E-02
   0.390342E-02  0.669004E-02
   0.444290E-02  0.636590E-02
   0.501860E-02  0.586303E-02
   0.563103E-02  0.555280E-02
   0.628063E-02  0.510998E-02
   0.696806E-02  0.447870E-02
   0.769421E-02  0.432281E-02
   0.846001E-02  0.387152E-02
   0.926678E-02  0.349202E-02
   0.101159E-01  0.318748E-02
   0.110088E-01  0.284870E-02
   0.119473E-01  0.265803E-02
   0.129337E-01  0.226617E-02
   0.139701E-01  0.214266E-02
   0.150593E-01  0.185161E-02
   0.162040E-01  0.168341E-02
   0.174077E-01  0.140703E-02
   0.186740E-01  0.126709E-02
   0.200068E-01  0.110759E-02
   0.214108E-01  0.944191E-03
   0.228909E-01  0.866214E-03
   0.244527E-01  0.701437E-03
   0.261023E-01  0.626957E-03
   0.278464E-01  0.625551E-03
   0.296925E-01  0.664294E-03
   0.316487E-01  0.100897E-02
   0.337238E-01  0.523516E-02
   0.359276E-01  0.957635E-02
   0.382704E-01  0.114094E-01
   0.407632E-01  0.117743E-01
   0.434178E-01  0.114144E-01
   0.462462E-01  0.109133E-01
   0.492607E-01  0.104635E-01
   0.524734E-01  0.998991E-02
   0.558956E-01  0.957638E-02
   0.595379E-01  0.920575E-02
   0.634087E-01  0.890045E-02
   0.675143E-01  0.858464E-02
   0.718581E-01  0.832249E-02
   0.764403E-01  0.806330E-02
   0.812572E-01  0.782960E-02
   0.863022E-01  0.761521E-02
   0.915653E-01  0.740628E-02
   0.970339E-01  0.720700E-02
   0.102694      0.702212E-02
   0.108530      0.685492E-02
   0.114526      0.668114E-02
   0.120668      0.653283E-02
   0.126940      0.639432E-02
   0.133330      0.623293E-02
   0.139824      0.612385E-02
   0.146413      0.598383E-02
   0.153086      0.586511E-02
   0.159835      0.575949E-02
   0.166653      0.564347E-02
   0.173533      0.554504E-02
   0.180470      0.544065E-02
   0.187459      0.535203E-02
   0.194495      0.525846E-02
   0.201575      0.517246E-02
   0.208695      0.508794E-02
   0.215854      0.500854E-02
   0.223047      0.493005E-02
   0.230273      0.485581E-02
   0.237529      0.478154E-02
   0.244815      0.471081E-02
   0.252127      0.464750E-02
   0.259465      0.457891E-02
   0.266828      0.451818E-02
   0.274213      0.445588E-02
   0.281619      0.439225E-02
   0.289047      0.433389E-02
   0.296494      0.428161E-02
   0.303959      0.422319E-02
   0.311443      0.417117E-02
   0.318943      0.411868E-02
   0.326460      0.406676E-02
   0.333992      0.401722E-02
   0.341538      0.397086E-02
   0.349099      0.392029E-02
   0.356674      0.387349E-02
   0.364261      0.382838E-02
   0.371861      0.378645E-02
   0.379473      0.374012E-02
   0.387097      0.369958E-02
   0.394731      0.365608E-02
   0.402376      0.361693E-02
   0.410032      0.357459E-02
   0.417697      0.353579E-02
   0.425371      0.349920E-02
   0.433054      0.346039E-02
   0.440746      0.342453E-02
   0.448447      0.338582E-02
   0.456155      0.335128E-02
   0.463871      0.331366E-02
   0.471595      0.328125E-02
   0.479326      0.324548E-02
   0.487063      0.321251E-02
   0.494807      0.318182E-02
   0.502558      0.314666E-02
   0.510314      0.311519E-02
   0.518076      0.308369E-02
   0.525844      0.305184E-02
   0.533617      0.302016E-02
   0.541395      0.299308E-02
   0.549178      0.296008E-02
   0.556966      0.293172E-02
   0.564757      0.290252E-02
   0.572553      0.287208E-02
   0.580353      0.284487E-02
   0.588157      0.281590E-02
   0.595965      0.278766E-02
   0.603775      0.275896E-02
   0.611589      0.273385E-02
   0.619406      0.270336E-02
   0.627225      0.267796E-02
   0.635047      0.265065E-02
   0.642872      0.262456E-02
   0.650699      0.259511E-02
   0.658527      0.257096E-02
   0.666358      0.254306E-02
   0.674190      0.251596E-02
   0.682024      0.249097E-02
   0.689859      0.246216E-02
   0.697696      0.243749E-02
   0.705533      0.241192E-02
   0.713371      0.238496E-02
   0.721210      0.235604E-02
   0.729050      0.232999E-02
   0.736889      0.230443E-02
   0.744729      0.227669E-02
   0.752569      0.224886E-02
   0.760408      0.222159E-02
   0.768247      0.219393E-02
   0.776086      0.216707E-02
   0.783924      0.213675E-02
   0.791761      0.210674E-02
   0.799596      0.207934E-02
   0.807431      0.204720E-02
   0.815263      0.201983E-02
   0.823094      0.198599E-02
   0.830921      0.195531E-02
   0.838746      0.192426E-02
   0.846567      0.188702E-02
   0.854383      0.185523E-02
   0.862193      0.181776E-02
   0.869995      0.178002E-02
   0.877787      0.174185E-02
   0.885564      0.170316E-02
   0.893322      0.166280E-02
   0.901053      0.161776E-02
   0.908749      0.157371E-02
   0.916396      0.152740E-02
   0.923976      0.147565E-02
   0.931465      0.142991E-02
   0.938833      0.137166E-02
   0.946040      0.131812E-02
   0.953041      0.126213E-02
   0.959787      0.120435E-02
   0.966225      0.114421E-02
   0.972311      0.108692E-02
   0.978008      0.102901E-02
   0.983296      0.974389E-03
   0.988171      0.920196E-03
   0.992643      0.869728E-03
   0.996736      0.821330E-03
    1.00000      0.790526E-03
    1.00010       0.00000    
    1.00340       0.00000    
    1.00699       0.00000    
    1.01090       0.00000    
    1.01516       0.00000    
    1.01980       0.00000    
    1.02485       0.00000    
    1.03036       0.00000    
    1.03635       0.00000    
    1.04288       0.00000    
    1.05000       0.00000    
    1.05775       0.00000    
    1.06619       0.00000    
    1.07539       0.00000    
    1.08540       0.00000    
    1.09631       0.00000    
    1.10819       0.00000    
    1.12114       0.00000    
    1.13523       0.00000    
    1.15059       0.00000    
    1.16732       0.00000    
    1.18553       0.00000    
    1.20538       0.00000    
    1.22699       0.00000    
    1.25053       0.00000    
    1.27617       0.00000    
    1.30410       0.00000    
    1.33451       0.00000    
    1.36764       0.00000    
    1.40373       0.00000    
    1.44303       0.00000    
    1.48583       0.00000    
    1.53245       0.00000    
    1.58323       0.00000    
    1.63853       0.00000    
    1.69876       0.00000    
    1.76437       0.00000    
    1.83582       0.00000    
    1.91363       0.00000    
    1.99839       0.00000    

   0.110088E-01  0.114991E-03
   0.119474E-01  0.270608E-03
   0.129337E-01  0.494129E-03
   0.139702E-01  0.526734E-03
   0.150593E-01  0.753407E-03
   0.162041E-01  0.731251E-03
   0.174077E-01  0.954057E-03
   0.186740E-01  0.935362E-03
   0.200068E-01  0.102223E-02
   0.214107E-01  0.114013E-02
   0.228909E-01  0.110548E-02
   0.244527E-01  0.124878E-02
