#  NACA 0012                                       
#  alpha =  -4.0000
#  Mach  =   0.0000
#  Reyn  =100000000
#  Ncrit =   9.0000
#
#    x           cf
   0.444290E-02  0.609284E-04
   0.501860E-02  0.151199E-03
   0.563103E-02  0.195896E-03
   0.628063E-02  0.323060E-03
   0.696806E-02  0.274198E-03
   0.769421E-02  0.440894E-03
   0.846001E-02  0.365393E-03
   0.926678E-02  0.475443E-03
   0.101159E-01  0.499219E-03
   0.110088E-01  0.492729E-03
   0.119473E-01  0.531935E-03
   0.129337E-01  0.513438E-03
   0.139701E-01  0.622477E-03
   0.150593E-01  0.487054E-03
   0.162040E-01  0.633901E-03
   0.174077E-01  0.569170E-03
   0.186740E-01  0.549026E-03
   0.200068E-01  0.596848E-03
   0.214108E-01  0.578802E-03
   0.228909E-01  0.586133E-03
   0.244527E-01  0.554431E-03
   0.261023E-01  0.570883E-03
   0.278464E-01  0.552511E-03
   0.296925E-01  0.556241E-03
   0.316487E-01  0.560515E-03
   0.337238E-01  0.517686E-03
   0.359276E-01  0.546463E-03
   0.382704E-01  0.500395E-03
   0.407632E-01  0.502489E-03
   0.434178E-01  0.514167E-03
   0.462462E-01  0.471443E-03
   0.492607E-01  0.476630E-03
   0.524734E-01  0.473626E-03
   0.558956E-01  0.432531E-03
   0.595379E-01  0.446468E-03
   0.634087E-01  0.427373E-03
   0.675143E-01  0.413925E-03
   0.718581E-01  0.403240E-03
   0.764403E-01  0.392499E-03
   0.812572E-01  0.370943E-03
   0.863022E-01  0.374958E-03
   0.915653E-01  0.358490E-03
   0.970339E-01  0.341532E-03
   0.102694      0.333301E-03
   0.108530      0.328380E-03
   0.114526      0.314731E-03
   0.120668      0.307126E-03
   0.126940      0.296622E-03
   0.133330      0.286854E-03
   0.139824      0.283657E-03
   0.146413      0.271036E-03
   0.153086      0.263384E-03
   0.159835      0.260551E-03
   0.166653      0.248914E-03
   0.173533      0.243915E-03
   0.180470      0.235610E-03
   0.187459      0.229737E-03
   0.194495      0.227475E-03
   0.201575      0.219091E-03
   0.208695      0.213082E-03
   0.215854      0.209612E-03
   0.223047      0.203661E-03
   0.230273      0.198067E-03
   0.237529      0.193551E-03
   0.244815      0.186530E-03
   0.252127      0.186644E-03
   0.259465      0.180141E-03
   0.266828      0.178235E-03
   0.274213      0.171760E-03
   0.281619      0.906636E-03
   0.289047      0.266746E-02
   0.296494      0.320118E-02
   0.303959      0.307910E-02
   0.311443      0.293720E-02
   0.318943      0.284642E-02
   0.326460      0.278122E-02
   0.333992      0.273062E-02
   0.341538      0.268955E-02
   0.349099      0.265088E-02
   0.356674      0.261529E-02
   0.364261      0.259100E-02
   0.371861      0.255610E-02
   0.379473      0.252895E-02
   0.387097      0.250646E-02
   0.394731      0.248005E-02
   0.402376      0.246207E-02
   0.410032      0.243552E-02
   0.417697      0.241594E-02
   0.425371      0.239845E-02
   0.433054      0.237789E-02
   0.440746      0.236158E-02
   0.448447      0.234307E-02
   0.456155      0.232572E-02
   0.463871      0.230951E-02
   0.471595      0.229520E-02
   0.479326      0.227629E-02
   0.487063      0.226504E-02
   0.494807      0.225042E-02
   0.502558      0.223375E-02
   0.510314      0.222104E-02
   0.518076      0.220961E-02
   0.525844      0.219413E-02
   0.533617      0.217935E-02
   0.541395      0.217080E-02
   0.549178      0.215734E-02
   0.556966      0.214366E-02
   0.564757      0.213303E-02
   0.572553      0.211851E-02
   0.580353      0.211025E-02
   0.588157      0.209775E-02
   0.595965      0.208391E-02
   0.603775      0.207641E-02
   0.611589      0.206348E-02
   0.619406      0.204886E-02
   0.627225      0.204500E-02
   0.635047      0.203015E-02
   0.642872      0.202198E-02
   0.650699      0.201063E-02
   0.658527      0.199589E-02
   0.666358      0.199036E-02
   0.674190      0.197836E-02
   0.682024      0.196890E-02
   0.689859      0.195747E-02
   0.697696      0.194696E-02
   0.705533      0.193782E-02
   0.713371      0.192578E-02
   0.721210      0.191955E-02
   0.729050      0.190408E-02
   0.736889      0.189841E-02
   0.744729      0.188366E-02
   0.752569      0.187509E-02
   0.760408      0.186500E-02
   0.768247      0.185629E-02
   0.776086      0.184113E-02
   0.783924      0.183137E-02
   0.791761      0.182123E-02
   0.799596      0.181014E-02
   0.807431      0.179838E-02
   0.815263      0.178432E-02
   0.823094      0.177322E-02
   0.830921      0.176426E-02
   0.838746      0.174876E-02
   0.846567      0.173406E-02
   0.854383      0.172097E-02
   0.862193      0.170930E-02
   0.869995      0.169278E-02
   0.877787      0.167659E-02
   0.885564      0.166276E-02
   0.893322      0.164179E-02
   0.901053      0.162702E-02
   0.908749      0.160708E-02
   0.916396      0.158902E-02
   0.923976      0.156426E-02
   0.931465      0.154239E-02
   0.938833      0.151953E-02
   0.946040      0.148775E-02
   0.953041      0.146421E-02
   0.959787      0.143086E-02
   0.966225      0.139865E-02
   0.972311      0.136118E-02
   0.978008      0.132372E-02
   0.983296      0.127830E-02
   0.988171      0.123174E-02
   0.992643      0.118754E-02
   0.996736      0.112717E-02
    1.00000      0.112142E-02
