#  NACA 0012                                       
#  alpha =   2.5000
#  Mach  =   0.0000
#  Reyn  =100000000
#  Ncrit =   9.0000
#
#    x           cf
   0.141413E-02  0.666502E-04
   0.112267E-02  0.154883E-03
   0.866032E-03  0.327515E-03
   0.643962E-03  0.406387E-03
   0.456005E-03  0.632453E-03
   0.301674E-03  0.666103E-03
   0.180160E-03  0.883836E-03
   0.906754E-04  0.879207E-03
   0.322114E-04  0.135046E-02
   0.354899E-05  0.938332E-03
   0.354646E-05  0.150159E-02
   0.322038E-04  0.149824E-02
   0.906627E-04  0.135421E-02
   0.180142E-03  0.190174E-02
   0.301651E-03  0.155732E-02
   0.456005E-03  0.189980E-02
   0.643928E-03  0.195487E-02
   0.866032E-03  0.165319E-02
   0.112263E-02  0.199843E-02
   0.141408E-02  0.188455E-02
   0.174067E-02  0.186046E-02
   0.210237E-02  0.191655E-02
   0.249943E-02  0.193103E-02
   0.293181E-02  0.173248E-02
   0.339974E-02  0.185112E-02
   0.390342E-02  0.165787E-02
   0.444290E-02  0.161867E-02
   0.501860E-02  0.160449E-02
   0.563103E-02  0.165538E-02
   0.628063E-02  0.148710E-02
   0.696806E-02  0.131005E-02
   0.769421E-02  0.148094E-02
   0.846001E-02  0.125919E-02
   0.926678E-02  0.126037E-02
   0.101159E-01  0.120037E-02
   0.110088E-01  0.115009E-02
   0.119473E-01  0.107452E-02
   0.129337E-01  0.104084E-02
   0.139701E-01  0.995696E-03
   0.150593E-01  0.990968E-03
   0.162040E-01  0.863646E-03
   0.174077E-01  0.891466E-03
   0.186740E-01  0.805483E-03
   0.200068E-01  0.763114E-03
   0.214108E-01  0.773799E-03
   0.228909E-01  0.715352E-03
   0.244527E-01  0.646129E-03
   0.261023E-01  0.657826E-03
   0.278464E-01  0.623557E-03
   0.296925E-01  0.580153E-03
   0.316487E-01  0.569874E-03
   0.337238E-01  0.519039E-03
   0.359276E-01  0.513239E-03
   0.382704E-01  0.475563E-03
   0.407632E-01  0.456343E-03
   0.434178E-01  0.449644E-03
   0.462462E-01  0.413992E-03
