  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0012                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000  9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr  Top_Itr  Bot_Itr
  ------ -------- --------- --------- -------- -------- -------- -------- --------
  -8.000  -0.9097   0.01215   0.00370   0.0040   1.0000   0.0389   1.0000 226.2436
  -7.500  -0.8681   0.01155   0.00336   0.0066   1.0000   0.0442   1.0000 228.2906
  -7.000  -0.8263   0.01100   0.00306   0.0093   1.0000   0.0513   1.0000 230.6406
  -6.500  -0.7629   0.01041   0.00272   0.0073   0.9977   0.0633   1.7053 233.9648
  -6.000  -0.6940   0.00978   0.00239   0.0041   0.9943   0.0820   2.6003 238.1507
  -5.500  -0.6251   0.00914   0.00208   0.0010   0.9903   0.1102   3.5186 243.2787
  -5.000  -0.5558   0.00850   0.00179  -0.0022   0.9860   0.1499   4.4479 249.5262
  -4.500  -0.4884   0.00787   0.00153  -0.0049   0.9799   0.2001   5.6422 256.7894
  -4.000  -0.4275   0.00730   0.00131  -0.0061   0.9687   0.2544   7.6003 264.3162
  -3.500  -0.3723   0.00682   0.00114  -0.0058   0.9519   0.3100  10.1581 271.8131
  -3.000  -0.3198   0.00641   0.00099  -0.0049   0.9293   0.3652  13.2911 279.1226
  -2.500  -0.2674   0.00608   0.00087  -0.0038   0.9015   0.4204  16.9364 286.3575
  -2.000  -0.2144   0.00582   0.00076  -0.0030   0.8682   0.4753  21.2304 293.4834
  -1.500  -0.1610   0.00563   0.00068  -0.0022   0.8292   0.5298  26.2215 300.5127
  -1.000  -0.1074   0.00551   0.00062  -0.0014   0.7854   0.5833  31.8088 307.3780
  -0.500  -0.0537   0.00544   0.00059  -0.0007   0.7380   0.6361  37.8536 314.1322
   0.000  -0.0000   0.00541   0.00058   0.0000   0.6881   0.6880  44.2282 320.7618
   0.500   0.0537   0.00543   0.00059   0.0007   0.6364   0.7380  50.8222 327.1430
   1.000   0.1074   0.00551   0.00062   0.0014   0.5834   0.7854  57.6140 333.1880
   1.500   0.1610   0.00563   0.00068   0.0022   0.5298   0.8293  64.4921 338.7941
   2.000   0.2144   0.00582   0.00076   0.0030   0.4755   0.8680  71.4983 343.7457
   2.500   0.2673   0.00608   0.00086   0.0039   0.4205   0.9016  78.6395 348.0659
   3.000   0.3198   0.00641   0.00099   0.0049   0.3653   0.9293  85.8693 351.7099
   3.500   0.3723   0.00682   0.00113   0.0058   0.3100   0.9519  93.1915 354.8440
   4.000   0.4275   0.00730   0.00131   0.0061   0.2543   0.9687 100.7051 357.4008
   4.500   0.4884   0.00787   0.00153   0.0049   0.2000   0.9799 108.2294 359.3560
   5.000   0.5559   0.00850   0.00179   0.0022   0.1500   0.9859 115.4676 360.5424
   5.500   0.6250   0.00914   0.00208  -0.0010   0.1102   0.9903 121.7189 361.4771
   6.000   0.6939   0.00978   0.00239  -0.0041   0.0820   0.9943 126.8458 362.3950
   6.500   0.7629   0.01041   0.00272  -0.0073   0.0633   0.9977 131.0316 363.2903
   7.000   0.8265   0.01101   0.00306  -0.0093   0.0513   1.0000 134.3709 364.0000
   7.500   0.8683   0.01156   0.00336  -0.0067   0.0442   1.0000 136.7176 364.0000
   8.000   0.9099   0.01215   0.00371  -0.0040   0.0389   1.0000 138.7490 364.0000
