  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0012                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =    10.000 e 6     Ncrit =   9.000  9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr  Top_Itr  Bot_Itr
  ------ -------- --------- --------- -------- -------- -------- -------- --------
  -8.000  -0.8972   0.00743   0.00223  -0.0001   0.9472   0.0210  10.8303 216.7043
  -7.500  -0.8430   0.00715   0.00203   0.0003   0.9248   0.0238  13.8930 218.5728
  -7.000  -0.7882   0.00691   0.00183   0.0005   0.8972   0.0270  17.4988 220.5258
  -6.500  -0.7329   0.00669   0.00165   0.0007   0.8655   0.0314  21.5764 222.8978
  -6.000  -0.6774   0.00649   0.00149   0.0008   0.8290   0.0367  26.2494 225.3499
  -5.500  -0.6216   0.00631   0.00133   0.0009   0.7892   0.0441  31.3212 228.2524
  -5.000  -0.5656   0.00615   0.00118   0.0009   0.7483   0.0531  36.5447 231.1874
  -4.500  -0.5094   0.00599   0.00105   0.0009   0.7064   0.0657  41.8950 234.5622
  -4.000  -0.4532   0.00584   0.00093   0.0008   0.6649   0.0821  47.1864 238.1665
  -3.500  -0.3968   0.00569   0.00081   0.0008   0.6233   0.1024  52.5040 241.9490
  -3.000  -0.3403   0.00556   0.00071   0.0007   0.5816   0.1275  57.8371 246.0945
  -2.500  -0.2839   0.00543   0.00063   0.0006   0.5408   0.1578  63.0755 250.7017
  -2.000  -0.2272   0.00532   0.00056   0.0005   0.5020   0.1904  68.0701 255.4238
  -1.500  -0.1705   0.00523   0.00050   0.0004   0.4626   0.2278  73.1673 260.6542
  -1.000  -0.1137   0.00517   0.00046   0.0003   0.4217   0.2656  78.4791 265.8308
  -0.500  -0.0569   0.00513   0.00044   0.0001   0.3829   0.3038  83.5564 270.9845
   0.000   0.0000   0.00511   0.00043  -0.0000   0.3437   0.3424  88.7095 276.1089
   0.500   0.0568   0.00512   0.00044  -0.0001   0.3042   0.3832  93.9718 281.4902
   1.000   0.1137   0.00517   0.00046  -0.0003   0.2649   0.4223  99.2579 286.6026
   1.500   0.1705   0.00523   0.00050  -0.0004   0.2280   0.4618 104.3199 291.7348
   2.000   0.2272   0.00532   0.00056  -0.0005   0.1906   0.5013 109.5605 296.8416
   2.500   0.2838   0.00544   0.00063  -0.0006   0.1568   0.5416 114.4568 302.0284
   3.000   0.3403   0.00556   0.00071  -0.0007   0.1269   0.5822 119.0006 307.2414
   3.500   0.3967   0.00570   0.00081  -0.0008   0.1023   0.6229 123.0648 312.4424
   4.000   0.4531   0.00584   0.00092  -0.0008   0.0814   0.6647 126.9674 317.7936
   4.500   0.5093   0.00599   0.00105  -0.0008   0.0655   0.7065 130.4958 323.1293
   5.000   0.5654   0.00615   0.00119  -0.0008   0.0530   0.7486 133.8385 328.4893
   5.500   0.6214   0.00631   0.00133  -0.0008   0.0439   0.7892 136.8204 333.6721
   6.000   0.6773   0.00648   0.00148  -0.0008   0.0370   0.8294 139.5468 338.8019
   6.500   0.7328   0.00669   0.00165  -0.0007   0.0314   0.8651 142.1209 343.3699
   7.000   0.7880   0.00690   0.00183  -0.0005   0.0271   0.8978 144.4031 347.5797
   7.500   0.8428   0.00715   0.00202  -0.0003   0.0238   0.9247 146.4248 351.0934
   8.000   0.8969   0.00743   0.00223   0.0001   0.0210   0.9471 148.2720 354.1529
