  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0012                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =   100.000 e 6     Ncrit =   9.000  9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr  Top_Itr  Bot_Itr
  ------ -------- --------- --------- -------- -------- -------- -------- --------
  -8.000  -0.9230   0.00620   0.00165   0.0042   0.4456   0.0114  75.3684 208.3773
  -7.500  -0.8664   0.00602   0.00152   0.0041   0.4256   0.0127  77.9672 209.7991
  -7.000  -0.8095   0.00587   0.00140   0.0039   0.4035   0.0139  80.8592 210.9368
  -6.500  -0.7525   0.00572   0.00129   0.0037   0.3818   0.0156  83.6885 212.4729
  -6.000  -0.6953   0.00558   0.00118   0.0035   0.3626   0.0180  86.2206 214.5048
  -5.500  -0.6378   0.00546   0.00109   0.0033   0.3411   0.0200  89.0634 215.9926
  -5.000  -0.5803   0.00535   0.00100   0.0031   0.3194   0.0231  91.9422 218.1332
  -4.500  -0.5226   0.00525   0.00092   0.0028   0.2985   0.0274  94.7309 220.7401
  -4.000  -0.4648   0.00516   0.00085   0.0025   0.2793   0.0316  97.3187 222.9706
  -3.500  -0.4069   0.00507   0.00079   0.0022   0.2581   0.0377 100.1835 225.7681
  -3.000  -0.3489   0.00501   0.00073   0.0019   0.2363   0.0449 103.1667 228.5114
  -2.500  -0.2909   0.00495   0.00069   0.0016   0.2161   0.0529 105.9680 231.1107
  -2.000  -0.2328   0.00490   0.00065   0.0013   0.1966   0.0634 108.7087 233.9942
  -1.500  -0.1745   0.00487   0.00062   0.0010   0.1772   0.0719 111.4767 235.9988
  -1.000  -0.1164   0.00484   0.00060   0.0006   0.1588   0.0861 114.1563 238.9682
  -0.500  -0.0582   0.00482   0.00059   0.0003   0.1374   0.1027 117.3721 241.9942
   0.000   0.0000   0.00481   0.00058  -0.0000   0.1211   0.1191 119.9325 244.7381
   0.500   0.0582   0.00481   0.00058  -0.0003   0.1053   0.1386 122.5614 247.8149
   1.000   0.1164   0.00483   0.00060  -0.0007   0.0898   0.1572 125.3412 250.6150
   1.500   0.1745   0.00488   0.00062  -0.0010   0.0717   0.1735 129.0379 252.9918
   2.000   0.2327   0.00490   0.00065  -0.0013   0.0632   0.1973 131.0587 256.3962
   2.500   0.2908   0.00494   0.00068  -0.0016   0.0543   0.2168 133.4728 259.1288
   3.000   0.3489   0.00501   0.00073  -0.0019   0.0445   0.2362 136.6231 261.8119
   3.500   0.4068   0.00507   0.00078  -0.0022   0.0378   0.2589 139.1952 264.9276
   4.000   0.4648   0.00517   0.00085  -0.0025   0.0315   0.2741 142.0937 266.9860
   4.500   0.5225   0.00525   0.00092  -0.0028   0.0270   0.2997 144.4741 270.4305
   5.000   0.5802   0.00535   0.00100  -0.0030   0.0233   0.3175 146.7343 272.8136
   5.500   0.6377   0.00546   0.00109  -0.0033   0.0201   0.3399 148.9569 275.7812
   6.000   0.6951   0.00558   0.00118  -0.0035   0.0178   0.3618 150.7197 278.6741
   6.500   0.7523   0.00572   0.00128  -0.0037   0.0156   0.3842 152.4946 281.6156
   7.000   0.8094   0.00587   0.00140  -0.0039   0.0139   0.4026 154.0606 284.0326
   7.500   0.8662   0.00603   0.00152  -0.0041   0.0125   0.4248 155.4492 286.9290
   8.000   0.9228   0.00620   0.00165  -0.0042   0.0114   0.4465 156.5947 289.7537
