#  NACA 0012                                       
#  alpha =  -2.0000
#  Mach  =   0.0000
#  Reyn  =  1000000
#  Ncrit =  10.0000
#
#    x           cf
   0.103465E-02  0.510150E-03
   0.146070E-02  0.219071E-02
   0.196214E-02  0.364153E-02
   0.253888E-02  0.466145E-02
   0.319047E-02  0.612310E-02
   0.391678E-02  0.624019E-02
   0.471748E-02  0.753503E-02
   0.559290E-02  0.742244E-02
   0.654359E-02  0.809283E-02
   0.757065E-02  0.811507E-02
   0.867563E-02  0.844225E-02
   0.986070E-02  0.793006E-02
   0.111286E-01  0.839464E-02
   0.124827E-01  0.809847E-02
   0.139271E-01  0.799874E-02
   0.154665E-01  0.772098E-02
   0.171063E-01  0.775915E-02
   0.188525E-01  0.747352E-02
   0.207121E-01  0.714058E-02
   0.226926E-01  0.703717E-02
   0.248022E-01  0.676375E-02
   0.270499E-01  0.665776E-02
   0.294451E-01  0.630373E-02
   0.319978E-01  0.611588E-02
   0.347181E-01  0.594592E-02
   0.376160E-01  0.566349E-02
   0.407013E-01  0.546378E-02
   0.439829E-01  0.530964E-02
   0.474683E-01  0.506490E-02
   0.511634E-01  0.491597E-02
   0.550716E-01  0.468627E-02
   0.591936E-01  0.452490E-02
   0.635270E-01  0.433004E-02
   0.680666E-01  0.418515E-02
   0.728042E-01  0.402245E-02
   0.777290E-01  0.386069E-02
   0.828284E-01  0.373469E-02
   0.880886E-01  0.359508E-02
   0.934950E-01  0.345402E-02
   0.990332E-01  0.335562E-02
   0.104689      0.321787E-02
   0.110450      0.309160E-02
   0.116303      0.305188E-02
   0.122239      0.289539E-02
   0.128247      0.282481E-02
   0.134318      0.273058E-02
   0.140447      0.265888E-02
   0.146625      0.256869E-02
   0.152849      0.249635E-02
   0.159113      0.243495E-02
   0.165412      0.235358E-02
   0.171745      0.228105E-02
   0.178107      0.223835E-02
   0.184496      0.216333E-02
   0.190909      0.210954E-02
   0.197346      0.206040E-02
   0.203803      0.199809E-02
   0.210279      0.195425E-02
   0.216774      0.190819E-02
   0.223285      0.185023E-02
   0.229812      0.180599E-02
   0.236353      0.176842E-02
   0.242908      0.171469E-02
   0.249477      0.168641E-02
   0.256057      0.163740E-02
   0.262648      0.160146E-02
   0.269251      0.156411E-02
   0.275863      0.152863E-02
   0.282486      0.149274E-02
   0.289117      0.145982E-02
   0.295757      0.142370E-02
   0.302406      0.139153E-02
   0.309063      0.136044E-02
   0.315727      0.133328E-02
   0.322398      0.130132E-02
   0.329076      0.127107E-02
   0.335761      0.124543E-02
   0.342452      0.121806E-02
   0.349149      0.118796E-02
   0.355852      0.116626E-02
   0.362560      0.113465E-02
   0.369273      0.111389E-02
   0.375992      0.108943E-02
   0.382715      0.106546E-02
   0.389443      0.104132E-02
   0.396176      0.102016E-02
   0.402913      0.997170E-03
   0.409653      0.975304E-03
   0.416398      0.952735E-03
   0.423147      0.935215E-03
   0.429899      0.914740E-03
   0.436655      0.893378E-03
   0.443414      0.873211E-03
