#  NACA 0012                                       
#  alpha =   1.5000
#  Mach  =   0.0000
#  Reyn  =  1000000
#  Ncrit =  10.0000
#
#    x           cf
   0.407652E-03  0.698017E-03
   0.204500E-03  0.305372E-02
   0.722497E-04  0.405543E-02
   0.790220E-05  0.693050E-02
   0.789843E-05  0.795551E-02
   0.722383E-04  0.102378E-01
   0.204481E-03  0.115590E-01
   0.407626E-03  0.129447E-01
   0.683894E-03  0.139076E-01
   0.103465E-02  0.147178E-01
   0.146070E-02  0.156463E-01
   0.196214E-02  0.156037E-01
   0.253888E-02  0.154097E-01
   0.319047E-02  0.156465E-01
   0.391678E-02  0.152498E-01
   0.471748E-02  0.146738E-01
   0.559290E-02  0.140945E-01
   0.654359E-02  0.136614E-01
   0.757065E-02  0.130388E-01
   0.867563E-02  0.121794E-01
   0.986070E-02  0.116082E-01
   0.111286E-01  0.112192E-01
   0.124827E-01  0.106169E-01
   0.139271E-01  0.998267E-02
   0.154665E-01  0.942374E-02
   0.171063E-01  0.886555E-02
   0.188525E-01  0.839151E-02
   0.207121E-01  0.798291E-02
   0.226926E-01  0.755380E-02
   0.248022E-01  0.710118E-02
   0.270499E-01  0.672605E-02
   0.294451E-01  0.642046E-02
   0.319978E-01  0.599033E-02
   0.347181E-01  0.564978E-02
   0.376160E-01  0.545545E-02
   0.407013E-01  0.504250E-02
   0.439829E-01  0.486719E-02
   0.474683E-01  0.461299E-02
   0.511634E-01  0.434347E-02
   0.550716E-01  0.413676E-02
   0.591936E-01  0.392150E-02
   0.635270E-01  0.373054E-02
   0.680666E-01  0.357381E-02
   0.728042E-01  0.334470E-02
   0.777290E-01  0.322597E-02
   0.828284E-01  0.307769E-02
   0.880886E-01  0.293545E-02
   0.934950E-01  0.278693E-02
   0.990332E-01  0.269389E-02
   0.104689      0.255509E-02
   0.110450      0.245942E-02
   0.116303      0.235721E-02
   0.122239      0.227264E-02
   0.128247      0.217205E-02
   0.134318      0.209681E-02
   0.140447      0.201664E-02
   0.146625      0.193854E-02
   0.152849      0.186408E-02
   0.159113      0.180127E-02
   0.165412      0.173911E-02
   0.171745      0.167686E-02
   0.178107      0.161889E-02
   0.184496      0.155942E-02
   0.190909      0.150058E-02
   0.197346      0.146316E-02
   0.203803      0.139773E-02
   0.210279      0.135702E-02
   0.216774      0.130850E-02
   0.223285      0.126635E-02
   0.229812      0.122224E-02
   0.236353      0.117731E-02
   0.242908      0.114228E-02
   0.249477      0.110457E-02
   0.256057      0.106447E-02
   0.262648      0.102380E-02
   0.269251      0.991106E-03
   0.275863      0.957419E-03
   0.282486      0.922136E-03
   0.289117      0.890759E-03
   0.295757      0.855548E-03
   0.302406      0.830230E-03
   0.309063      0.792715E-03
   0.315727      0.770207E-03
   0.322398      0.738568E-03
   0.329076      0.711300E-03
   0.335761      0.685025E-03
   0.342452      0.655451E-03
   0.349149      0.631651E-03
   0.355852      0.603777E-03
   0.362560      0.579128E-03
   0.369273      0.554384E-03
   0.375992      0.531450E-03
   0.382715      0.509469E-03
   0.389443      0.487449E-03
   0.396176      0.465618E-03
   0.402913      0.444652E-03
   0.409653      0.423287E-03
   0.416398      0.404209E-03
   0.423147      0.386928E-03
   0.429899      0.366407E-03
   0.436655      0.350922E-03
   0.443414      0.333054E-03
   0.450176      0.318404E-03
   0.456941      0.304588E-03
   0.463710      0.289802E-03
   0.470481      0.278591E-03
   0.477255      0.266087E-03
   0.484032      0.257650E-03
   0.490811      0.248942E-03
   0.497592      0.243095E-03
   0.504376      0.237336E-03
   0.511162      0.236254E-03
   0.517950      0.238172E-03
   0.524741      0.242384E-03
   0.531533      0.251401E-03
   0.538327      0.266641E-03
   0.545122      0.291031E-03
   0.551920      0.329219E-03
   0.558719      0.407465E-03
   0.565519      0.603824E-03
   0.572321      0.917201E-03
   0.579125      0.137400E-02
   0.585929      0.190497E-02
   0.592735      0.244819E-02
   0.599542      0.295081E-02
   0.606350      0.338763E-02
   0.613159      0.373552E-02
   0.619969      0.401229E-02
   0.626780      0.422960E-02
   0.633591      0.438019E-02
   0.640404      0.449826E-02
   0.647217      0.457644E-02
   0.654030      0.462839E-02
   0.660845      0.465530E-02
   0.667659      0.466574E-02
   0.674474      0.467050E-02
   0.681289      0.465166E-02
   0.688105      0.463345E-02
   0.694921      0.460492E-02
   0.701737      0.457146E-02
   0.708553      0.453535E-02
   0.715369      0.449905E-02
   0.722185      0.445390E-02
