#  NACA 0012                                       
#  alpha =  -0.5000
#  Mach  =   0.0000
#  Reyn  = 10000000
#  Ncrit =  10.0000
#
#    x           cf
   0.722383E-04  0.112263E-03
   0.204481E-03  0.554889E-03
   0.407626E-03  0.145200E-02
   0.683894E-03  0.140669E-02
   0.103465E-02  0.251412E-02
   0.146070E-02  0.231900E-02
   0.196214E-02  0.304112E-02
   0.253888E-02  0.304141E-02
   0.319047E-02  0.324285E-02
   0.391678E-02  0.331639E-02
   0.471748E-02  0.358953E-02
   0.559290E-02  0.325852E-02
   0.654359E-02  0.351153E-02
   0.757065E-02  0.323825E-02
   0.867563E-02  0.333881E-02
   0.986070E-02  0.321183E-02
   0.111286E-01  0.305031E-02
   0.124827E-01  0.300281E-02
   0.139271E-01  0.291111E-02
   0.154665E-01  0.279987E-02
   0.171063E-01  0.262867E-02
   0.188525E-01  0.258799E-02
   0.207121E-01  0.247765E-02
   0.226926E-01  0.233241E-02
   0.248022E-01  0.230625E-02
   0.270499E-01  0.216513E-02
   0.294451E-01  0.208164E-02
   0.319978E-01  0.196307E-02
   0.347181E-01  0.191398E-02
   0.376160E-01  0.180876E-02
   0.407013E-01  0.173071E-02
   0.439829E-01  0.168880E-02
   0.474683E-01  0.155252E-02
   0.511634E-01  0.154293E-02
   0.550716E-01  0.145224E-02
   0.591936E-01  0.139231E-02
   0.635270E-01  0.132162E-02
   0.680666E-01  0.127263E-02
   0.728042E-01  0.122479E-02
   0.777290E-01  0.116080E-02
   0.828284E-01  0.113468E-02
   0.880886E-01  0.106789E-02
   0.934950E-01  0.103526E-02
   0.990332E-01  0.996220E-03
   0.104689      0.952272E-03
   0.110450      0.923219E-03
   0.116303      0.892904E-03
   0.122239      0.850261E-03
   0.128247      0.826770E-03
   0.134318      0.807589E-03
   0.140447      0.774766E-03
   0.146625      0.741250E-03
   0.152849      0.723320E-03
   0.159113      0.702710E-03
   0.165412      0.680459E-03
   0.171745      0.658255E-03
   0.178107      0.642537E-03
   0.184496      0.618704E-03
   0.190909      0.598905E-03
   0.197346      0.588877E-03
   0.203803      0.569008E-03
   0.210279      0.547222E-03
   0.216774      0.540997E-03
   0.223285      0.519962E-03
   0.229812      0.510070E-03
   0.236353      0.491179E-03
   0.242908      0.479006E-03
   0.249477      0.466895E-03
   0.256057      0.458111E-03
   0.262648      0.438589E-03
   0.269251      0.430764E-03
   0.275863      0.419891E-03
   0.282486      0.409919E-03
   0.289117      0.396495E-03
   0.295757      0.385754E-03
   0.302406      0.378377E-03
   0.309063      0.363202E-03
   0.315727      0.361265E-03
   0.322398      0.347222E-03
   0.329076      0.341034E-03
   0.335761      0.331000E-03
   0.342452      0.323983E-03
   0.349149      0.313255E-03
   0.355852      0.307743E-03
   0.362560      0.299488E-03
   0.369273      0.294630E-03
   0.375992      0.288051E-03
   0.382715      0.283506E-03
   0.389443      0.284335E-03
   0.396176      0.283175E-03
   0.402913      0.298402E-03
   0.409653      0.658657E-03
   0.416398      0.170088E-02
   0.423147      0.296470E-02
   0.429899      0.375697E-02
