#  NACA 0012                                       
#  alpha =   0.5000
#  Mach  =   0.0000
#  Reyn  = 10000000
#  Ncrit =  10.0000
#
#    x           cf
   0.790220E-05  0.485210E-03
   0.789843E-05  0.112730E-02
   0.722383E-04  0.160334E-02
   0.204481E-03  0.229402E-02
   0.407626E-03  0.263585E-02
   0.683894E-03  0.317667E-02
   0.103465E-02  0.356535E-02
   0.146070E-02  0.375315E-02
   0.196214E-02  0.388891E-02
   0.253888E-02  0.418815E-02
   0.319047E-02  0.403254E-02
   0.391678E-02  0.415382E-02
   0.471748E-02  0.422362E-02
   0.559290E-02  0.385122E-02
   0.654359E-02  0.392242E-02
   0.757065E-02  0.388564E-02
   0.867563E-02  0.359347E-02
   0.986070E-02  0.342654E-02
   0.111286E-01  0.345675E-02
   0.124827E-01  0.316504E-02
   0.139271E-01  0.305036E-02
   0.154665E-01  0.291174E-02
   0.171063E-01  0.279186E-02
   0.188525E-01  0.261261E-02
   0.207121E-01  0.255698E-02
   0.226926E-01  0.237081E-02
   0.248022E-01  0.227265E-02
   0.270499E-01  0.219527E-02
   0.294451E-01  0.210632E-02
   0.319978E-01  0.191827E-02
   0.347181E-01  0.188602E-02
   0.376160E-01  0.177017E-02
   0.407013E-01  0.169355E-02
   0.439829E-01  0.162448E-02
   0.474683E-01  0.154250E-02
   0.511634E-01  0.144564E-02
   0.550716E-01  0.140474E-02
   0.591936E-01  0.132794E-02
   0.635270E-01  0.125912E-02
   0.680666E-01  0.121746E-02
   0.728042E-01  0.116214E-02
   0.777290E-01  0.109065E-02
   0.828284E-01  0.106375E-02
   0.880886E-01  0.100314E-02
   0.934950E-01  0.984075E-03
   0.990332E-01  0.922450E-03
   0.104689      0.884240E-03
   0.110450      0.861838E-03
   0.116303      0.826868E-03
   0.122239      0.795467E-03
   0.128247      0.761134E-03
   0.134318      0.743718E-03
   0.140447      0.710270E-03
   0.146625      0.685073E-03
   0.152849      0.665325E-03
   0.159113      0.636922E-03
   0.165412      0.625334E-03
   0.171745      0.598714E-03
   0.178107      0.582424E-03
   0.184496      0.559109E-03
   0.190909      0.542394E-03
   0.197346      0.532154E-03
   0.203803      0.510808E-03
   0.210279      0.494654E-03
   0.216774      0.482188E-03
   0.223285      0.462189E-03
   0.229812      0.454716E-03
   0.236353      0.437014E-03
   0.242908      0.425910E-03
   0.249477      0.412440E-03
   0.256057      0.402638E-03
   0.262648      0.388447E-03
   0.269251      0.377539E-03
   0.275863      0.367068E-03
   0.282486      0.360098E-03
   0.289117      0.349655E-03
   0.295757      0.340665E-03
   0.302406      0.334477E-03
   0.309063      0.328033E-03
   0.315727      0.337537E-03
   0.322398      0.346980E-03
   0.329076      0.841953E-03
   0.335761      0.223130E-02
   0.342452      0.359688E-02
   0.349149      0.433354E-02
   0.355852      0.459549E-02
   0.362560      0.464180E-02
   0.369273      0.459323E-02
   0.375992      0.451323E-02
   0.382715      0.441787E-02
   0.389443      0.433842E-02
   0.396176      0.424633E-02
   0.402913      0.417426E-02
   0.409653      0.410381E-02
   0.416398      0.404080E-02
   0.423147      0.398741E-02
   0.429899      0.392643E-02
   0.436655      0.388406E-02
   0.443414      0.383197E-02
   0.450176      0.379137E-02
   0.456941      0.375037E-02
   0.463710      0.370939E-02
   0.470481      0.367485E-02
   0.477255      0.363720E-02
   0.484032      0.360488E-02
   0.490811      0.356893E-02
   0.497592      0.354005E-02
   0.504376      0.350419E-02
   0.511162      0.347669E-02
   0.517950      0.344829E-02
   0.524741      0.341831E-02
   0.531533      0.339042E-02
   0.538327      0.336254E-02
   0.545122      0.333689E-02
   0.551920      0.330921E-02
   0.558719      0.328540E-02
   0.565519      0.325730E-02
   0.572321      0.323527E-02
   0.579125      0.321093E-02
   0.585929      0.318549E-02
   0.592735      0.316136E-02
   0.599542      0.313858E-02
   0.606350      0.311782E-02
   0.613159      0.309265E-02
   0.619969      0.307111E-02
   0.626780      0.305201E-02
   0.633591      0.302387E-02
   0.640404      0.300691E-02
   0.647217      0.298411E-02
   0.654030      0.296403E-02
   0.660845      0.294207E-02
   0.667659      0.292043E-02
   0.674474      0.290320E-02
   0.681289      0.287988E-02
   0.688105      0.286109E-02
   0.694921      0.283990E-02
   0.701737      0.281936E-02
   0.708553      0.279973E-02
   0.715369      0.278066E-02
   0.722185      0.275935E-02
   0.729001      0.274018E-02
   0.735816      0.271836E-02
   0.742632      0.269976E-02
   0.749447      0.268069E-02
   0.756262      0.265910E-02
   0.763076      0.263991E-02
   0.769890      0.262196E-02
   0.776704      0.259770E-02
   0.783517      0.257730E-02
   0.790329      0.255693E-02
   0.797140      0.253667E-02
   0.803951      0.251412E-02
   0.810760      0.249582E-02
   0.817569      0.246951E-02
   0.824376      0.245012E-02
   0.831182      0.242718E-02
   0.837986      0.240205E-02
   0.844789      0.237928E-02
   0.851589      0.235537E-02
   0.858386      0.233200E-02
   0.865181      0.230335E-02
   0.871971      0.227857E-02
