#  NACA 0012                                       
#  alpha =  -7.5000
#  Mach  =   0.0000
#  Reyn  =100000000
#  Ncrit =  10.0000
#
#    x           cf
   0.154665E-01  0.566502E-04
   0.171063E-01  0.107429E-03
   0.188525E-01  0.166809E-03
   0.207121E-01  0.205864E-03
   0.226926E-01  0.240163E-03
   0.248022E-01  0.264627E-03
   0.270499E-01  0.313233E-03
   0.294451E-01  0.305353E-03
   0.319978E-01  0.331970E-03
   0.347181E-01  0.338494E-03
   0.376160E-01  0.362474E-03
   0.407013E-01  0.348640E-03
   0.439829E-01  0.371174E-03
   0.474683E-01  0.358425E-03
   0.511634E-01  0.373966E-03
   0.550716E-01  0.356305E-03
   0.591936E-01  0.367073E-03
   0.635270E-01  0.356231E-03
   0.680666E-01  0.351585E-03
   0.728042E-01  0.357402E-03
   0.777290E-01  0.340576E-03
   0.828284E-01  0.337071E-03
   0.880886E-01  0.337794E-03
   0.934950E-01  0.323070E-03
   0.990332E-01  0.324665E-03
   0.104689      0.305958E-03
   0.110450      0.313016E-03
   0.116303      0.303985E-03
   0.122239      0.291694E-03
   0.128247      0.291519E-03
   0.134318      0.285397E-03
   0.140447      0.279952E-03
   0.146625      0.268831E-03
   0.152849      0.271491E-03
   0.159113      0.260772E-03
   0.165412      0.258095E-03
   0.171745      0.249690E-03
   0.178107      0.249403E-03
   0.184496      0.243139E-03
   0.190909      0.237949E-03
   0.197346      0.233944E-03
   0.203803      0.230797E-03
   0.210279      0.223335E-03
   0.216774      0.224577E-03
   0.223285      0.213690E-03
   0.229812      0.215709E-03
   0.236353      0.209931E-03
   0.242908      0.205872E-03
   0.249477      0.203434E-03
   0.256057      0.199170E-03
   0.262648      0.194075E-03
   0.269251      0.195222E-03
   0.275863      0.187719E-03
   0.282486      0.188632E-03
   0.289117      0.181670E-03
   0.295757      0.181197E-03
   0.302406      0.178856E-03
   0.309063      0.172100E-03
   0.315727      0.173844E-03
   0.322398      0.168188E-03
   0.329076      0.169370E-03
   0.335761      0.162356E-03
   0.342452      0.162736E-03
   0.349149      0.158889E-03
   0.355852      0.158030E-03
   0.362560      0.152178E-03
   0.369273      0.153251E-03
   0.375992      0.150833E-03
   0.382715      0.147583E-03
   0.389443      0.147120E-03
   0.396176      0.142659E-03
   0.402913      0.141740E-03
   0.409653      0.139618E-03
   0.416398      0.137482E-03
   0.423147      0.136582E-03
   0.429899      0.133947E-03
   0.436655      0.133715E-03
   0.443414      0.131069E-03
   0.450176      0.454059E-03
   0.456941      0.182674E-02
   0.463710      0.255454E-02
   0.470481      0.267545E-02
   0.477255      0.258540E-02
   0.484032      0.250750E-02
   0.490811      0.244723E-02
   0.497592      0.239476E-02
   0.504376      0.235797E-02
   0.511162      0.232525E-02
   0.517950      0.230055E-02
   0.524741      0.227580E-02
   0.531533      0.225576E-02
   0.538327      0.223054E-02
   0.545122      0.221647E-02
   0.551920      0.219489E-02
   0.558719      0.218133E-02
   0.565519      0.216330E-02
   0.572321      0.214972E-02
   0.579125      0.213605E-02
   0.585929      0.212225E-02
   0.592735      0.210937E-02
   0.599542      0.209470E-02
   0.606350      0.208649E-02
   0.613159      0.207312E-02
   0.619969      0.206117E-02
   0.626780      0.205412E-02
   0.633591      0.203889E-02
   0.640404      0.202930E-02
   0.647217      0.202302E-02
   0.654030      0.201158E-02
   0.660845      0.200149E-02
   0.667659      0.199161E-02
   0.674474      0.198383E-02
   0.681289      0.197638E-02
   0.688105      0.196881E-02
   0.694921      0.195719E-02
   0.701737      0.194952E-02
   0.708553      0.194128E-02
   0.715369      0.193629E-02
   0.722185      0.192455E-02
   0.729001      0.191710E-02
   0.735816      0.191151E-02
   0.742632      0.189828E-02
   0.749447      0.189452E-02
   0.756262      0.188530E-02
   0.763076      0.187846E-02
   0.769890      0.187379E-02
   0.776704      0.185894E-02
   0.783517      0.185338E-02
   0.790329      0.184910E-02
   0.797140      0.183934E-02
   0.803951      0.182676E-02
   0.810760      0.182486E-02
   0.817569      0.181142E-02
   0.824376      0.180570E-02
   0.831182      0.179701E-02
   0.837986      0.178580E-02
   0.844789      0.177836E-02
   0.851589      0.176665E-02
   0.858386      0.176236E-02
   0.865181      0.174820E-02
   0.871971      0.173833E-02
   0.878756      0.172660E-02
   0.885535      0.171935E-02
   0.892305      0.170440E-02
   0.899065      0.169572E-02
   0.905810      0.168093E-02
   0.912537      0.166212E-02
   0.919240      0.165451E-02
   0.925909      0.163463E-02
   0.932536      0.162028E-02
   0.939107      0.160207E-02
   0.945603      0.158151E-02
   0.952006      0.156113E-02
   0.958287      0.153613E-02
   0.964418      0.151513E-02
   0.970366      0.148371E-02
   0.976097      0.145036E-02
   0.981577      0.141713E-02
   0.986778      0.137651E-02
