  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0012                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =  10.000 10.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr  Top_Itr  Bot_Itr
  ------ -------- --------- --------- -------- -------- -------- -------- --------
  -8.000  -0.9090   0.01223   0.00374   0.0038   1.0000   0.0403   1.0000 213.8758
  -7.500  -0.8679   0.01158   0.00337   0.0065   1.0000   0.0459   1.0000 215.5389
  -7.000  -0.8263   0.01101   0.00305   0.0092   1.0000   0.0533   1.0000 217.5565
  -6.500  -0.7782   0.01046   0.00275   0.0105   0.9994   0.0644   1.1614 220.1990
  -6.000  -0.7077   0.00981   0.00242   0.0070   0.9964   0.0845   1.9524 224.3255
  -5.500  -0.6377   0.00916   0.00211   0.0036   0.9927   0.1156   2.7873 229.8865
  -5.000  -0.5677   0.00849   0.00182   0.0002   0.9884   0.1595   3.6772 237.0623
  -4.500  -0.4971   0.00783   0.00156  -0.0033   0.9838   0.2146   4.5763 245.6684
  -4.000  -0.4297   0.00723   0.00134  -0.0059   0.9768   0.2751   5.8732 254.8793
  -3.500  -0.3712   0.00671   0.00116  -0.0064   0.9632   0.3338   8.1966 263.7115
  -3.000  -0.3182   0.00629   0.00101  -0.0055   0.9434   0.3903  11.3406 272.1299
  -2.500  -0.2661   0.00594   0.00089  -0.0044   0.9186   0.4464  15.0880 280.4394
  -2.000  -0.2135   0.00567   0.00078  -0.0034   0.8882   0.5021  19.6067 288.6658
  -1.500  -0.1604   0.00546   0.00070  -0.0025   0.8524   0.5571  24.8791 296.7643
  -1.000  -0.1070   0.00532   0.00064  -0.0016   0.8112   0.6114  30.9302 304.7409
  -0.500  -0.0535   0.00524   0.00061  -0.0008   0.7652   0.6644  37.6861 312.5172
   0.000   0.0000   0.00521   0.00059  -0.0000   0.7160   0.7160  44.9078 320.0960
   0.500   0.0535   0.00524   0.00061   0.0008   0.6644   0.7652  52.4730 327.3118
   1.000   0.1070   0.00532   0.00064   0.0016   0.6112   0.8112  60.2929 334.0591
   1.500   0.1604   0.00546   0.00070   0.0025   0.5571   0.8525  68.2339 340.1304
   2.000   0.2135   0.00567   0.00079   0.0034   0.5019   0.8882  76.3670 345.4005
   2.500   0.2661   0.00594   0.00089   0.0044   0.4466   0.9187  84.5354 349.9178
   3.000   0.3182   0.00629   0.00101   0.0055   0.3905   0.9434  92.8438 353.6650
   3.500   0.3712   0.00671   0.00116   0.0064   0.3336   0.9632 101.3243 356.8020
   4.000   0.4298   0.00723   0.00134   0.0059   0.2751   0.9768 110.1165 359.1281
   4.500   0.4971   0.00783   0.00156   0.0033   0.2145   0.9838 119.3460 360.4252
   5.000   0.5677   0.00849   0.00182  -0.0002   0.1595   0.9884 127.9427 361.3222
   5.500   0.6377   0.00916   0.00211  -0.0036   0.1156   0.9927 135.1149 362.2125
   6.000   0.7077   0.00981   0.00243  -0.0070   0.0845   0.9964 140.6796 363.0471
   6.500   0.7782   0.01046   0.00276  -0.0105   0.0644   0.9994 144.8085 363.8398
   7.000   0.8263   0.01101   0.00305  -0.0092   0.0534   1.0000 147.4391 364.0000
   7.500   0.8679   0.01158   0.00337  -0.0065   0.0459   1.0000 149.4579 364.0000
   8.000   0.9090   0.01223   0.00374  -0.0038   0.0403   1.0000 151.1214 364.0000
