  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0012                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =    10.000 e 6     Ncrit =  10.000 10.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr  Top_Itr  Bot_Itr
  ------ -------- --------- --------- -------- -------- -------- -------- --------
  -8.000  -0.8959   0.00736   0.00218  -0.0004   0.9611   0.0221   8.5445 206.6861
  -7.500  -0.8421   0.00709   0.00199   0.0001   0.9424   0.0248  11.4907 207.9802
  -7.000  -0.7876   0.00682   0.00179   0.0004   0.9193   0.0285  14.9903 209.6051
  -6.500  -0.7325   0.00659   0.00161   0.0006   0.8916   0.0331  19.1015 211.4235
  -6.000  -0.6770   0.00638   0.00145   0.0007   0.8588   0.0391  23.9342 213.4809
  -5.500  -0.6212   0.00619   0.00129   0.0008   0.8224   0.0470  29.2958 215.8689
  -5.000  -0.5653   0.00601   0.00114   0.0008   0.7825   0.0576  35.1501 218.6039
  -4.500  -0.5092   0.00585   0.00100   0.0008   0.7411   0.0715  41.2285 221.7345
  -4.000  -0.4529   0.00570   0.00088   0.0008   0.6983   0.0886  47.5099 225.1000
  -3.500  -0.3967   0.00555   0.00077   0.0008   0.6554   0.1120  53.7990 229.2693
  -3.000  -0.3403   0.00540   0.00066   0.0007   0.6134   0.1400  59.9688 233.9337
  -2.500  -0.2838   0.00528   0.00058   0.0006   0.5716   0.1716  66.1099 238.9702
  -2.000  -0.2272   0.00516   0.00051   0.0005   0.5304   0.2074  72.1610 244.5616
  -1.500  -0.1705   0.00506   0.00045   0.0004   0.4897   0.2464  78.1701 250.5354
  -1.000  -0.1137   0.00500   0.00041   0.0003   0.4482   0.2850  84.2980 256.3720
  -0.500  -0.0569   0.00496   0.00039   0.0001   0.4071   0.3261  90.3760 262.5474
   0.000   0.0000   0.00494   0.00038  -0.0000   0.3668   0.3671  96.3661 268.6723
   0.500   0.0569   0.00496   0.00039  -0.0002   0.3257   0.4072 102.5016 274.6300
   1.000   0.1138   0.00500   0.00042  -0.0003   0.2859   0.4479 108.4832 280.6567
   1.500   0.1705   0.00507   0.00045  -0.0004   0.2453   0.4894 114.6431 286.7885
   2.000   0.2272   0.00517   0.00051  -0.0005   0.2074   0.5285 120.4428 292.5607
   2.500   0.2838   0.00527   0.00058  -0.0006   0.1721   0.5716 125.9477 298.8975
   3.000   0.3403   0.00541   0.00067  -0.0007   0.1396   0.6128 131.1394 304.9501
   3.500   0.3966   0.00555   0.00077  -0.0008   0.1116   0.6553 135.7952 311.1862
   4.000   0.4530   0.00569   0.00088  -0.0008   0.0897   0.6986 139.7022 317.5434
   4.500   0.5092   0.00585   0.00100  -0.0008   0.0712   0.7407 143.3321 323.7130
   5.000   0.5652   0.00602   0.00114  -0.0008   0.0574   0.7818 146.4467 329.7420
   5.500   0.6212   0.00619   0.00129  -0.0008   0.0471   0.8228 149.1139 335.7622
   6.000   0.6769   0.00638   0.00144  -0.0007   0.0392   0.8591 151.4980 341.1085
   6.500   0.7324   0.00659   0.00161  -0.0006   0.0332   0.8917 153.5523 345.9059
   7.000   0.7875   0.00682   0.00179  -0.0004   0.0287   0.9195 155.3230 350.0417
   7.500   0.8420   0.00709   0.00199  -0.0000   0.0247   0.9424 157.0276 353.5040
   8.000   0.8958   0.00737   0.00219   0.0004   0.0220   0.9610 158.3504 356.4373
