#  NACA 0012                                       
#  alpha =  -0.5000
#  Mach  =   0.0000
#  Reyn  =  1000000
#  Ncrit =   8.0000
#
#    x           cf
   0.113905E-03  0.970820E-03
   0.323165E-03  0.333781E-02
   0.644695E-03  0.525443E-02
   0.108101E-02  0.702695E-02
   0.163287E-02  0.862997E-02
   0.229971E-02  0.957679E-02
   0.308015E-02  0.102177E-01
   0.397266E-02  0.107268E-01
   0.497580E-02  0.105888E-01
   0.608915E-02  0.111946E-01
   0.731263E-02  0.103351E-01
   0.864732E-02  0.105936E-01
   0.100955E-01  0.987588E-02
   0.116601E-01  0.984279E-02
   0.133454E-01  0.912327E-02
   0.151565E-01  0.901796E-02
   0.170995E-01  0.842320E-02
   0.191813E-01  0.808391E-02
   0.214096E-01  0.767158E-02
   0.237929E-01  0.732605E-02
   0.263398E-01  0.698503E-02
   0.290593E-01  0.661175E-02
   0.319603E-01  0.624862E-02
   0.350509E-01  0.603936E-02
   0.383384E-01  0.565684E-02
   0.418287E-01  0.542924E-02
   0.455256E-01  0.517785E-02
   0.494303E-01  0.487878E-02
   0.535415E-01  0.469652E-02
   0.578549E-01  0.445907E-02
   0.623632E-01  0.426224E-02
   0.670568E-01  0.407744E-02
   0.719239E-01  0.389148E-02
   0.769510E-01  0.371425E-02
   0.821241E-01  0.358060E-02
   0.874289E-01  0.343272E-02
   0.928512E-01  0.328271E-02
   0.983778E-01  0.315030E-02
   0.103996      0.306101E-02
   0.109696      0.291621E-02
   0.115466      0.283259E-02
   0.121298      0.273789E-02
   0.127185      0.263994E-02
   0.133120      0.254776E-02
   0.139098      0.247287E-02
   0.145113      0.237393E-02
   0.151161      0.231677E-02
   0.157239      0.224946E-02
   0.163343      0.216206E-02
   0.169472      0.211463E-02
   0.175623      0.205770E-02
   0.181793      0.199193E-02
   0.187982      0.192223E-02
   0.194187      0.189223E-02
   0.200407      0.182249E-02
   0.206641      0.178216E-02
   0.212889      0.172617E-02
   0.219148      0.168882E-02
   0.225419      0.163697E-02
   0.231700      0.159197E-02
   0.237992      0.155362E-02
   0.244292      0.151332E-02
   0.250601      0.147836E-02
   0.256919      0.143383E-02
   0.263244      0.140587E-02
   0.269576      0.135866E-02
   0.275915      0.133149E-02
   0.282261      0.129851E-02
   0.288613      0.126137E-02
   0.294971      0.123054E-02
   0.301334      0.120436E-02
   0.307703      0.116771E-02
   0.314076      0.114246E-02
   0.320455      0.111233E-02
   0.326838      0.108522E-02
   0.333225      0.106203E-02
   0.339617      0.103135E-02
   0.346012      0.100768E-02
   0.352411      0.978382E-03
   0.358814      0.955688E-03
   0.365220      0.933536E-03
   0.371630      0.908893E-03
   0.378043      0.888904E-03
   0.384458      0.861229E-03
   0.390877      0.844140E-03
   0.397299      0.818775E-03
   0.403723      0.800734E-03
   0.410149      0.777814E-03
   0.416578      0.758748E-03
   0.423010      0.737547E-03
   0.429443      0.719935E-03
   0.435879      0.701186E-03
   0.442317      0.681842E-03
   0.448756      0.661477E-03
   0.455198      0.646080E-03
   0.461641      0.628816E-03
   0.468087      0.611122E-03
   0.474533      0.595140E-03
   0.480982      0.576682E-03
   0.487432      0.561589E-03
   0.493883      0.545649E-03
   0.500336      0.529588E-03
   0.506790      0.514719E-03
   0.513245      0.499541E-03
   0.519702      0.484561E-03
   0.526159      0.469706E-03
   0.532618      0.456302E-03
   0.539078      0.443831E-03
   0.545539      0.428060E-03
   0.552000      0.414951E-03
   0.558463      0.403171E-03
   0.564926      0.388847E-03
   0.571390      0.379344E-03
   0.577855      0.365121E-03
   0.584321      0.353087E-03
   0.590787      0.344642E-03
   0.597254      0.331917E-03
   0.603721      0.322431E-03
   0.610189      0.312941E-03
   0.616657      0.304511E-03
   0.623126      0.296361E-03
   0.629595      0.288081E-03
   0.636064      0.281889E-03
   0.642534      0.275441E-03
   0.649004      0.272047E-03
   0.655474      0.268429E-03
   0.661944      0.267939E-03
   0.668415      0.266838E-03
   0.674885      0.270679E-03
   0.681356      0.275709E-03
   0.687826      0.286452E-03
   0.694297      0.302637E-03
   0.700767      0.325380E-03
   0.707238      0.370077E-03
   0.713708      0.489449E-03
   0.720178      0.679883E-03
   0.726648      0.960044E-03
   0.733118      0.130587E-02
   0.739587      0.168983E-02
   0.746056      0.208743E-02
   0.752525      0.245481E-02
   0.758993      0.279431E-02
   0.765461      0.307631E-02
   0.771928      0.331647E-02
   0.778395      0.350386E-02
   0.784861      0.365720E-02
   0.791327      0.377472E-02
   0.797792      0.386276E-02
   0.804256      0.392959E-02
   0.810720      0.397022E-02
   0.817182      0.400084E-02
   0.823644      0.401432E-02
   0.830104      0.401583E-02
   0.836563      0.400249E-02
   0.843021      0.399754E-02
   0.849478      0.397115E-02
   0.855932      0.394475E-02
   0.862385      0.391222E-02
   0.868835      0.387543E-02
   0.875282      0.383633E-02
   0.881724      0.379212E-02
   0.888162      0.374228E-02
   0.894594      0.369365E-02
   0.901018      0.364370E-02
   0.907432      0.358657E-02
   0.913833      0.352800E-02
   0.920216      0.346450E-02
   0.926578      0.340062E-02
