#  NACA 0012                                       
#  alpha =   5.0000
#  Mach  =   0.0000
#  Reyn  =  1000000
#  Ncrit =   8.0000
#
#    x           cf
   0.497595E-02  0.134936E-02
   0.397273E-02  0.311438E-02
   0.308028E-02  0.532952E-02
   0.229983E-02  0.782142E-02
   0.163298E-02  0.104021E-01
   0.108109E-02  0.135413E-01
   0.644729E-03  0.164600E-01
   0.323213E-03  0.194870E-01
   0.113934E-03  0.213727E-01
   0.124062E-04  0.242739E-01
   0.123967E-04  0.256202E-01
   0.113905E-03  0.273511E-01
   0.323165E-03  0.277364E-01
   0.644695E-03  0.278517E-01
   0.108101E-02  0.267742E-01
   0.163287E-02  0.259814E-01
   0.229971E-02  0.239106E-01
   0.308015E-02  0.225423E-01
   0.397266E-02  0.201472E-01
   0.497580E-02  0.183659E-01
   0.608915E-02  0.164754E-01
   0.731263E-02  0.145808E-01
   0.864732E-02  0.131074E-01
   0.100955E-01  0.116495E-01
   0.116601E-01  0.103527E-01
   0.133454E-01  0.910468E-02
   0.151565E-01  0.819544E-02
   0.170995E-01  0.722745E-02
   0.191813E-01  0.629997E-02
   0.214096E-01  0.573464E-02
   0.237929E-01  0.502825E-02
   0.263398E-01  0.449037E-02
   0.290593E-01  0.400742E-02
   0.319603E-01  0.353348E-02
   0.350509E-01  0.317159E-02
   0.383384E-01  0.283025E-02
   0.418287E-01  0.252766E-02
   0.455256E-01  0.226039E-02
   0.494303E-01  0.201401E-02
   0.535415E-01  0.181682E-02
   0.578549E-01  0.165428E-02
   0.623632E-01  0.147402E-02
   0.670568E-01  0.132567E-02
   0.719239E-01  0.122330E-02
   0.769510E-01  0.109834E-02
   0.821241E-01  0.100800E-02
   0.874289E-01  0.938851E-03
   0.928512E-01  0.873649E-03
   0.983778E-01  0.807753E-03
   0.103996      0.770766E-03
   0.109696      0.748075E-03
   0.115466      0.742522E-03
   0.121298      0.755178E-03
   0.127185      0.794390E-03
   0.133120      0.891142E-03
   0.139098      0.110871E-02
   0.145113      0.204294E-02
   0.151161      0.346143E-02
   0.157239      0.478717E-02
   0.163343      0.631034E-02
   0.169472      0.733001E-02
   0.175623      0.792857E-02
   0.181793      0.822320E-02
   0.187982      0.832644E-02
   0.194187      0.832881E-02
   0.200407      0.825367E-02
   0.206641      0.814452E-02
   0.212889      0.800432E-02
   0.219148      0.786551E-02
   0.225419      0.772583E-02
   0.231700      0.757337E-02
   0.237992      0.743019E-02
   0.244292      0.730387E-02
   0.250601      0.716460E-02
   0.256919      0.704551E-02
   0.263244      0.692377E-02
   0.269576      0.680762E-02
   0.275915      0.669733E-02
   0.282261      0.660067E-02
   0.288613      0.649942E-02
   0.294971      0.639804E-02
   0.301334      0.631761E-02
   0.307703      0.622174E-02
   0.314076      0.614385E-02
   0.320455      0.606533E-02
   0.326838      0.598108E-02
   0.333225      0.591292E-02
   0.339617      0.583636E-02
   0.346012      0.576893E-02
   0.352411      0.569931E-02
   0.358814      0.563604E-02
   0.365220      0.557574E-02
   0.371630      0.551039E-02
   0.378043      0.545414E-02
   0.384458      0.539189E-02
   0.390877      0.533877E-02
   0.397299      0.527921E-02
   0.403723      0.522888E-02
   0.410149      0.517655E-02
   0.416578      0.512185E-02
   0.423010      0.507347E-02
   0.429443      0.502414E-02
   0.435879      0.497495E-02
   0.442317      0.492892E-02
   0.448756      0.487852E-02
   0.455198      0.483577E-02
   0.461641      0.479202E-02
   0.468087      0.474391E-02
   0.474533      0.470615E-02
   0.480982      0.466062E-02
   0.487432      0.461863E-02
   0.493883      0.457785E-02
   0.500336      0.453653E-02
   0.506790      0.449784E-02
   0.513245      0.445806E-02
   0.519702      0.441955E-02
