#  NACA 0012                                       
#  alpha =  -3.5000
#  Mach  =   0.0000
#  Reyn  = 10000000
#  Ncrit =   8.0000
#
#    x           cf
   0.308015E-02  0.730654E-04
   0.397266E-02  0.537321E-03
   0.497580E-02  0.100494E-02
   0.608915E-02  0.124261E-02
   0.731263E-02  0.161607E-02
   0.864732E-02  0.166232E-02
   0.100955E-01  0.184068E-02
   0.116601E-01  0.191117E-02
   0.133454E-01  0.203072E-02
   0.151565E-01  0.198136E-02
   0.170995E-01  0.196661E-02
   0.191813E-01  0.200624E-02
   0.214096E-01  0.195458E-02
   0.237929E-01  0.193340E-02
   0.263398E-01  0.188774E-02
   0.290593E-01  0.184511E-02
   0.319603E-01  0.178647E-02
   0.350509E-01  0.173164E-02
   0.383384E-01  0.169962E-02
   0.418287E-01  0.161300E-02
   0.455256E-01  0.160630E-02
   0.494303E-01  0.150609E-02
   0.535415E-01  0.149276E-02
   0.578549E-01  0.142503E-02
   0.623632E-01  0.135977E-02
   0.670568E-01  0.133786E-02
   0.719239E-01  0.126757E-02
   0.769510E-01  0.125229E-02
   0.821241E-01  0.119854E-02
   0.874289E-01  0.115769E-02
   0.928512E-01  0.112112E-02
   0.983778E-01  0.108054E-02
   0.103996      0.105078E-02
   0.109696      0.101628E-02
   0.115466      0.994922E-03
   0.121298      0.966309E-03
   0.127185      0.929687E-03
   0.133120      0.910451E-03
   0.139098      0.879800E-03
   0.145113      0.850633E-03
   0.151161      0.844133E-03
   0.157239      0.815648E-03
   0.163343      0.791790E-03
   0.169472      0.771267E-03
   0.175623      0.758380E-03
   0.181793      0.739816E-03
   0.187982      0.713506E-03
   0.194187      0.706734E-03
   0.200407      0.685917E-03
   0.206641      0.673983E-03
   0.212889      0.651128E-03
   0.219148      0.644009E-03
   0.225419      0.626874E-03
   0.231700      0.613388E-03
   0.237992      0.600227E-03
   0.244292      0.585302E-03
   0.250601      0.578122E-03
   0.256919      0.564813E-03
   0.263244      0.554744E-03
   0.269576      0.536863E-03
   0.275915      0.532610E-03
   0.282261      0.517444E-03
   0.288613      0.513236E-03
   0.294971      0.495754E-03
   0.301334      0.491406E-03
   0.307703      0.474000E-03
   0.314076      0.473970E-03
   0.320455      0.464458E-03
   0.326838      0.449569E-03
   0.333225      0.449109E-03
   0.339617      0.433730E-03
   0.346012      0.428358E-03
   0.352411      0.419562E-03
   0.358814      0.411554E-03
   0.365220      0.406848E-03
   0.371630      0.395739E-03
   0.378043      0.392071E-03
   0.384458      0.379724E-03
   0.390877      0.378917E-03
   0.397299      0.368334E-03
   0.403723      0.365255E-03
   0.410149      0.355909E-03
   0.416578      0.350939E-03
   0.423010      0.342872E-03
   0.429443      0.339408E-03
   0.435879      0.331893E-03
   0.442317      0.326363E-03
   0.448756      0.319608E-03
   0.455198      0.314975E-03
   0.461641      0.311252E-03
   0.468087      0.303298E-03
   0.474533      0.300215E-03
   0.480982      0.294494E-03
   0.487432      0.290217E-03
   0.493883      0.284982E-03
   0.500336      0.279268E-03
   0.506790      0.276395E-03
   0.513245      0.270461E-03
   0.519702      0.267052E-03
   0.526159      0.262605E-03
   0.532618      0.258513E-03
   0.539078      0.256530E-03
   0.545539      0.250982E-03
   0.552000      0.246980E-03
   0.558463      0.247553E-03
   0.564926      0.242993E-03
   0.571390      0.246832E-03
   0.577855      0.247415E-03
   0.584321      0.258422E-03
   0.590787      0.572774E-03
   0.597254      0.118814E-02
   0.603721      0.211091E-02
   0.610189      0.284988E-02
   0.616657      0.328184E-02
   0.623126      0.349412E-02
   0.629595      0.357122E-02
   0.636064      0.359131E-02
   0.642534      0.356016E-02
   0.649004      0.353242E-02
   0.655474      0.347826E-02
   0.661944      0.343865E-02
   0.668415      0.338124E-02
   0.674885      0.334379E-02
   0.681356      0.329134E-02
   0.687826      0.325602E-02
   0.694297      0.321790E-02
   0.700767      0.317872E-02
   0.707238      0.314662E-02
   0.713708      0.311479E-02
   0.720178      0.308335E-02
   0.726648      0.305615E-02
   0.733118      0.303065E-02
   0.739587      0.300034E-02
   0.746056      0.297973E-02
   0.752525      0.294926E-02
   0.758993      0.293240E-02
   0.765461      0.290637E-02
   0.771928      0.288577E-02
   0.778395      0.286092E-02
   0.784861      0.284049E-02
   0.791327      0.281921E-02
   0.797792      0.279880E-02
   0.804256      0.277752E-02
   0.810720      0.275585E-02
   0.817182      0.273536E-02
   0.823644      0.271545E-02
   0.830104      0.269359E-02
   0.836563      0.266644E-02
   0.843021      0.265510E-02
   0.849478      0.262931E-02
   0.855932      0.260818E-02
   0.862385      0.258550E-02
   0.868835      0.256265E-02
   0.875282      0.254116E-02
   0.881724      0.251706E-02
   0.888162      0.248957E-02
   0.894594      0.246677E-02
   0.901018      0.244095E-02
   0.907432      0.241466E-02
   0.913833      0.238528E-02
   0.920216      0.235441E-02
   0.926578      0.232290E-02
   0.932909      0.229061E-02
   0.939203      0.225516E-02
   0.945448      0.221586E-02
   0.951628      0.217706E-02
   0.957727      0.213219E-02
   0.963724      0.208472E-02
   0.969593      0.203428E-02
   0.975307      0.197168E-02
   0.980837      0.190628E-02
   0.986153      0.183481E-02
   0.991230      0.175162E-02
   0.996046      0.164541E-02
    1.00000      0.162262E-02
    1.00010       0.00000    
    1.00409       0.00000    
    1.00841       0.00000    
    1.01308       0.00000    
    1.01814       0.00000    
    1.02361       0.00000    
    1.02953       0.00000    
    1.03593       0.00000    
    1.04285       0.00000    
    1.05034       0.00000    
    1.05845       0.00000    
    1.06721       0.00000    
    1.07670       0.00000    
    1.08696       0.00000    
    1.09806       0.00000    
    1.11007       0.00000    
    1.12306       0.00000    
    1.13711       0.00000    
    1.15232       0.00000    
    1.16877       0.00000    
    1.18656       0.00000    
    1.20581       0.00000    
    1.22664       0.00000    
    1.24917       0.00000    
    1.27354       0.00000    
    1.29990       0.00000    
