#  NACA 0012                                       
#  alpha =   8.0000
#  Mach  =   0.0000
#  Reyn  = 10000000
#  Ncrit =   8.0000
#
#    x           cf
   0.151567E-01  0.853684E-04
   0.133456E-01  0.404376E-03
   0.116603E-01  0.770598E-03
   0.100957E-01  0.117665E-02
   0.864750E-02  0.179361E-02
   0.731280E-02  0.233567E-02
   0.608931E-02  0.305492E-02
   0.497595E-02  0.401049E-02
   0.397273E-02  0.480524E-02
   0.308028E-02  0.601670E-02
   0.229983E-02  0.716150E-02
   0.163298E-02  0.827168E-02
   0.108109E-02  0.956137E-02
   0.644729E-03  0.105420E-01
   0.323213E-03  0.115687E-01
   0.113934E-03  0.123180E-01
   0.124062E-04  0.126417E-01
   0.123967E-04  0.132709E-01
   0.113905E-03  0.129788E-01
   0.323165E-03  0.130247E-01
   0.644695E-03  0.124339E-01
   0.108101E-02  0.113299E-01
   0.163287E-02  0.104287E-01
   0.229971E-02  0.929336E-02
   0.308015E-02  0.791720E-02
   0.397266E-02  0.701979E-02
   0.497580E-02  0.569788E-02
   0.608915E-02  0.482800E-02
   0.731263E-02  0.390588E-02
   0.864732E-02  0.316238E-02
   0.100955E-01  0.233425E-02
   0.116601E-01  0.177018E-02
   0.133454E-01  0.123952E-02
   0.151565E-01  0.823335E-03
   0.170995E-01  0.600889E-03
   0.191813E-01  0.659783E-03
   0.214096E-01  0.514441E-02
   0.237929E-01  0.122642E-01
   0.263398E-01  0.149423E-01
   0.290593E-01  0.147433E-01
   0.319603E-01  0.139166E-01
   0.350509E-01  0.129907E-01
   0.383384E-01  0.121859E-01
   0.418287E-01  0.115265E-01
   0.455256E-01  0.109565E-01
   0.494303E-01  0.104454E-01
   0.535415E-01  0.999668E-02
   0.578549E-01  0.961226E-02
   0.623632E-01  0.924383E-02
   0.670568E-01  0.891139E-02
   0.719239E-01  0.861737E-02
   0.769510E-01  0.832949E-02
   0.821241E-01  0.808432E-02
   0.874289E-01  0.783864E-02
   0.928512E-01  0.762551E-02
   0.983778E-01  0.740778E-02
   0.103996      0.721759E-02
   0.109696      0.704104E-02
   0.115466      0.687913E-02
   0.121298      0.671274E-02
   0.127185      0.657579E-02
   0.133120      0.642384E-02
   0.139098      0.629583E-02
   0.145113      0.617459E-02
   0.151161      0.605066E-02
   0.157239      0.594138E-02
   0.163343      0.583116E-02
   0.169472      0.573341E-02
   0.175623      0.563055E-02
   0.181793      0.553823E-02
   0.187982      0.544683E-02
   0.194187      0.536878E-02
   0.200407      0.527871E-02
   0.206641      0.519986E-02
   0.212889      0.512485E-02
   0.219148      0.504974E-02
   0.225419      0.497830E-02
   0.231700      0.491048E-02
   0.237992      0.483822E-02
   0.244292      0.477737E-02
   0.250601      0.471371E-02
   0.256919      0.465206E-02
   0.263244      0.459494E-02
   0.269576      0.453346E-02
   0.275915      0.447731E-02
   0.282261      0.442621E-02
   0.288613      0.437061E-02
