#  NACA 0012                                       
#  alpha =  -6.0000
#  Mach  =   0.0000
#  Reyn  =100000000
#  Ncrit =   8.0000
#
#    x           cf
   0.100955E-01  0.747793E-04
   0.116601E-01  0.145088E-03
   0.133454E-01  0.258984E-03
   0.151565E-01  0.258413E-03
   0.170995E-01  0.346839E-03
   0.191813E-01  0.363654E-03
   0.214096E-01  0.388267E-03
   0.237929E-01  0.411750E-03
   0.263398E-01  0.423683E-03
   0.290593E-01  0.425626E-03
   0.319603E-01  0.439866E-03
   0.350509E-01  0.438489E-03
   0.383384E-01  0.430045E-03
   0.418287E-01  0.433488E-03
   0.455256E-01  0.427934E-03
   0.494303E-01  0.420423E-03
   0.535415E-01  0.411517E-03
   0.578549E-01  0.411451E-03
   0.623632E-01  0.390338E-03
   0.670568E-01  0.392515E-03
   0.719239E-01  0.376195E-03
   0.769510E-01  0.375065E-03
   0.821241E-01  0.356191E-03
   0.874289E-01  0.355485E-03
   0.928512E-01  0.346376E-03
   0.983778E-01  0.330576E-03
   0.103996      0.330155E-03
   0.109696      0.319542E-03
   0.115466      0.310614E-03
   0.121298      0.305342E-03
   0.127185      0.297602E-03
   0.133120      0.291770E-03
   0.139098      0.282328E-03
   0.145113      0.281281E-03
   0.151161      0.267926E-03
   0.157239      0.265066E-03
   0.163343      0.261891E-03
   0.169472      0.253312E-03
   0.175623      0.249456E-03
   0.181793      0.244146E-03
   0.187982      0.235786E-03
   0.194187      0.238107E-03
   0.200407      0.227164E-03
   0.206641      0.226341E-03
   0.212889      0.220494E-03
   0.219148      0.215385E-03
   0.225419      0.213983E-03
   0.231700      0.207927E-03
   0.237992      0.204431E-03
   0.244292      0.200616E-03
   0.250601      0.197465E-03
   0.256919      0.192113E-03
   0.263244      0.192578E-03
   0.269576      0.185092E-03
   0.275915      0.183773E-03
   0.282261      0.181441E-03
   0.288613      0.177794E-03
   0.294971      0.173310E-03
   0.301334      0.171795E-03
   0.307703      0.167161E-03
   0.314076      0.166155E-03
   0.320455      0.163742E-03
   0.326838      0.159905E-03
   0.333225      0.160169E-03
   0.339617      0.466856E-03
   0.346012      0.194312E-02
   0.352411      0.274154E-02
   0.358814      0.285760E-02
   0.365220      0.276785E-02
   0.371630      0.266767E-02
   0.378043      0.260738E-02
   0.384458      0.254902E-02
   0.390877      0.251478E-02
   0.397299      0.247804E-02
   0.403723      0.245110E-02
   0.410149      0.242294E-02
   0.416578      0.240226E-02
   0.423010      0.237630E-02
   0.429443      0.235585E-02
   0.435879      0.234047E-02
   0.442317      0.231762E-02
   0.448756      0.230240E-02
   0.455198      0.228654E-02
   0.461641      0.227184E-02
   0.468087      0.225523E-02
   0.474533      0.224257E-02
   0.480982      0.222691E-02
   0.487432      0.221543E-02
   0.493883      0.220321E-02
   0.500336      0.218797E-02
   0.506790      0.218126E-02
   0.513245      0.216412E-02
   0.519702      0.215774E-02
   0.526159      0.214470E-02
   0.532618      0.213522E-02
   0.539078      0.212480E-02
   0.545539      0.211511E-02
   0.552000      0.210290E-02
   0.558463      0.209728E-02
   0.564926      0.208405E-02
   0.571390      0.207941E-02
   0.577855      0.206635E-02
   0.584321      0.205802E-02
   0.590787      0.205363E-02
   0.597254      0.204198E-02
   0.603721      0.203276E-02
   0.610189      0.202611E-02
   0.616657      0.201691E-02
   0.623126      0.201063E-02
   0.629595      0.200021E-02
   0.636064      0.199631E-02
   0.642534      0.198232E-02
   0.649004      0.198100E-02
   0.655474      0.196896E-02
   0.661944      0.196667E-02
   0.668415      0.195303E-02
   0.674885      0.195123E-02
   0.681356      0.193737E-02
   0.687826      0.193436E-02
   0.694297      0.192762E-02
   0.700767      0.191884E-02
   0.707238      0.191127E-02
   0.713708      0.190452E-02
   0.720178      0.189672E-02
   0.726648      0.189011E-02
   0.733118      0.188392E-02
   0.739587      0.187405E-02
   0.746056      0.186866E-02
   0.752525      0.185850E-02
   0.758993      0.185507E-02
   0.765461      0.184544E-02
   0.771928      0.183865E-02
   0.778395      0.182988E-02
   0.784861      0.182260E-02
   0.791327      0.181484E-02
   0.797792      0.180781E-02
   0.804256      0.179862E-02
   0.810720      0.179094E-02
   0.817182      0.178200E-02
   0.823644      0.177450E-02
   0.830104      0.176529E-02
   0.836563      0.175166E-02
   0.843021      0.174977E-02
   0.849478      0.173715E-02
   0.855932      0.172806E-02
   0.862385      0.171695E-02
   0.868835      0.170690E-02
   0.875282      0.169710E-02
   0.881724      0.168555E-02
   0.888162      0.167162E-02
   0.894594      0.166111E-02
   0.901018      0.164766E-02
   0.907432      0.163560E-02
   0.913833      0.162004E-02
   0.920216      0.160422E-02
   0.926578      0.158730E-02
   0.932909      0.157024E-02
   0.939203      0.155172E-02
   0.945448      0.152950E-02
   0.951628      0.150887E-02
   0.957727      0.148487E-02
   0.963724      0.145771E-02
   0.969593      0.142978E-02
   0.975307      0.139334E-02
   0.980837      0.135596E-02
   0.986153      0.131405E-02
   0.991230      0.126449E-02
   0.996046      0.119747E-02
    1.00000      0.119430E-02
    1.00010       0.00000    
    1.00409       0.00000    
    1.00841       0.00000    
    1.01308       0.00000    
    1.01814       0.00000    
    1.02361       0.00000    
    1.02952       0.00000    
    1.03592       0.00000    
    1.04285       0.00000    
    1.05034       0.00000    
    1.05844       0.00000    
    1.06721       0.00000    
    1.07669       0.00000    
    1.08695       0.00000    
    1.09805       0.00000    
    1.11005       0.00000    
    1.12304       0.00000    
    1.13709       0.00000    
    1.15229       0.00000    
    1.16873       0.00000    
    1.18652       0.00000    
    1.20576       0.00000    
    1.22657       0.00000    
    1.24909       0.00000    
    1.27345       0.00000    
    1.29980       0.00000    
    1.32830       0.00000    
    1.35913       0.00000    
    1.39249       0.00000    
    1.42857       0.00000    
    1.46760       0.00000    
    1.50982       0.00000    
    1.55549       0.00000    
    1.60489       0.00000    
    1.65833       0.00000    
    1.71614       0.00000    
    1.77867       0.00000    
    1.84632       0.00000    
    1.91949       0.00000    
    1.99864       0.00000    

   0.864732E-02  0.404336E-04
   0.731263E-02  0.179029E-03
   0.608915E-02  0.320764E-03
   0.497580E-02  0.569173E-03
   0.397266E-02  0.726614E-03
   0.308015E-02  0.105747E-02
   0.229971E-02  0.128526E-02
   0.163287E-02  0.166982E-02
   0.108101E-02  0.198115E-02
   0.644695E-03  0.221885E-02
   0.323165E-03  0.262548E-02
   0.113905E-03  0.285693E-02
   0.123967E-04  0.291195E-02
   0.124062E-04  0.330669E-02
   0.113934E-03  0.323275E-02
   0.323213E-03  0.328166E-02
   0.644729E-03  0.331385E-02
   0.108109E-02  0.298941E-02
   0.163298E-02  0.293719E-02
   0.229983E-02  0.259037E-02
   0.308028E-02  0.242335E-02
   0.397273E-02  0.211924E-02
   0.497595E-02  0.183554E-02
   0.608931E-02  0.168216E-02
