  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0012                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   8.000  8.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr  Top_Itr  Bot_Itr
  ------ -------- --------- --------- -------- -------- -------- -------- --------
  -8.000  -0.9102   0.01209   0.00360   0.0041   1.0000   0.0369   1.0000 207.5754
  -7.500  -0.8681   0.01154   0.00328   0.0067   1.0000   0.0420   1.0000 209.0518
  -7.000  -0.8160   0.01097   0.00295   0.0071   0.9989   0.0494   1.2852 210.9799
  -6.500  -0.7479   0.01035   0.00261   0.0041   0.9960   0.0611   2.0107 213.7224
  -6.000  -0.6804   0.00975   0.00228   0.0013   0.9921   0.0783   2.8163 217.2556
  -5.500  -0.6126   0.00915   0.00198  -0.0016   0.9877   0.1036   3.6856 221.9221
  -5.000  -0.5455   0.00854   0.00170  -0.0043   0.9823   0.1386   4.7184 227.9206
  -4.500  -0.4837   0.00795   0.00145  -0.0057   0.9725   0.1823   6.4834 235.0817
  -4.000  -0.4267   0.00742   0.00124  -0.0059   0.9580   0.2318   8.9611 243.0204
  -3.500  -0.3737   0.00695   0.00106  -0.0051   0.9371   0.2839  12.3332 251.2584
  -3.000  -0.3213   0.00657   0.00091  -0.0042   0.9111   0.3374  16.4295 259.6530
  -2.500  -0.2685   0.00625   0.00078  -0.0033   0.8797   0.3918  21.3186 268.1428
  -2.000  -0.2153   0.00602   0.00068  -0.0025   0.8428   0.4457  27.0378 276.5296
  -1.500  -0.1617   0.00585   0.00060  -0.0018   0.8009   0.4996  33.5241 284.8882
  -1.000  -0.1079   0.00573   0.00054  -0.0012   0.7550   0.5526  40.6181 293.1003
  -0.500  -0.0540   0.00567   0.00051  -0.0006   0.7066   0.6048  48.0909 301.1662
   0.000   0.0000   0.00565   0.00050  -0.0000   0.6561   0.6562  55.9029 309.1127
   0.500   0.0540   0.00567   0.00051   0.0006   0.6047   0.7064  63.8428 316.8744
   1.000   0.1079   0.00573   0.00055   0.0012   0.5524   0.7550  71.9356 324.3886
   1.500   0.1618   0.00585   0.00060   0.0018   0.4997   0.8007  80.1005 331.4488
   2.000   0.2153   0.00602   0.00068   0.0025   0.4457   0.8430  88.4708 337.9914
   2.500   0.2685   0.00626   0.00078   0.0033   0.3916   0.8797  96.8915 343.6935
   3.000   0.3213   0.00657   0.00091   0.0042   0.3370   0.9111 105.4084 348.5767
   3.500   0.3737   0.00696   0.00106   0.0051   0.2838   0.9371 113.7538 352.6608
   4.000   0.4268   0.00742   0.00124   0.0059   0.2318   0.9580 121.9777 356.0385
   4.500   0.4837   0.00795   0.00145   0.0057   0.1823   0.9725 129.9114 358.5174
   5.000   0.5455   0.00853   0.00170   0.0042   0.1387   0.9823 137.0677 360.2830
   5.500   0.6126   0.00915   0.00198   0.0016   0.1036   0.9878 143.0787 361.3172
   6.000   0.6804   0.00975   0.00228  -0.0013   0.0783   0.9921 147.7471 362.1859
   6.500   0.7480   0.01035   0.00261  -0.0041   0.0611   0.9960 151.2747 362.9945
   7.000   0.8161   0.01097   0.00295  -0.0071   0.0493   0.9989 154.0226 363.7201
   7.500   0.8680   0.01154   0.00328  -0.0067   0.0420   1.0000 155.9478 364.0000
   8.000   0.9101   0.01209   0.00360  -0.0041   0.0369   1.0000 157.4248 364.0000
