  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0012                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =    10.000 e 6     Ncrit =   8.000  8.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr  Top_Itr  Bot_Itr
  ------ -------- --------- --------- -------- -------- -------- -------- --------
  -8.000  -0.8985   0.00750   0.00217   0.0003   0.9274   0.0199  13.8764 201.3035
  -7.500  -0.8440   0.00724   0.00197   0.0006   0.8998   0.0224  18.1939 202.4014
  -7.000  -0.7891   0.00700   0.00178   0.0008   0.8679   0.0255  23.1477 203.6751
  -6.500  -0.7336   0.00680   0.00161   0.0009   0.8314   0.0292  28.8033 205.0342
  -6.000  -0.6780   0.00661   0.00144   0.0009   0.7922   0.0342  34.8610 206.7186
  -5.500  -0.6222   0.00644   0.00129   0.0010   0.7519   0.0408  41.0924 208.7140
  -5.000  -0.5661   0.00628   0.00115   0.0010   0.7100   0.0491  47.5788 210.9228
  -4.500  -0.5099   0.00614   0.00102   0.0009   0.6688   0.0598  53.9370 213.4362
  -4.000  -0.4535   0.00599   0.00090   0.0009   0.6283   0.0745  60.2011 216.5131
  -3.500  -0.3971   0.00586   0.00079   0.0008   0.5881   0.0928  66.4121 219.9929
  -3.000  -0.3405   0.00573   0.00070   0.0007   0.5481   0.1151  72.6045 223.9390
  -2.500  -0.2839   0.00561   0.00061   0.0007   0.5102   0.1422  78.4687 228.5195
  -2.000  -0.2273   0.00550   0.00054   0.0005   0.4709   0.1733  84.5582 233.6298
  -1.500  -0.1705   0.00541   0.00049   0.0004   0.4340   0.2080  90.2918 239.2129
  -1.000  -0.1137   0.00535   0.00045   0.0003   0.3954   0.2435  96.2971 244.8667
  -0.500  -0.0569   0.00531   0.00043   0.0001   0.3565   0.2806 102.3589 250.7344
   0.000   0.0000   0.00529   0.00042  -0.0000   0.3186   0.3189 108.2976 256.7590
   0.500   0.0569   0.00531   0.00043  -0.0002   0.2803   0.3572 114.3025 262.7420
   1.000   0.1138   0.00535   0.00045  -0.0003   0.2435   0.3945 120.1190 268.5570
   1.500   0.1705   0.00542   0.00049  -0.0004   0.2064   0.4333 126.0417 274.5979
   2.000   0.2273   0.00550   0.00054  -0.0006   0.1728   0.4711 131.4652 280.4740
   2.500   0.2840   0.00561   0.00062  -0.0007   0.1419   0.5099 136.5302 286.4756
   3.000   0.3406   0.00573   0.00070  -0.0008   0.1148   0.5484 141.1191 292.4360
   3.500   0.3971   0.00586   0.00080  -0.0008   0.0922   0.5886 145.1223 298.6673
   4.000   0.4536   0.00599   0.00090  -0.0009   0.0749   0.6284 148.4174 304.8175
   4.500   0.5099   0.00614   0.00102  -0.0010   0.0598   0.6689 151.5578 311.0778
   5.000   0.5661   0.00628   0.00115  -0.0010   0.0490   0.7105 154.1180 317.5070
   5.500   0.6222   0.00644   0.00129  -0.0010   0.0406   0.7521 156.3449 323.9286
   6.000   0.6781   0.00661   0.00144  -0.0010   0.0345   0.7926 158.1924 330.2039
   6.500   0.7337   0.00680   0.00161  -0.0009   0.0292   0.8314 159.9553 336.2063
   7.000   0.7892   0.00700   0.00178  -0.0008   0.0255   0.8678 161.3190 341.8322
   7.500   0.8442   0.00723   0.00197  -0.0006   0.0226   0.9001 162.5108 346.8619
   8.000   0.8986   0.00750   0.00217  -0.0003   0.0199   0.9273 163.6946 351.1171
